Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,9,7,M,17
1,2,2,3,M,17
2,1,1,9,H,16
2,2,9,4,M,17
3,1,9,4,M,16
3,2,0,1,M,17
4,1,3,0,M,16
4,2,0,6,M,17
5,1,2,3,H,15
5,2,2,0,M,17
6,1,7,3,M,15
6,2,7,2,M,17
7,1,8,8,M,15
7,2,8,3,M,17
8,1,2,5,M,15
8,2,4,4,H,16
9,1,3,8,M,15
9,2,7,5,M,16
10,1,9,5,M,15
10,2,7,0,M,16
11,1,8,0,M,15
11,2,4,6,M,16
12,1,8,5,M,15
12,2,6,2,M,16
13,1,5,9,M,15
13,2,4,8,M,16
14,1,6,2,M,15
14,2,6,6,M,16
15,1,9,1,M,15
15,2,5,3,H,15
16,1,6,1,M,15
16,2,5,0,M,15
17,1,6,5,M,15
17,2,1,0,M,15
18,1,8,2,M,15
18,2,1,2,M,15
19,1,9,3,M,15
19,2,5,8,M,15
20,1,3,2,M,15
20,2,4,9,M,15
21,1,4,0,M,15
21,2,3,7,H,14
22,1,6,4,M,15
22,2,3,5,M,14
23,1,5,6,H,14
23,2,2,5,M,14
24,1,0,7,M,14
24,2,7,8,M,14
25,1,3,5,M,14
25,2,5,7,H,13
26,1,2,2,H,13
26,2,5,1,M,13
27,1,5,1,M,13
27,2,2,4,M,13
28,1,2,8,M,13
28,2,8,6,M,13
29,1,0,5,H,12
29,2,1,1,M,13
30,1,6,0,M,12
30,2,2,2,M,13
31,1,1,3,M,12
31,2,9,7,M,13
32,1,1,1,M,12
32,2,9,2,M,13
33,1,6,8,M,12
33,2,6,8,M,13
34,1,0,3,H,11
34,2,4,5,H,12
35,1,2,7,M,11
35,2,6,7,M,12
36,1,9,2,M,11
36,2,2,8,M,12
37,1,8,9,M,11
37,2,0,9,M,12
38,1,8,6,M,11
38,2,5,5,H,11
39,1,2,1,M,11
39,2,8,0,M,11
40,1,9,9,M,11
40,2,1,7,M,11
41,1,7,2,M,11
41,2,5,4,H,10
42,1,3,1,M,11
42,2,3,3,M,10
43,1,5,2,M,11
43,2,4,1,M,10
44,1,4,3,H,10
44,2,3,0,M,10
45,1,1,4,M,10
45,2,4,2,M,10
46,1,5,5,M,10
46,2,0,8,M,10
47,1,2,4,M,10
47,2,1,6,M,10
48,1,5,8,M,10
48,2,9,5,M,10
49,1,3,4,M,10
49,2,8,4,M,10
50,1,7,5,M,10
50,2,5,9,M,10
51,1,4,6,H,9
51,2,3,8,H,9
52,1,4,5,M,9
52,2,9,9,M,9
53,1,7,8,M,9
53,2,6,0,M,9
54,1,5,4,M,9
54,2,7,6,H,8
55,1,1,6,M,9
55,2,6,1,M,8
56,1,8,4,M,9
56,2,7,1,M,8
57,1,9,8,M,9
57,2,7,3,M,8
58,1,1,8,H,8
58,2,0,3,H,7
59,1,1,5,M,8
59,2,4,0,M,7
60,1,0,0,M,8
60,2,4,7,M,7
61,1,7,9,M,8
61,2,2,1,M,7
62,1,2,9,M,8
62,2,3,2,M,7
63,1,3,6,H,7
63,2,1,8,M,7
64,1,5,0,M,7
64,2,0,7,M,7
65,1,1,7,H,6
65,2,5,2,M,7
66,1,2,0,M,6
66,2,8,8,M,7
67,1,4,7,M,6
67,2,0,4,H,6
68,1,4,8,M,6
68,2,9,3,M,6
69,1,7,6,M,6
69,2,8,9,M,6
70,1,0,1,M,6
70,2,9,1,M,6
71,1,0,2,M,6
71,2,0,0,M,6
72,1,6,6,H,5
72,2,1,9,M,6
73,1,9,0,M,5
73,2,0,2,H,5
74,1,0,6,H,4
74,2,5,6,H,4
75,1,9,6,M,4
75,2,2,6,M,4
76,1,3,7,M,4
76,2,3,1,M,4
77,1,4,2,H,3
77,2,9,0,M,4
78,1,6,3,M,3
78,2,3,4,M,4
79,1,4,9,M,3
79,2,1,4,M,4
80,1,6,9,M,3
80,2,8,1,M,4
81,1,8,7,M,3
81,2,6,9,M,4
82,1,3,3,M,3
82,2,8,7,M,4
83,1,1,0,M,3
83,2,4,3,H,3
84,1,4,1,H,2
84,2,3,6,H,2
85,1,7,0,M,2
85,2,1,3,M,2
86,1,4,4,M,2
86,2,8,2,M,2
87,1,2,6,H,1
87,2,6,3,M,2
88,1,0,9,M,1
88,2,1,5,M,2
89,1,7,4,M,1
89,2,7,4,M,2
90,1,8,1,M,1
90,2,9,8,M,2
91,1,0,4,H,0
91,2,8,5,M,2
92,1,0,8,M,0
92,2,7,9,M,2
93,1,1,2,M,0
93,2,7,7,H,1
94,1,5,7,M,0
94,2,2,9,M,1
95,1,6,7,M,0
95,2,2,7,M,1
96,1,7,7,M,0
96,2,6,5,M,1
97,1,7,1,M,0
97,2,6,4,M,1
98,1,3,9,M,0
98,2,3,9,H,0
