Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,1,5,M,17
1,2,3,8,M,17
2,1,9,6,M,17
2,2,3,1,M,17
3,1,4,2,M,17
3,2,6,2,H,16
4,1,3,4,M,17
4,2,1,2,M,16
5,1,9,5,M,17
5,2,3,4,M,16
6,1,5,9,M,17
6,2,2,0,M,16
7,1,3,2,M,17
7,2,5,1,M,16
8,1,9,2,M,17
8,2,8,5,M,16
9,1,2,6,M,17
9,2,5,0,M,16
10,1,9,1,M,17
10,2,3,6,H,15
11,1,1,3,M,17
11,2,1,6,H,14
12,1,0,6,M,17
12,2,5,4,M,14
13,1,3,7,M,17
13,2,9,7,M,14
14,1,8,2,M,17
14,2,0,8,M,14
15,1,7,5,H,16
15,2,9,8,M,14
16,1,4,7,M,16
16,2,7,7,M,14
17,1,5,3,M,16
17,2,7,2,M,14
18,1,0,7,M,16
18,2,7,8,M,14
19,1,7,1,H,15
19,2,4,2,H,13
20,1,2,5,M,15
20,2,2,6,M,13
21,1,6,3,M,15
21,2,1,5,H,12
22,1,8,5,M,15
22,2,1,3,M,12
23,1,8,3,M,15
23,2,0,4,M,12
24,1,0,5,M,15
24,2,2,5,M,12
25,1,1,1,M,15
25,2,2,1,M,12
26,1,9,3,M,15
26,2,7,6,M,12
27,1,0,8,M,15
27,2,6,6,M,12
28,1,0,1,M,15
28,2,0,9,M,12
29,1,0,4,M,15
29,2,1,0,M,12
30,1,2,4,M,15
30,2,1,4,H,11
31,1,2,0,M,15
31,2,8,2,M,11
32,1,9,7,M,15
32,2,6,0,M,11
33,1,3,0,M,15
33,2,5,5,M,11
34,1,7,9,M,15
34,2,0,6,M,11
35,1,4,8,H,14
35,2,1,7,H,10
36,1,3,9,H,13
36,2,2,7,M,10
37,1,6,6,M,13
37,2,4,5,M,10
38,1,4,6,M,13
38,2,6,7,M,10
39,1,4,5,M,13
39,2,9,0,M,10
40,1,9,4,M,13
40,2,6,5,M,10
41,1,5,8,H,12
41,2,7,5,M,10
42,1,5,0,M,12
42,2,5,2,H,9
43,1,6,7,M,12
43,2,5,8,M,9
44,1,8,7,M,12
44,2,2,3,M,9
45,1,3,1,M,12
45,2,4,9,H,8
46,1,2,3,H,11
46,2,2,2,M,8
47,1,7,3,H,10
47,2,6,9,H,7
48,1,2,2,M,10
48,2,8,9,M,7
49,1,6,2,M,10
49,2,1,8,M,7
50,1,6,1,M,10
50,2,9,5,M,7
51,1,8,9,M,10
51,2,8,6,M,7
52,1,4,0,M,10
52,2,7,0,M,7
53,1,6,9,M,10
53,2,3,9,H,6
54,1,9,0,M,10
54,2,6,1,M,6
55,1,2,9,H,9
55,2,2,4,M,6
56,1,3,5,M,9
56,2,3,2,M,6
57,1,1,8,M,9
57,2,8,1,M,6
58,1,5,5,M,9
58,2,4,8,M,6
59,1,5,2,M,9
59,2,1,9,M,6
60,1,4,1,M,9
60,2,8,0,M,6
61,1,3,8,M,9
61,2,3,3,H,5
62,1,2,7,M,9
62,2,2,9,M,5
63,1,6,8,H,8
63,2,0,2,M,5
64,1,7,4,H,7
64,2,4,6,M,5
65,1,1,7,M,7
65,2,7,4,M,5
66,1,2,1,M,7
66,2,2,8,M,5
67,1,5,1,M,7
67,2,0,5,M,5
68,1,4,9,M,7
68,2,0,1,M,5
69,1,7,0,M,7
69,2,3,5,H,4
70,1,8,8,M,7
70,2,9,1,M,4
71,1,8,6,M,7
71,2,7,1,M,4
72,1,0,2,M,7
72,2,3,0,M,4
73,1,1,0,M,7
73,2,5,3,M,4
74,1,0,0,M,7
74,2,6,3,M,4
75,1,6,4,M,7
75,2,9,6,M,4
76,1,2,8,M,7
76,2,6,8,M,4
77,1,8,0,M,7
77,2,5,6,M,4
78,1,6,0,M,7
78,2,7,9,H,3
79,1,1,2,M,7
79,2,0,7,M,3
80,1,8,4,M,7
80,2,1,1,M,3
81,1,7,8,M,7
81,2,8,4,M,3
82,1,7,6,H,6
82,2,4,7,M,3
83,1,4,4,M,6
83,2,6,4,M,3
84,1,7,2,M,6
84,2,4,1,M,3
85,1,9,8,M,6
85,2,9,3,M,3
86,1,5,7,M,6
86,2,9,2,M,3
87,1,3,3,H,5
87,2,5,7,M,3
88,1,1,9,H,4
88,2,4,0,M,3
89,1,5,6,M,4
89,2,8,3,M,3
90,1,7,7,H,3
90,2,9,9,M,3
91,1,8,1,H,2
91,2,8,8,M,3
92,1,4,3,H,1
92,2,0,0,M,3
93,1,1,6,M,1
93,2,4,3,H,2
94,1,9,9,M,1
94,2,3,7,H,1
95,1,0,9,H,0
95,2,9,4,M,1
96,1,1,4,M,0
96,2,7,3,M,1
97,1,5,4,M,0
97,2,8,7,M,1
98,1,0,3,M,0
98,2,5,9,H,0
