Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,2,9,M,17
1,2,4,1,M,17
2,1,2,3,M,17
2,2,3,3,M,17
3,1,5,2,M,17
3,2,4,5,M,17
4,1,9,5,H,16
4,2,4,9,M,17
5,1,7,9,M,16
5,2,0,7,M,17
6,1,3,2,H,15
6,2,2,1,M,17
7,1,6,4,M,15
7,2,4,2,M,17
8,1,4,6,M,15
8,2,2,4,M,17
9,1,6,9,M,15
9,2,5,0,M,17
10,1,4,8,M,15
10,2,1,2,M,17
11,1,9,2,M,15
11,2,1,7,M,17
12,1,6,6,M,15
12,2,6,8,M,17
13,1,8,3,M,15
13,2,2,3,M,17
14,1,9,0,M,15
14,2,6,1,M,17
15,1,1,9,M,15
15,2,0,0,M,17
16,1,7,1,M,15
16,2,8,0,M,17
17,1,1,6,M,15
17,2,2,0,M,17
18,1,4,1,M,15
18,2,6,2,M,17
19,1,0,2,M,15
19,2,6,3,M,17
20,1,3,8,M,15
20,2,3,8,H,16
21,1,6,5,M,15
21,2,5,4,H,15
22,1,7,2,M,15
22,2,4,7,H,14
23,1,1,5,M,15
23,2,1,5,M,14
24,1,0,8,M,15
24,2,3,2,M,14
25,1,7,0,M,15
25,2,1,3,M,14
26,1,4,9,M,15
26,2,3,4,H,13
27,1,5,4,M,15
27,2,8,4,M,13
28,1,2,7,M,15
28,2,0,4,M,13
29,1,6,7,M,15
29,2,3,1,M,13
30,1,7,3,M,15
30,2,6,6,M,13
31,1,5,0,M,15
31,2,2,7,H,12
32,1,1,3,M,15
32,2,8,9,M,12
33,1,9,4,H,14
33,2,3,7,H,11
34,1,7,8,M,14
34,2,8,5,H,10
35,1,8,0,M,14
35,2,1,8,H,9
36,1,2,8,M,14
36,2,5,8,H,8
37,1,3,6,M,14
37,2,9,8,M,8
38,1,1,1,H,13
38,2,7,1,M,8
39,1,8,2,M,13
39,2,8,3,M,8
40,1,8,4,M,13
40,2,5,9,M,8
41,1,5,8,M,13
41,2,0,6,M,8
42,1,9,8,H,12
42,2,9,4,M,8
43,1,0,0,M,12
43,2,8,8,M,8
44,1,6,2,M,12
44,2,4,6,M,8
45,1,7,7,M,12
45,2,4,8,H,7
46,1,8,9,M,12
46,2,9,0,M,7
47,1,5,5,M,12
47,2,4,3,M,7
48,1,5,6,M,12
48,2,1,9,M,7
49,1,3,9,M,12
49,2,2,8,H,6
50,1,4,4,H,11
50,2,2,2,M,6
51,1,0,1,M,11
51,2,7,7,M,6
52,1,2,2,M,11
52,2,8,6,M,6
53,1,7,6,M,11
53,2,8,1,M,6
54,1,7,5,M,11
54,2,7,4,M,6
55,1,4,7,M,11
55,2,9,9,M,6
56,1,1,7,M,11
56,2,5,5,M,6
57,1,1,4,M,11
57,2,7,9,H,5
58,1,0,7,M,11
58,2,3,0,M,5
59,1,1,2,M,11
59,2,8,7,M,5
60,1,0,3,M,11
60,2,7,3,M,5
61,1,1,8,M,11
61,2,7,8,H,4
62,1,0,6,M,11
62,2,0,9,M,4
63,1,3,1,H,10
63,2,9,6,M,4
64,1,4,0,H,9
64,2,2,5,M,4
65,1,2,4,M,9
65,2,0,8,M,4
66,1,6,0,M,9
66,2,7,5,H,3
67,1,9,1,M,9
67,2,3,9,M,3
68,1,2,6,M,9
68,2,9,5,H,2
69,1,8,8,M,9
69,2,5,6,M,2
70,1,4,2,M,9
70,2,2,6,M,2
71,1,8,7,M,9
71,2,0,2,M,2
72,1,8,1,M,9
72,2,1,0,M,2
73,1,9,3,M,9
73,2,4,4,H,1
74,1,6,3,M,9
74,2,5,3,M,1
75,1,4,5,H,8
75,2,9,3,M,1
76,1,5,1,M,8
76,2,3,5,M,1
77,1,9,9,M,8
77,2,9,1,M,1
78,1,2,0,H,7
78,2,7,6,M,1
79,1,3,3,H,6
79,2,4,0,M,1
80,1,8,6,M,6
80,2,0,1,M,1
81,1,6,8,M,6
81,2,7,2,M,1
82,1,5,3,M,6
82,2,9,2,M,1
83,1,1,0,M,6
83,2,6,5,M,1
84,1,6,1,M,6
84,2,2,9,M,1
85,1,0,4,M,6
85,2,0,3,M,1
86,1,9,6,H,5
86,2,6,0,M,1
87,1,9,7,H,4
87,2,5,7,H,0
88,1,2,5,M,4
88,2,5,1,M,0
89,1,2,1,H,3
89,2,1,4,M,0
90,1,3,7,M,3
90,2,6,9,M,0
91,1,0,9,M,3
91,2,1,1,M,0
92,1,3,5,M,3
92,2,6,7,M,0
93,1,3,0,H,2
93,2,1,6,M,0
94,1,5,7,M,2
94,2,8,2,M,0
95,1,7,4,M,2
95,2,9,7,M,0
96,1,0,5,M,2
96,2,3,6,M,0
97,1,3,4,H,1
97,2,0,5,M,0
98,1,4,3,H,0
98,2,6,4,M,0
