Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,3,9,H,16
1,2,2,1,M,17
2,1,4,1,H,15
2,2,7,2,M,17
3,1,0,0,M,15
3,2,5,0,M,17
4,1,0,1,M,15
4,2,3,9,M,17
5,1,1,4,M,15
5,2,3,6,M,17
6,1,2,2,M,15
6,2,9,5,M,17
7,1,9,4,M,15
7,2,3,8,M,17
8,1,2,7,M,15
8,2,8,6,H,16
9,1,9,0,M,15
9,2,0,8,M,16
10,1,3,7,M,15
10,2,6,7,M,16
11,1,8,3,M,15
11,2,5,6,H,15
12,1,0,7,M,15
12,2,8,8,H,14
13,1,8,8,M,15
13,2,9,3,M,14
14,1,5,9,H,14
14,2,4,4,H,13
15,1,7,4,M,14
15,2,6,9,M,13
16,1,9,5,M,14
16,2,5,7,M,13
17,1,2,8,M,14
17,2,7,5,M,13
18,1,2,3,M,14
18,2,8,0,M,13
19,1,2,1,M,14
19,2,0,9,M,13
20,1,3,6,M,14
20,2,7,1,H,12
21,1,3,3,M,14
21,2,9,7,M,12
22,1,7,1,H,13
22,2,3,1,M,12
23,1,5,7,H,12
23,2,4,8,M,12
24,1,7,6,M,12
24,2,4,7,M,12
25,1,1,6,M,12
25,2,8,5,M,12
26,1,0,5,H,11
26,2,7,6,H,11
27,1,7,5,M,11
27,2,6,0,M,11
28,1,9,1,M,11
28,2,4,3,M,11
29,1,7,0,M,11
29,2,7,9,M,11
30,1,5,3,M,11
30,2,9,2,M,11
31,1,0,3,H,10
31,2,8,7,M,11
32,1,9,8,M,10
32,2,0,3,M,11
33,1,1,9,M,10
33,2,9,6,H,10
34,1,6,6,M,10
34,2,1,7,M,10
35,1,9,9,M,10
35,2,4,1,M,10
36,1,1,0,M,10
36,2,2,7,M,10
37,1,0,4,H,9
37,2,2,9,M,10
38,1,5,4,H,8
38,2,9,9,M,10
39,1,8,7,M,8
39,2,5,1,M,10
40,1,3,5,M,8
40,2,7,4,H,9
41,1,9,7,M,8
41,2,4,0,M,9
42,1,8,5,M,8
42,2,9,1,M,9
43,1,5,1,H,7
43,2,6,5,M,9
44,1,5,0,M,7
44,2,2,6,M,9
45,1,7,9,M,7
45,2,3,2,H,8
46,1,4,3,M,7
46,2,5,2,M,8
47,1,5,6,H,6
47,2,5,9,M,8
48,1,8,6,M,6
48,2,3,4,H,7
49,1,6,1,H,5
49,2,7,7,M,7
50,1,6,9,M,5
50,2,2,3,M,7
51,1,8,1,M,5
51,2,9,4,M,7
52,1,4,2,M,5
52,2,0,4,M,7
53,1,7,3,M,5
53,2,1,0,M,7
54,1,1,7,M,5
54,2,2,0,M,7
55,1,7,2,M,5
55,2,0,6,M,7
56,1,6,2,M,5
56,2,8,4,M,7
57,1,2,4,M,5
57,2,0,7,M,7
58,1,0,2,H,4
58,2,8,9,M,7
59,1,1,2,M,4
59,2,7,8,H,6
60,1,6,4,M,4
60,2,7,0,M,6
61,1,0,8,M,4
61,2,9,8,H,5
62,1,6,3,M,4
62,2,8,3,M,5
63,1,9,6,M,4
63,2,2,4,M,5
64,1,4,0,M,4
64,2,1,3,M,5
65,1,3,0,M,4
65,2,4,5,M,5
66,1,2,0,M,4
66,2,1,8,M,5
67,1,5,8,H,3
67,2,9,0,M,5
68,1,4,5,M,3
68,2,5,8,M,5
69,1,3,4,M,3
69,2,6,6,H,4
70,1,8,2,M,3
70,2,0,5,M,4
71,1,2,5,M,3
71,2,1,2,M,4
72,1,5,5,H,2
72,2,3,7,M,4
73,1,4,7,M,2
73,2,5,5,M,4
74,1,9,3,M,2
74,2,2,8,M,4
75,1,1,1,M,2
75,2,7,3,M,4
76,1,4,8,M,2
76,2,4,6,M,4
77,1,1,5,M,2
77,2,2,5,M,4
78,1,0,9,M,2
78,2,0,2,M,4
79,1,8,9,M,2
79,2,3,0,M,4
80,1,1,8,M,2
80,2,2,2,M,4
81,1,3,8,M,2
81,2,1,6,M,4
82,1,6,7,M,2
82,2,3,5,M,4
83,1,8,4,M,2
83,2,8,1,H,3
84,1,7,7,M,2
84,2,5,4,H,2
85,1,4,9,H,1
85,2,5,3,M,2
86,1,6,8,M,1
86,2,6,8,M,2
87,1,2,6,M,1
87,2,8,2,M,2
88,1,1,3,M,1
88,2,1,4,M,2
89,1,2,9,M,1
89,2,6,4,H,1
90,1,8,0,M,1
90,2,1,5,M,1
91,1,4,4,M,1
91,2,3,3,H,0
92,1,3,1,M,1
92,2,4,2,M,0
93,1,0,6,H,0
93,2,6,3,M,0
