Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,6,7,M,17
1,2,6,5,M,17
2,1,3,3,M,17
2,2,7,8,M,17
3,1,1,1,M,17
3,2,9,6,M,17
4,1,2,4,M,17
4,2,7,0,H,16
5,1,3,1,H,16
5,2,7,9,M,16
6,1,6,4,M,16
6,2,4,2,M,16
7,1,8,5,H,15
7,2,1,1,M,16
8,1,9,2,M,15
8,2,5,0,M,16
9,1,5,7,M,15
9,2,9,8,M,16
10,1,5,1,M,15
10,2,5,7,H,15
11,1,4,4,M,15
11,2,3,6,M,15
12,1,6,0,M,15
12,2,7,4,M,15
13,1,6,6,M,15
13,2,9,9,M,15
14,1,0,4,H,14
14,2,6,8,M,15
15,1,0,2,M,14
15,2,9,2,M,15
16,1,2,8,M,14
16,2,6,7,H,14
17,1,2,7,M,14
17,2,5,1,M,14
18,1,7,3,H,13
18,2,0,1,M,14
19,1,8,2,M,13
19,2,3,3,M,14
20,1,2,3,M,13
20,2,6,9,M,14
21,1,3,4,M,13
21,2,8,5,M,14
22,1,1,5,M,13
22,2,2,6,M,14
23,1,0,7,H,12
23,2,1,7,M,14
24,1,7,6,M,12
24,2,3,7,H,13
25,1,9,6,M,12
25,2,7,5,M,13
26,1,8,9,M,12
26,2,8,9,M,13
27,1,4,8,M,12
27,2,5,2,M,13
28,1,6,3,H,11
28,2,4,4,M,13
29,1,5,3,H,10
29,2,9,0,M,13
30,1,3,7,M,10
30,2,9,3,H,12
31,1,5,8,M,10
31,2,1,9,M,12
32,1,1,8,M,10
32,2,8,0,M,12
33,1,3,6,M,10
33,2,7,2,H,11
34,1,0,0,M,10
34,2,2,0,M,11
35,1,0,6,H,9
35,2,2,1,M,11
36,1,5,5,M,9
36,2,1,6,M,11
37,1,7,0,M,9
37,2,4,7,H,10
38,1,4,1,M,9
38,2,0,3,M,10
39,1,9,7,M,9
39,2,8,6,M,10
40,1,7,7,M,9
40,2,1,5,M,10
41,1,3,0,M,9
41,2,9,5,M,10
42,1,8,1,M,9
42,2,4,9,M,10
43,1,8,8,M,9
43,2,3,8,M,10
44,1,9,9,M,9
44,2,3,4,M,10
45,1,7,1,M,9
45,2,7,1,H,9
46,1,8,7,M,9
46,2,8,8,M,9
47,1,2,5,M,9
47,2,6,2,M,9
48,1,8,4,M,9
48,2,2,9,M,9
49,1,3,9,M,9
49,2,8,7,M,9
50,1,5,4,M,9
50,2,2,3,M,9
51,1,7,4,M,9
51,2,9,4,M,9
52,1,5,9,M,9
52,2,9,1,M,9
53,1,4,7,M,9
53,2,8,3,H,8
54,1,6,2,M,9
54,2,3,1,M,8
55,1,2,1,H,8
55,2,6,1,M,8
56,1,4,9,M,8
56,2,0,0,M,8
57,1,5,0,M,8
57,2,5,9,M,8
58,1,4,6,M,8
58,2,0,2,M,8
59,1,8,6,M,8
59,2,6,0,M,8
60,1,0,1,M,8
60,2,1,2,M,8
61,1,2,6,M,8
61,2,7,3,H,7
62,1,1,7,M,8
62,2,1,3,M,7
63,1,2,2,M,8
63,2,2,5,H,6
64,1,9,4,M,8
64,2,1,8,M,6
65,1,1,0,M,8
65,2,2,7,M,6
66,1,1,4,H,7
66,2,0,7,M,6
67,1,7,5,H,6
67,2,0,6,M,6
68,1,9,1,M,6
68,2,1,0,M,6
69,1,9,5,H,5
69,2,0,9,M,6
70,1,1,3,H,4
70,2,5,4,M,6
71,1,1,9,M,4
71,2,6,6,M,6
72,1,4,3,M,4
72,2,7,7,H,5
73,1,7,2,M,4
73,2,4,3,M,5
74,1,5,2,M,4
74,2,3,5,H,4
75,1,3,5,M,4
75,2,8,1,M,4
76,1,6,1,M,4
76,2,2,8,M,4
77,1,0,9,M,4
77,2,2,2,M,4
78,1,0,8,H,3
78,2,8,2,M,4
79,1,8,3,M,3
79,2,3,0,M,4
80,1,6,8,M,3
80,2,5,5,M,4
81,1,0,3,M,3
81,2,6,4,M,4
82,1,7,9,M,3
82,2,5,3,M,4
83,1,8,0,M,3
83,2,0,5,M,4
84,1,9,8,M,3
84,2,0,4,H,3
85,1,4,5,M,3
85,2,5,6,M,3
86,1,4,0,M,3
86,2,0,8,M,3
87,1,4,2,M,3
87,2,4,0,M,3
88,1,0,5,H,2
88,2,4,6,M,3
89,1,6,5,H,1
89,2,4,5,H,2
90,1,9,3,M,1
90,2,4,1,M,2
91,1,1,6,M,1
91,2,5,8,M,2
92,1,3,8,M,1
92,2,9,7,M,2
93,1,3,2,M,1
93,2,4,8,M,2
94,1,7,8,M,1
94,2,6,3,H,1
95,1,5,6,M,1
95,2,2,4,M,1
96,1,9,0,M,1
96,2,8,4,M,1
97,1,1,2,H,0
97,2,1,4,H,0
