Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,3,4,M,17
1,2,4,0,M,17
2,1,3,7,M,17
2,2,0,0,M,17
3,1,9,2,M,17
3,2,5,5,M,17
4,1,0,6,H,16
4,2,3,5,M,17
5,1,8,0,M,16
5,2,4,2,M,17
6,1,7,5,M,16
6,2,7,3,H,16
7,1,2,4,M,16
7,2,0,2,M,16
8,1,9,4,M,16
8,2,9,2,M,16
9,1,2,0,H,15
9,2,9,5,M,16
10,1,9,1,H,14
10,2,9,8,M,16
11,1,0,0,H,13
11,2,5,2,M,16
12,1,6,6,M,13
12,2,0,6,M,16
13,1,0,4,H,12
13,2,8,2,H,15
14,1,5,7,M,12
14,2,6,9,H,14
15,1,9,0,H,11
15,2,0,9,M,14
16,1,3,9,M,11
16,2,9,9,M,14
17,1,5,1,M,11
17,2,2,9,M,14
18,1,8,1,H,10
18,2,5,4,M,14
19,1,3,8,M,10
19,2,2,2,H,13
20,1,7,6,M,10
20,2,5,3,M,13
21,1,1,7,M,10
21,2,8,0,M,13
22,1,4,4,M,10
22,2,8,7,M,13
23,1,5,4,M,10
23,2,6,3,M,13
24,1,1,6,M,10
24,2,9,6,M,13
25,1,8,6,M,10
25,2,4,1,M,13
26,1,2,5,H,9
26,2,3,2,M,13
27,1,4,6,M,9
27,2,7,6,H,12
28,1,4,9,M,9
28,2,9,3,M,12
29,1,7,0,M,9
29,2,3,7,M,12
30,1,8,7,M,9
30,2,1,3,M,12
31,1,0,1,M,9
31,2,4,5,M,12
32,1,7,7,M,9
32,2,5,1,M,12
33,1,7,4,M,9
33,2,8,3,H,11
34,1,2,1,M,9
34,2,6,6,M,11
35,1,4,0,M,9
35,2,1,8,M,11
36,1,3,3,M,9
36,2,7,7,M,11
37,1,8,4,M,9
37,2,4,9,H,10
38,1,6,5,M,9
38,2,4,6,M,10
39,1,1,2,M,9
39,2,4,7,M,10
40,1,0,8,M,9
40,2,1,9,M,10
41,1,4,5,H,8
41,2,0,4,M,10
42,1,0,5,H,7
42,2,5,0,M,10
43,1,2,9,M,7
43,2,5,7,M,10
44,1,7,9,M,7
44,2,1,2,M,10
45,1,1,9,M,7
45,2,2,3,H,9
46,1,9,9,M,7
46,2,2,7,M,9
47,1,4,2,M,7
47,2,0,1,M,9
48,1,5,9,M,7
48,2,7,2,H,8
49,1,1,4,M,7
49,2,7,1,M,8
50,1,6,7,M,7
50,2,6,0,M,8
51,1,4,8,M,7
51,2,1,4,M,8
52,1,6,3,M,7
52,2,8,1,H,7
53,1,5,2,M,7
53,2,5,9,H,6
54,1,5,5,H,6
54,2,1,5,H,5
55,1,9,7,M,6
55,2,3,0,M,5
56,1,0,2,M,6
56,2,6,2,M,5
57,1,1,0,H,5
57,2,3,1,M,5
58,1,5,6,M,5
58,2,2,6,M,5
59,1,6,8,M,5
59,2,4,8,M,5
60,1,2,8,M,5
60,2,2,1,H,4
61,1,2,2,M,5
61,2,4,3,M,4
62,1,5,0,M,5
62,2,6,8,M,4
63,1,6,0,M,5
63,2,2,8,M,4
64,1,6,1,H,4
64,2,3,4,M,4
65,1,0,7,M,4
65,2,6,7,M,4
66,1,3,2,M,4
66,2,9,0,M,4
67,1,2,3,M,4
67,2,3,8,M,4
68,1,6,2,M,4
68,2,8,4,M,4
69,1,2,7,M,4
69,2,1,7,M,4
70,1,1,1,M,4
70,2,0,3,M,4
71,1,2,6,M,4
71,2,7,8,M,4
72,1,5,8,M,4
72,2,8,8,M,4
73,1,9,6,M,4
73,2,9,1,M,4
74,1,4,7,M,4
74,2,6,5,M,4
75,1,1,3,M,4
75,2,8,9,M,4
76,1,7,2,M,4
76,2,0,7,M,4
77,1,3,0,H,3
77,2,7,0,M,4
78,1,1,5,H,2
78,2,9,4,M,4
79,1,3,1,M,2
79,2,3,6,M,4
80,1,9,8,M,2
80,2,5,6,M,4
81,1,7,3,M,2
81,2,6,4,M,4
82,1,4,3,M,2
82,2,3,9,H,3
83,1,6,4,M,2
83,2,0,8,M,3
84,1,0,9,M,2
84,2,1,1,M,3
85,1,8,8,M,2
85,2,7,9,M,3
86,1,9,5,M,2
86,2,6,1,M,3
87,1,4,1,M,2
87,2,8,6,M,3
88,1,8,5,M,2
88,2,2,4,M,3
89,1,1,8,M,2
89,2,4,4,M,3
90,1,8,3,M,2
90,2,5,8,M,3
91,1,0,3,M,2
91,2,0,5,M,3
92,1,8,2,M,2
92,2,1,6,M,3
93,1,6,9,M,2
93,2,7,5,H,2
94,1,9,3,M,2
94,2,3,3,M,2
95,1,7,1,H,1
95,2,1,0,M,2
96,1,7,8,M,1
96,2,9,7,M,2
97,1,5,3,M,1
97,2,2,0,M,2
98,1,3,5,H,0
98,2,8,5,M,2
99,1,3,6,M,0
99,2,7,4,H,1
100,1,8,9,M,0
100,2,2,5,H,0
