Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,8,7,H,16
1,2,4,2,M,17
2,1,5,6,M,16
2,2,2,9,M,17
3,1,5,0,M,16
3,2,5,6,M,17
4,1,1,4,M,16
4,2,1,2,M,17
5,1,3,9,M,16
5,2,1,7,M,17
6,1,4,8,H,15
6,2,9,3,M,17
7,1,2,1,M,15
7,2,3,6,M,17
8,1,2,5,M,15
8,2,2,5,M,17
9,1,0,2,M,15
9,2,6,9,M,17
10,1,2,2,M,15
10,2,4,1,M,17
11,1,6,8,M,15
11,2,5,3,M,17
12,1,5,2,M,15
12,2,8,2,M,17
13,1,1,3,M,15
13,2,2,0,M,17
14,1,6,1,H,14
14,2,8,1,H,16
15,1,6,9,M,14
15,2,8,5,M,16
16,1,7,8,M,14
16,2,5,5,M,16
17,1,9,0,M,14
17,2,6,5,M,16
18,1,0,5,M,14
18,2,7,1,H,15
19,1,9,9,M,14
19,2,1,0,M,15
20,1,1,6,M,14
20,2,2,3,M,15
21,1,1,2,M,14
21,2,0,3,M,15
22,1,9,7,H,13
22,2,9,1,H,14
23,1,2,0,M,13
23,2,7,5,H,13
24,1,8,3,M,13
24,2,3,8,M,13
25,1,9,5,M,13
25,2,7,7,H,12
26,1,5,7,H,12
26,2,9,5,M,12
27,1,1,7,M,12
27,2,4,4,M,12
28,1,9,3,M,12
28,2,7,4,H,11
29,1,7,6,M,12
29,2,5,1,H,10
30,1,4,9,M,12
30,2,0,0,M,10
31,1,0,1,M,12
31,2,9,0,M,10
32,1,5,3,M,12
32,2,8,9,M,10
33,1,3,3,M,12
33,2,7,9,M,10
34,1,8,9,M,12
34,2,3,0,M,10
35,1,6,6,M,12
35,2,0,8,H,9
36,1,7,5,M,12
36,2,1,1,H,8
37,1,6,4,M,12
37,2,1,5,M,8
38,1,3,1,M,12
38,2,3,2,M,8
39,1,3,5,M,12
39,2,8,3,M,8
40,1,4,1,H,11
40,2,0,5,M,8
41,1,3,8,H,10
41,2,4,6,M,8
42,1,9,8,M,10
42,2,3,3,M,8
43,1,7,4,H,9
43,2,7,0,M,8
44,1,0,7,M,9
44,2,2,6,M,8
45,1,8,1,M,9
45,2,5,0,M,8
46,1,0,6,M,9
46,2,1,3,M,8
47,1,7,9,M,9
47,2,4,5,M,8
48,1,1,0,M,9
48,2,9,2,M,8
49,1,1,5,M,9
49,2,4,7,M,8
50,1,8,8,M,9
50,2,2,7,M,8
51,1,1,9,M,9
51,2,0,2,M,8
52,1,0,0,M,9
52,2,0,6,H,7
53,1,3,4,M,9
53,2,0,4,M,7
54,1,3,7,M,9
54,2,3,9,M,7
55,1,5,9,M,9
55,2,4,9,M,7
56,1,9,1,M,9
56,2,5,2,M,7
57,1,6,5,M,9
57,2,9,9,H,6
58,1,7,1,M,9
58,2,9,7,M,6
59,1,1,1,M,9
59,2,9,4,M,6
60,1,4,2,M,9
60,2,2,1,H,5
61,1,5,8,M,9
61,2,5,7,M,5
62,1,8,4,H,8
62,2,5,4,M,5
63,1,9,6,M,8
63,2,6,7,M,5
64,1,4,7,M,8
64,2,6,2,M,5
65,1,2,9,M,8
65,2,9,6,M,5
66,1,4,0,M,8
66,2,1,8,M,5
67,1,2,7,M,8
67,2,8,7,M,5
68,1,5,4,M,8
68,2,9,8,H,4
69,1,4,3,M,8
69,2,3,7,M,4
70,1,2,4,M,8
70,2,0,7,H,3
71,1,6,7,H,7
71,2,4,8,M,3
72,1,8,2,M,7
72,2,1,4,M,3
73,1,2,3,M,7
73,2,6,4,M,3
74,1,0,8,M,7
74,2,2,2,M,3
75,1,3,6,M,7
75,2,2,8,M,3
76,1,7,0,M,7
76,2,1,9,M,3
77,1,7,2,M,7
77,2,2,4,M,3
78,1,4,4,H,6
78,2,6,8,M,3
79,1,8,6,M,6
79,2,8,6,M,3
80,1,4,6,M,6
80,2,6,0,M,3
81,1,4,5,H,5
81,2,1,6,M,3
82,1,2,6,M,5
82,2,6,6,M,3
83,1,2,8,H,4
83,2,6,3,M,3
84,1,7,3,M,4
84,2,8,0,M,3
85,1,3,2,M,4
85,2,4,0,M,3
86,1,0,9,M,4
86,2,7,3,M,3
87,1,7,7,H,3
87,2,6,1,H,2
88,1,9,2,M,3
88,2,3,1,H,1
89,1,8,5,M,3
89,2,7,2,M,1
90,1,8,0,M,3
90,2,5,8,M,1
91,1,5,5,M,3
91,2,8,4,M,1
92,1,1,8,H,2
92,2,8,8,M,1
93,1,0,4,M,2
93,2,3,5,M,1
94,1,6,2,M,2
94,2,7,8,M,1
95,1,5,1,H,1
95,2,7,6,H,0
96,1,3,0,M,1
96,2,0,1,M,0
97,1,6,3,M,1
97,2,3,4,M,0
98,1,6,0,M,1
98,2,5,9,M,0
99,1,0,3,M,1
99,2,4,3,M,0
100,1,9,4,H,0
100,2,0,9,M,0
