Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,1,8,M,17
1,2,4,3,M,17
2,1,7,7,M,17
2,2,0,1,M,17
3,1,8,0,M,17
3,2,7,9,H,16
4,1,5,7,M,17
4,2,4,4,M,16
5,1,8,7,H,16
5,2,4,2,M,16
6,1,8,1,M,16
6,2,2,5,H,15
7,1,8,8,M,16
7,2,6,8,M,15
8,1,4,8,M,16
8,2,0,7,M,15
9,1,5,6,M,16
9,2,8,2,M,15
10,1,6,6,M,16
10,2,3,3,M,15
11,1,3,9,M,16
11,2,6,7,M,15
12,1,1,4,M,16
12,2,7,3,M,15
13,1,5,1,H,15
13,2,5,4,M,15
14,1,9,3,M,15
14,2,6,1,H,14
15,1,3,2,M,15
15,2,8,6,M,14
16,1,1,0,M,15
16,2,9,7,M,14
17,1,9,1,M,15
17,2,2,8,M,14
18,1,3,6,M,15
18,2,4,7,M,14
19,1,7,1,H,14
19,2,5,8,M,14
20,1,7,2,M,14
20,2,8,4,M,14
21,1,0,2,M,14
21,2,0,9,M,14
22,1,8,6,H,13
22,2,1,5,H,13
23,1,7,4,H,12
23,2,3,6,M,13
24,1,0,0,M,12
24,2,9,9,H,12
25,1,8,2,M,12
25,2,7,5,M,12
26,1,9,8,M,12
26,2,0,5,M,12
27,1,4,7,H,11
27,2,6,5,M,12
28,1,2,0,M,11
28,2,4,0,M,12
29,1,4,6,H,10
29,2,3,0,M,12
30,1,4,9,M,10
30,2,7,8,M,12
31,1,8,4,M,10
31,2,9,6,M,12
32,1,9,6,M,10
32,2,7,4,M,12
33,1,3,7,M,10
33,2,8,7,M,12
34,1,9,9,M,10
34,2,4,8,M,12
35,1,4,0,M,10
35,2,1,9,M,12
36,1,1,7,M,10
36,2,9,2,M,12
37,1,3,1,M,10
37,2,4,5,M,12
38,1,2,1,M,10
38,2,8,1,M,12
39,1,6,0,M,10
39,2,8,3,M,12
40,1,7,8,M,10
40,2,2,3,H,11
41,1,4,5,H,9
41,2,5,6,M,11
42,1,1,2,M,9
42,2,5,1,M,11
43,1,3,5,M,9
43,2,6,4,M,11
44,1,6,8,M,9
44,2,5,2,M,11
45,1,7,0,M,9
45,2,8,8,M,11
46,1,0,5,H,8
46,2,2,6,M,11
47,1,4,4,H,7
47,2,1,7,M,11
48,1,2,2,M,7
48,2,4,1,M,11
49,1,5,3,M,7
49,2,9,5,M,11
50,1,7,5,H,6
50,2,9,1,M,11
51,1,1,1,M,6
51,2,3,5,H,10
52,1,0,4,H,5
52,2,9,3,M,10
53,1,6,7,M,5
53,2,0,4,M,10
54,1,2,7,M,5
54,2,5,0,H,9
55,1,3,3,M,5
55,2,0,8,M,9
56,1,3,8,M,5
56,2,6,3,M,9
57,1,0,9,M,5
57,2,5,7,M,9
58,1,2,4,M,5
58,2,2,9,M,9
59,1,2,9,M,5
59,2,9,0,M,9
60,1,2,3,M,5
60,2,6,2,H,8
61,1,7,3,H,4
61,2,1,6,M,8
62,1,9,5,M,4
62,2,3,4,M,8
63,1,6,9,M,4
63,2,0,6,M,8
64,1,0,3,H,3
64,2,5,3,M,8
65,1,7,6,H,2
65,2,5,5,M,8
66,1,2,5,M,2
66,2,2,1,M,8
67,1,6,1,H,1
67,2,3,1,M,8
68,1,6,5,M,1
68,2,9,4,M,8
69,1,9,4,M,1
69,2,0,0,M,8
70,1,5,5,M,1
70,2,5,9,H,7
71,1,9,7,M,1
71,2,3,9,M,7
72,1,4,2,M,1
72,2,0,3,M,7
73,1,8,9,M,1
73,2,7,6,M,7
74,1,4,3,H,0
74,2,6,9,H,6
75,1,8,3,M,0
75,2,4,9,M,6
76,1,2,8,M,0
76,2,2,0,M,6
77,1,7,9,M,0
77,2,8,5,M,6
78,1,5,8,M,0
78,2,2,4,H,5
79,1,4,1,M,0
79,2,1,4,M,5
80,1,0,1,M,0
80,2,1,3,M,5
81,1,1,9,M,0
81,2,1,1,M,5
82,1,5,4,M,0
82,2,8,9,H,4
83,1,6,2,M,0
83,2,4,6,M,4
84,1,1,6,M,0
84,2,8,0,H,3
85,1,6,4,M,0
85,2,0,2,M,3
86,1,2,6,M,0
86,2,1,8,M,3
87,1,0,6,M,0
87,2,2,2,H,2
88,1,5,0,M,0
88,2,1,0,M,2
89,1,5,9,M,0
89,2,2,7,M,2
90,1,0,8,M,0
90,2,7,0,H,1
91,1,5,2,M,0
91,2,3,8,M,1
92,1,9,0,M,0
92,2,6,0,H,0
