Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,2,9,M,17
1,2,9,7,M,17
2,1,6,7,M,17
2,2,9,4,M,17
3,1,7,8,M,17
3,2,2,0,M,17
4,1,2,6,M,17
4,2,3,7,M,17
5,1,7,2,H,16
5,2,1,2,M,17
6,1,1,7,M,16
6,2,0,3,M,17
7,1,4,5,M,16
7,2,3,3,M,17
8,1,6,8,M,16
8,2,9,0,H,16
9,1,5,8,H,15
9,2,8,1,M,16
10,1,4,2,M,15
10,2,6,8,M,16
11,1,3,7,M,15
11,2,1,3,M,16
12,1,4,9,M,15
12,2,6,0,M,16
13,1,0,2,M,15
13,2,8,9,M,16
14,1,2,3,M,15
14,2,5,4,H,15
15,1,3,3,M,15
15,2,3,6,H,14
16,1,3,0,M,15
16,2,3,2,H,13
17,1,4,7,M,15
17,2,2,8,M,13
18,1,8,5,M,15
18,2,2,5,M,13
19,1,9,7,M,15
19,2,7,0,M,13
20,1,8,0,M,15
20,2,0,5,M,13
21,1,9,6,M,15
21,2,7,1,M,13
22,1,4,0,M,15
22,2,3,5,M,13
23,1,0,4,M,15
23,2,6,3,M,13
24,1,3,9,M,15
24,2,8,6,M,13
25,1,5,0,M,15
25,2,0,9,M,13
26,1,3,2,M,15
26,2,3,4,M,13
27,1,6,9,H,14
27,2,1,5,M,13
28,1,7,9,H,13
28,2,5,8,M,13
29,1,6,6,M,13
29,2,5,0,M,13
30,1,0,5,M,13
30,2,1,8,M,13
31,1,0,7,M,13
31,2,7,9,M,13
32,1,4,8,M,13
32,2,8,3,M,13
33,1,6,2,M,13
33,2,6,5,M,13
34,1,4,4,M,13
34,2,0,0,M,13
35,1,9,4,M,13
35,2,7,3,M,13
36,1,3,1,M,13
36,2,2,6,H,12
37,1,2,1,M,13
37,2,4,8,M,12
38,1,9,0,M,13
38,2,5,5,M,12
39,1,2,2,M,13
39,2,2,2,H,11
40,1,8,9,H,12
40,2,6,4,H,10
41,1,1,3,H,11
41,2,5,9,M,10
42,1,9,8,M,11
42,2,5,2,H,9
43,1,1,5,H,10
43,2,7,7,M,9
44,1,8,4,M,10
44,2,9,5,M,9
45,1,5,6,H,9
45,2,4,3,M,9
46,1,5,7,H,8
46,2,1,7,H,8
47,1,1,4,H,7
47,2,6,1,M,8
48,1,4,6,M,7
48,2,4,4,M,8
49,1,0,8,M,7
49,2,9,6,M,8
50,1,7,1,M,7
50,2,1,6,H,7
51,1,7,5,M,7
51,2,9,9,M,7
52,1,7,7,M,7
52,2,5,7,M,7
53,1,2,0,M,7
53,2,7,2,M,7
54,1,0,0,M,7
54,2,4,6,M,7
55,1,7,0,M,7
55,2,3,1,M,7
56,1,6,0,M,7
56,2,7,5,M,7
57,1,8,8,M,7
57,2,4,0,M,7
58,1,9,1,M,7
58,2,0,8,M,7
59,1,1,9,M,7
59,2,4,2,H,6
60,1,6,5,M,7
60,2,7,4,H,5
61,1,0,3,M,7
61,2,6,6,M,5
62,1,4,1,M,7
62,2,6,2,H,4
63,1,5,5,H,6
63,2,4,7,M,4
64,1,6,3,M,6
64,2,7,6,M,4
65,1,8,3,M,6
65,2,3,8,M,4
66,1,1,0,M,6
66,2,1,1,M,4
67,1,5,3,M,6
67,2,8,4,M,4
68,1,9,9,H,5
68,2,1,4,M,4
69,1,7,3,H,4
69,2,9,8,M,4
70,1,6,4,M,4
70,2,4,5,M,4
71,1,3,6,M,4
71,2,8,0,M,4
72,1,5,4,M,4
72,2,3,9,M,4
73,1,2,5,M,4
73,2,6,9,M,4
74,1,5,1,M,4
74,2,8,5,M,4
75,1,9,5,M,4
75,2,8,7,M,4
76,1,9,3,M,4
76,2,0,1,M,4
77,1,2,4,M,4
77,2,6,7,M,4
78,1,5,9,H,3
78,2,5,6,M,4
79,1,4,3,M,3
79,2,2,1,M,4
80,1,9,2,M,3
80,2,8,8,M,4
81,1,7,4,H,2
81,2,5,3,M,4
82,1,2,7,M,2
82,2,1,0,M,4
83,1,1,2,H,1
83,2,8,2,M,4
84,1,8,6,M,1
84,2,2,3,M,4
85,1,0,9,M,1
85,2,0,2,M,4
86,1,1,6,H,0
86,2,3,0,M,4
87,1,8,2,M,0
87,2,9,3,M,4
88,1,0,1,M,0
88,2,4,9,M,4
89,1,6,1,M,0
89,2,0,4,M,4
90,1,5,2,M,0
90,2,2,9,M,4
91,1,8,7,M,0
91,2,9,1,H,3
92,1,1,8,M,0
92,2,0,7,M,3
93,1,1,1,M,0
93,2,7,8,M,3
94,1,8,1,M,0
94,2,0,6,H,2
95,1,3,5,M,0
95,2,5,1,M,2
96,1,7,6,M,0
96,2,9,2,H,1
97,1,3,8,M,0
97,2,2,4,M,1
98,1,2,8,M,0
98,2,4,1,M,1
99,1,3,4,M,0
99,2,1,9,M,1
100,1,0,6,M,0
100,2,2,7,H,0
