Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,4,4,M,17
1,2,8,8,M,17
2,1,6,5,M,17
2,2,5,2,H,16
3,1,9,0,M,17
3,2,2,8,M,16
4,1,3,8,M,17
4,2,1,3,M,16
5,1,2,1,M,17
5,2,6,0,M,16
6,1,8,2,M,17
6,2,1,7,M,16
7,1,9,4,M,17
7,2,7,0,M,16
8,1,0,4,M,17
8,2,6,9,M,16
9,1,7,4,H,16
9,2,8,2,M,16
10,1,8,5,H,15
10,2,9,2,M,16
11,1,9,2,M,15
11,2,8,3,M,16
12,1,7,7,M,15
12,2,0,9,M,16
13,1,7,2,H,14
13,2,5,8,M,16
14,1,3,3,M,14
14,2,1,4,M,16
15,1,2,4,M,14
15,2,4,0,M,16
16,1,9,5,M,14
16,2,9,6,H,15
17,1,2,6,M,14
17,2,7,9,M,15
18,1,8,3,M,14
18,2,6,3,M,15
19,1,9,7,M,14
19,2,0,7,H,14
20,1,2,7,H,13
20,2,3,6,M,14
21,1,4,8,M,13
21,2,4,2,H,13
22,1,1,7,M,13
22,2,6,8,M,13
23,1,3,0,M,13
23,2,8,7,H,12
24,1,3,2,M,13
24,2,5,9,M,12
25,1,1,1,M,13
25,2,6,5,M,12
26,1,1,6,M,13
26,2,0,8,M,12
27,1,1,3,M,13
27,2,3,9,M,12
28,1,4,5,M,13
28,2,8,0,M,12
29,1,5,0,M,13
29,2,2,0,M,12
30,1,2,9,H,12
30,2,8,1,M,12
31,1,5,4,H,11
31,2,3,8,M,12
32,1,1,0,M,11
32,2,2,9,M,12
33,1,3,1,M,11
33,2,4,3,M,12
34,1,0,1,M,11
34,2,4,7,H,11
35,1,4,6,M,11
35,2,0,4,M,11
36,1,8,8,M,11
36,2,8,9,M,11
37,1,7,5,H,10
37,2,8,4,M,11
38,1,5,1,H,9
38,2,8,5,H,10
39,1,6,8,M,9
39,2,1,9,M,10
40,1,0,8,M,9
40,2,6,1,M,10
41,1,7,1,H,8
41,2,9,4,M,10
42,1,2,5,M,8
42,2,9,5,H,9
43,1,5,6,M,8
43,2,0,1,M,9
44,1,4,7,H,7
44,2,0,0,M,9
45,1,4,3,M,7
45,2,4,5,H,8
46,1,6,4,M,7
46,2,2,1,M,8
47,1,1,4,M,7
47,2,0,3,M,8
48,1,5,8,M,7
48,2,5,6,M,8
49,1,7,8,M,7
49,2,1,6,M,8
50,1,2,8,M,7
50,2,3,4,M,8
51,1,7,3,H,6
51,2,9,0,M,8
52,1,1,8,M,6
52,2,7,4,M,8
53,1,5,7,M,6
53,2,5,3,M,8
54,1,0,6,M,6
54,2,7,3,M,8
55,1,9,1,M,6
55,2,6,6,M,8
56,1,0,9,M,6
56,2,9,7,H,7
57,1,6,3,M,6
57,2,4,9,M,7
58,1,6,7,M,6
58,2,2,3,M,7
59,1,3,6,M,6
59,2,3,2,H,6
60,1,2,3,M,6
60,2,8,6,H,5
61,1,5,2,H,5
61,2,1,5,M,5
62,1,9,6,M,5
62,2,7,7,M,5
63,1,6,2,M,5
63,2,7,1,M,5
64,1,1,5,M,5
64,2,2,5,M,5
65,1,9,9,M,5
65,2,2,6,M,5
66,1,0,0,M,5
66,2,5,5,M,5
67,1,3,9,H,4
67,2,2,4,M,5
68,1,9,8,M,4
68,2,6,7,M,5
69,1,4,2,M,4
69,2,6,4,M,5
70,1,8,6,H,3
70,2,1,1,M,5
71,1,3,7,H,2
71,2,3,0,M,5
72,1,5,5,M,2
72,2,7,2,M,5
73,1,7,9,M,2
73,2,0,2,M,5
74,1,5,3,H,1
74,2,2,7,M,5
75,1,1,9,M,1
75,2,6,2,M,5
76,1,8,1,M,1
76,2,3,5,M,5
77,1,6,9,M,1
77,2,9,9,H,4
78,1,0,7,M,1
78,2,1,0,M,4
79,1,7,0,M,1
79,2,4,6,H,3
80,1,3,4,M,1
80,2,0,6,H,2
81,1,4,9,M,1
81,2,0,5,M,2
82,1,6,6,M,1
82,2,9,3,M,2
83,1,5,9,M,1
83,2,2,2,M,2
84,1,8,0,M,1
84,2,9,1,M,2
85,1,6,1,M,1
85,2,7,8,M,2
86,1,3,5,M,1
86,2,4,4,M,2
87,1,0,2,M,1
87,2,7,5,M,2
88,1,9,3,M,1
88,2,5,1,M,2
89,1,2,2,M,1
89,2,7,6,M,2
90,1,2,0,M,1
90,2,3,3,M,2
91,1,4,0,M,1
91,2,5,4,M,2
92,1,8,4,H,0
92,2,4,1,M,2
93,1,4,1,M,0
93,2,5,0,M,2
94,1,0,3,M,0
94,2,1,8,M,2
95,1,8,9,M,0
95,2,3,1,M,2
96,1,7,6,M,0
96,2,1,2,M,2
97,1,1,2,M,0
97,2,9,8,H,1
98,1,6,0,M,0
98,2,4,8,H,0
