Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,0,5,M,17
1,2,8,1,M,17
2,1,0,7,M,17
2,2,6,6,H,16
3,1,1,0,M,17
3,2,6,0,M,16
4,1,9,0,M,17
4,2,4,3,M,16
5,1,0,6,M,17
5,2,9,1,H,15
6,1,8,1,M,17
6,2,2,1,M,15
7,1,4,2,H,16
7,2,4,0,H,14
8,1,3,7,M,16
8,2,3,1,M,14
9,1,9,5,M,16
9,2,3,9,M,14
10,1,7,0,M,16
10,2,5,1,M,14
11,1,4,8,M,16
11,2,7,4,M,14
12,1,1,6,M,16
12,2,8,8,M,14
13,1,8,3,H,15
13,2,1,9,M,14
14,1,4,9,M,15
14,2,8,2,M,14
15,1,3,2,H,14
15,2,1,8,M,14
16,1,1,1,M,14
16,2,9,8,M,14
17,1,2,7,M,14
17,2,2,4,M,14
18,1,4,6,M,14
18,2,1,6,M,14
19,1,6,2,M,14
19,2,6,3,H,13
20,1,2,1,M,14
20,2,3,4,H,12
21,1,6,5,M,14
21,2,7,2,M,12
22,1,5,3,H,13
22,2,1,1,M,12
23,1,1,3,M,13
23,2,4,4,M,12
24,1,6,1,M,13
24,2,0,6,M,12
25,1,7,2,M,13
25,2,5,6,M,12
26,1,0,2,M,13
26,2,5,8,M,12
27,1,2,0,M,13
27,2,9,0,M,12
28,1,3,4,M,13
28,2,8,3,M,12
29,1,8,0,M,13
29,2,4,2,M,12
30,1,8,8,H,12
30,2,3,3,H,11
31,1,8,9,H,11
31,2,0,8,M,11
32,1,4,3,M,11
32,2,4,1,M,11
33,1,1,4,M,11
33,2,4,9,M,11
34,1,5,6,H,10
34,2,3,6,H,10
35,1,0,1,M,10
35,2,5,7,M,10
36,1,2,6,M,10
36,2,7,5,M,10
37,1,4,0,M,10
37,2,7,3,M,10
38,1,4,1,M,10
38,2,1,0,M,10
39,1,5,7,H,9
39,2,5,0,H,9
40,1,5,8,H,8
40,2,2,6,M,9
41,1,3,1,M,8
41,2,1,3,M,9
42,1,7,9,M,8
42,2,7,9,M,9
43,1,4,5,M,8
43,2,4,6,M,9
44,1,6,4,M,8
44,2,6,9,M,9
45,1,6,3,H,7
45,2,4,7,M,9
46,1,4,7,M,7
46,2,6,4,H,8
47,1,3,5,M,7
47,2,0,9,M,8
48,1,1,9,M,7
48,2,8,9,M,8
49,1,6,9,M,7
49,2,2,3,M,8
50,1,3,9,M,7
50,2,4,8,M,8
51,1,9,7,M,7
51,2,7,6,M,8
52,1,4,4,M,7
52,2,8,5,M,8
53,1,8,4,M,7
53,2,6,8,M,8
54,1,9,6,M,7
54,2,8,6,M,8
55,1,0,0,M,7
55,2,9,9,M,8
56,1,7,4,M,7
56,2,7,0,M,8
57,1,3,6,M,7
57,2,9,2,H,7
58,1,0,4,M,7
58,2,0,4,M,7
59,1,1,2,M,7
59,2,6,7,M,7
60,1,5,9,M,7
60,2,1,4,M,7
61,1,2,3,M,7
61,2,6,1,M,7
62,1,8,5,M,7
62,2,7,8,M,7
63,1,3,0,M,7
63,2,0,1,H,6
64,1,6,8,M,7
64,2,1,7,M,6
65,1,3,3,M,7
65,2,0,2,H,5
66,1,5,4,M,7
66,2,9,3,H,4
67,1,9,1,M,7
67,2,9,6,M,4
68,1,6,7,M,7
68,2,2,9,M,4
69,1,9,3,H,6
69,2,5,2,M,4
70,1,9,4,M,6
70,2,3,5,H,3
71,1,2,2,M,6
71,2,3,8,M,3
72,1,0,3,M,6
72,2,0,3,M,3
73,1,9,8,H,5
73,2,3,0,H,2
74,1,1,8,M,5
74,2,5,4,M,2
75,1,7,7,M,5
75,2,9,4,M,2
76,1,6,0,M,5
76,2,8,0,M,2
77,1,1,7,M,5
77,2,4,5,M,2
78,1,5,2,H,4
78,2,2,7,M,2
79,1,2,4,M,4
79,2,0,5,M,2
80,1,7,6,M,4
80,2,2,8,M,2
81,1,2,5,M,4
81,2,8,7,M,2
82,1,9,9,H,3
82,2,6,2,H,1
83,1,7,8,H,2
83,2,8,4,M,1
84,1,2,9,M,2
84,2,1,2,M,1
85,1,8,2,M,2
85,2,5,3,M,1
86,1,5,5,H,1
86,2,9,7,M,1
87,1,7,3,H,0
87,2,0,0,M,1
88,1,5,0,M,0
88,2,3,7,M,1
89,1,5,1,M,0
89,2,6,5,H,0
