Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,8,1,M,17
1,2,5,2,H,16
2,1,3,6,H,16
2,2,3,5,M,16
3,1,7,5,M,16
3,2,3,1,M,16
4,1,4,6,H,15
4,2,8,5,H,15
5,1,6,8,M,15
5,2,7,7,M,15
6,1,0,6,H,14
6,2,8,0,M,15
7,1,2,5,M,14
7,2,0,2,M,15
8,1,7,8,M,14
8,2,6,9,M,15
9,1,5,3,H,13
9,2,0,8,M,15
10,1,1,7,M,13
10,2,5,0,M,15
11,1,9,1,M,13
11,2,5,6,M,15
12,1,2,0,M,13
12,2,7,5,H,14
13,1,6,7,H,12
13,2,3,4,M,14
14,1,8,0,M,12
14,2,4,7,M,14
15,1,9,7,M,12
15,2,7,0,M,14
16,1,5,2,H,11
16,2,2,8,M,14
17,1,7,6,M,11
17,2,4,4,M,14
18,1,8,2,M,11
18,2,7,9,M,14
19,1,0,5,M,11
19,2,2,4,M,14
20,1,8,8,M,11
20,2,9,1,M,14
21,1,4,1,M,11
21,2,9,0,M,14
22,1,8,4,H,10
22,2,5,7,M,14
23,1,5,6,M,10
23,2,6,0,M,14
24,1,8,3,M,10
24,2,3,3,M,14
25,1,5,7,H,9
25,2,9,8,M,14
26,1,8,6,M,9
26,2,1,9,M,14
27,1,7,1,M,9
27,2,1,0,M,14
28,1,9,0,M,9
28,2,0,1,M,14
29,1,3,4,H,8
29,2,7,4,M,14
30,1,6,5,M,8
30,2,4,0,M,14
31,1,4,9,M,8
31,2,9,7,M,14
32,1,5,4,H,7
32,2,1,7,M,14
33,1,9,2,M,7
33,2,7,3,M,14
34,1,7,3,M,7
34,2,2,9,M,14
35,1,1,9,M,7
35,2,7,1,M,14
36,1,8,7,M,7
36,2,2,5,M,14
37,1,1,2,M,7
37,2,1,3,H,13
38,1,3,0,M,7
38,2,8,3,M,13
39,1,5,9,M,7
39,2,8,4,M,13
40,1,2,7,M,7
40,2,9,5,H,12
41,1,9,8,M,7
41,2,4,1,M,12
42,1,2,3,M,7
42,2,6,7,M,12
43,1,4,5,M,7
43,2,2,0,M,12
44,1,4,2,M,7
44,2,4,6,M,12
45,1,6,3,M,7
45,2,0,6,M,12
46,1,1,5,M,7
46,2,3,9,M,12
47,1,8,9,M,7
47,2,7,2,M,12
48,1,9,5,M,7
48,2,5,3,H,11
49,1,6,4,H,6
49,2,1,1,M,11
50,1,3,2,M,6
50,2,4,9,M,11
51,1,9,9,M,6
51,2,7,8,M,11
52,1,3,8,M,6
52,2,3,7,M,11
53,1,3,5,H,5
53,2,4,2,M,11
54,1,4,4,M,5
54,2,2,6,M,11
55,1,6,9,M,5
55,2,0,7,M,11
56,1,9,4,M,5
56,2,0,4,M,11
57,1,4,3,M,5
57,2,4,3,M,11
58,1,2,6,H,4
58,2,2,1,M,11
59,1,4,0,M,4
59,2,0,3,M,11
60,1,6,1,M,4
60,2,4,8,M,11
61,1,2,2,M,4
61,2,5,5,M,11
62,1,2,8,M,4
62,2,8,2,M,11
63,1,3,1,M,4
63,2,4,5,M,11
64,1,1,3,M,4
64,2,5,4,M,11
65,1,7,4,H,3
65,2,8,9,M,11
66,1,0,4,M,3
66,2,6,5,H,10
67,1,0,1,M,3
67,2,6,3,M,10
68,1,5,8,M,3
68,2,1,8,M,10
69,1,3,9,M,3
69,2,5,1,H,9
70,1,7,7,M,3
70,2,6,6,M,9
71,1,2,4,M,3
71,2,5,8,M,9
72,1,6,0,M,3
72,2,0,5,M,9
73,1,0,0,M,3
73,2,2,2,M,9
74,1,0,8,M,3
74,2,6,4,M,9
75,1,4,8,M,3
75,2,5,9,M,9
76,1,2,1,M,3
76,2,0,9,M,9
77,1,8,5,M,3
77,2,8,1,M,9
78,1,3,3,H,2
78,2,8,6,H,8
79,1,5,1,M,2
79,2,8,7,H,7
80,1,1,8,M,2
80,2,8,8,M,7
81,1,1,1,M,2
81,2,1,5,H,6
82,1,1,4,M,2
82,2,3,0,M,6
83,1,1,6,H,1
83,2,6,1,M,6
84,1,0,9,M,1
84,2,9,4,H,5
85,1,0,2,M,1
85,2,3,2,M,5
86,1,3,7,M,1
86,2,3,8,M,5
87,1,7,9,M,1
87,2,9,2,H,4
88,1,5,0,M,1
88,2,7,6,M,4
89,1,7,2,M,1
89,2,0,0,M,4
90,1,4,7,H,0
90,2,3,6,M,4
91,1,9,6,M,0
91,2,1,2,H,3
92,1,9,3,M,0
92,2,1,4,H,2
93,1,0,7,M,0
93,2,2,7,M,2
94,1,2,9,M,0
94,2,9,6,H,1
95,1,1,0,M,0
95,2,6,8,M,1
96,1,5,5,M,0
96,2,1,6,M,1
97,1,0,3,M,0
97,2,9,3,H,0
