Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,3,3,M,17
1,2,4,0,M,17
2,1,9,3,M,17
2,2,3,3,M,17
3,1,6,6,M,17
3,2,8,1,M,17
4,1,7,1,M,17
4,2,9,0,M,17
5,1,1,5,M,17
5,2,8,0,M,17
6,1,2,4,M,17
6,2,9,2,M,17
7,1,9,9,M,17
7,2,7,9,M,17
8,1,6,8,M,17
8,2,1,8,M,17
9,1,2,8,M,17
9,2,4,8,M,17
10,1,6,9,M,17
10,2,7,7,M,17
11,1,5,0,M,17
11,2,7,4,M,17
12,1,2,0,M,17
12,2,0,8,M,17
13,1,1,1,M,17
13,2,6,9,H,16
14,1,6,3,M,17
14,2,3,7,M,16
15,1,8,4,M,17
15,2,1,2,M,16
16,1,8,8,M,17
16,2,4,4,M,16
17,1,0,9,M,17
17,2,2,5,M,16
18,1,9,7,H,16
18,2,7,2,M,16
19,1,1,4,M,16
19,2,4,7,M,16
20,1,7,6,M,16
20,2,9,9,M,16
21,1,9,1,M,16
21,2,8,9,M,16
22,1,0,1,H,15
22,2,5,2,H,15
23,1,2,6,M,15
23,2,7,0,M,15
24,1,2,2,M,15
24,2,8,4,M,15
25,1,3,6,M,15
25,2,2,0,M,15
26,1,4,5,M,15
26,2,7,6,H,14
27,1,0,3,H,14
27,2,0,9,M,14
28,1,6,1,M,14
28,2,4,6,M,14
29,1,5,7,H,13
29,2,6,3,M,14
30,1,9,0,M,13
30,2,9,5,M,14
31,1,8,1,M,13
31,2,6,0,M,14
32,1,1,2,M,13
32,2,3,1,M,14
33,1,6,4,H,12
33,2,0,1,M,14
34,1,8,0,M,12
34,2,0,4,M,14
35,1,0,2,H,11
35,2,1,9,M,14
36,1,9,5,H,10
36,2,0,7,M,14
37,1,3,8,M,10
37,2,1,6,M,14
38,1,3,5,M,10
38,2,0,2,M,14
39,1,5,2,M,10
39,2,8,5,M,14
40,1,5,6,M,10
40,2,4,9,M,14
41,1,0,4,H,9
41,2,8,6,H,13
42,1,5,8,M,9
42,2,5,0,H,12
43,1,8,2,M,9
43,2,3,8,M,12
44,1,3,9,M,9
44,2,5,6,H,11
45,1,1,7,M,9
45,2,2,2,M,11
46,1,4,0,M,9
46,2,1,4,M,11
47,1,7,5,M,9
47,2,7,1,M,11
48,1,4,2,H,8
48,2,2,1,M,11
49,1,2,1,M,8
49,2,8,8,M,11
50,1,4,6,M,8
50,2,7,5,M,11
51,1,9,6,H,7
51,2,3,6,M,11
52,1,1,3,M,7
52,2,9,8,M,11
53,1,3,1,M,7
53,2,4,5,M,11
54,1,8,7,M,7
54,2,0,0,M,11
55,1,3,7,H,6
55,2,1,5,M,11
56,1,8,6,M,6
56,2,2,6,M,11
57,1,3,2,M,6
57,2,6,7,H,10
58,1,4,4,M,6
58,2,2,4,M,10
59,1,1,9,M,6
59,2,3,9,M,10
60,1,1,0,M,6
60,2,3,2,M,10
61,1,4,9,M,6
61,2,6,1,M,10
62,1,9,2,M,6
62,2,3,4,M,10
63,1,9,8,M,6
63,2,5,4,H,9
64,1,5,4,H,5
64,2,0,3,M,9
65,1,4,8,M,5
65,2,6,2,M,9
66,1,0,5,M,5
66,2,5,5,H,8
67,1,7,4,M,5
67,2,5,9,M,8
68,1,7,3,M,5
68,2,8,2,M,8
69,1,0,8,M,5
69,2,9,6,H,7
70,1,7,8,M,5
70,2,7,8,M,7
71,1,2,3,M,5
71,2,9,1,M,7
72,1,3,0,M,5
72,2,2,7,M,7
73,1,3,4,M,5
73,2,0,6,M,7
74,1,0,0,H,4
74,2,1,1,M,7
75,1,1,8,M,4
75,2,9,4,M,7
76,1,1,6,M,4
76,2,6,6,H,6
77,1,2,5,M,4
77,2,8,3,M,6
78,1,2,9,M,4
78,2,1,0,M,6
79,1,4,1,H,3
79,2,5,8,M,6
80,1,4,3,H,2
80,2,2,8,M,6
81,1,7,2,M,2
81,2,5,3,H,5
82,1,7,0,M,2
82,2,2,9,M,5
83,1,7,9,M,2
83,2,2,3,H,4
84,1,6,5,M,2
84,2,4,3,M,4
85,1,5,1,M,2
85,2,8,7,M,4
86,1,7,7,M,2
86,2,3,0,M,4
87,1,5,9,M,2
87,2,9,3,M,4
88,1,5,5,M,2
88,2,1,3,H,3
89,1,0,6,M,2
89,2,7,3,M,3
90,1,5,3,M,2
90,2,9,7,M,3
91,1,2,7,H,1
91,2,4,2,M,3
92,1,6,7,M,1
92,2,0,5,M,3
93,1,0,7,M,1
93,2,4,1,M,3
94,1,6,2,M,1
94,2,6,5,M,3
95,1,4,7,H,0
95,2,6,8,H,2
96,1,8,5,M,0
96,2,5,7,H,1
97,1,9,4,M,0
97,2,3,5,M,1
98,1,8,3,M,0
98,2,5,1,H,0
