Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,1,2,M,17
1,2,6,7,M,17
2,1,5,3,M,17
2,2,1,4,H,16
3,1,5,7,H,16
3,2,6,0,M,16
4,1,6,1,M,16
4,2,7,6,M,16
5,1,7,0,M,16
5,2,6,4,H,15
6,1,8,0,M,16
6,2,4,1,M,15
7,1,2,9,H,15
7,2,0,3,M,15
8,1,1,5,M,15
8,2,4,5,M,15
9,1,0,4,M,15
9,2,2,7,H,14
10,1,1,9,M,15
10,2,3,0,M,14
11,1,0,5,M,15
11,2,7,7,M,14
12,1,4,7,M,15
12,2,4,6,M,14
13,1,2,6,M,15
13,2,7,0,M,14
14,1,0,1,M,15
14,2,3,8,M,14
15,1,3,0,M,15
15,2,2,2,H,13
16,1,4,9,M,15
16,2,2,6,H,12
17,1,9,2,M,15
17,2,5,7,M,12
18,1,9,0,M,15
18,2,3,9,M,12
19,1,7,2,M,15
19,2,7,5,M,12
20,1,8,9,M,15
20,2,1,1,M,12
21,1,9,7,M,15
21,2,6,5,H,11
22,1,7,1,M,15
22,2,9,8,M,11
23,1,7,5,M,15
23,2,3,6,H,10
24,1,2,1,M,15
24,2,1,2,M,10
25,1,5,5,H,14
25,2,4,4,H,9
26,1,3,9,H,13
26,2,6,9,M,9
27,1,9,1,M,13
27,2,5,0,M,9
28,1,9,4,M,13
28,2,2,5,M,9
29,1,8,4,M,13
29,2,9,3,M,9
30,1,1,8,H,12
30,2,9,7,M,9
31,1,7,6,M,12
31,2,8,7,M,9
32,1,5,2,M,12
32,2,1,3,M,9
33,1,0,3,M,12
33,2,4,9,M,9
34,1,6,2,M,12
34,2,2,9,M,9
35,1,8,2,M,12
35,2,6,2,M,9
36,1,1,3,M,12
36,2,3,5,H,8
37,1,3,6,M,12
37,2,7,4,M,8
38,1,8,8,M,12
38,2,5,2,H,7
39,1,7,7,H,11
39,2,0,0,M,7
40,1,6,5,M,11
40,2,9,9,M,7
41,1,5,4,H,10
41,2,4,0,M,7
42,1,0,2,M,10
42,2,4,8,M,7
43,1,4,1,M,10
43,2,3,1,M,7
44,1,8,1,M,10
44,2,8,3,M,7
45,1,1,4,M,10
45,2,1,8,M,7
46,1,6,4,M,10
46,2,1,5,M,7
47,1,4,6,M,10
47,2,3,4,H,6
48,1,8,7,H,9
48,2,5,6,M,6
49,1,8,5,M,9
49,2,4,3,M,6
50,1,3,2,M,9
50,2,3,3,M,6
51,1,2,8,H,8
51,2,2,4,H,5
52,1,5,8,H,7
52,2,0,8,M,5
53,1,9,8,M,7
53,2,1,9,M,5
54,1,3,7,M,7
54,2,9,1,M,5
55,1,5,1,M,7
55,2,6,8,M,5
56,1,4,0,M,7
56,2,9,4,M,5
57,1,5,9,M,7
57,2,4,2,H,4
58,1,3,4,M,7
58,2,5,5,M,4
59,1,1,6,M,7
59,2,4,7,M,4
60,1,5,6,H,6
60,2,5,1,M,4
61,1,2,2,H,5
61,2,2,3,M,4
62,1,4,8,H,4
62,2,0,4,M,4
63,1,0,8,M,4
63,2,5,3,M,4
64,1,6,7,H,3
64,2,8,0,M,4
65,1,9,5,M,3
65,2,0,7,M,4
66,1,9,3,M,3
66,2,9,0,M,4
67,1,4,4,M,3
67,2,2,1,M,4
68,1,2,4,H,2
68,2,8,2,M,4
69,1,3,5,M,2
69,2,9,6,M,4
70,1,0,7,M,2
70,2,0,2,M,4
71,1,2,5,M,2
71,2,0,1,M,4
72,1,2,3,H,1
72,2,9,2,M,4
73,1,1,7,M,1
73,2,0,9,M,4
74,1,6,0,M,1
74,2,8,4,M,4
75,1,0,6,M,1
75,2,0,6,M,4
76,1,3,8,H,0
76,2,5,9,M,4
77,1,9,6,M,0
77,2,8,1,M,4
78,1,4,5,M,0
78,2,7,1,M,4
79,1,6,6,M,0
79,2,8,6,M,4
80,1,7,3,M,0
80,2,6,1,M,4
81,1,3,3,M,0
81,2,1,6,M,4
82,1,2,0,M,0
82,2,5,8,M,4
83,1,1,0,M,0
83,2,3,2,H,3
84,1,0,0,M,0
84,2,3,7,H,2
85,1,6,9,M,0
85,2,5,4,H,1
86,1,7,9,M,0
86,2,8,5,M,1
87,1,7,4,M,0
87,2,6,6,H,0
