Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,1,8,M,17
1,2,2,0,M,17
2,1,3,1,M,17
2,2,0,4,M,17
3,1,2,7,M,17
3,2,5,3,H,16
4,1,3,3,H,16
4,2,6,8,M,16
5,1,2,1,H,15
5,2,4,4,M,16
6,1,9,8,M,15
6,2,2,5,M,16
7,1,0,9,M,15
7,2,4,2,M,16
8,1,4,0,M,15
8,2,8,3,M,16
9,1,0,7,M,15
9,2,6,4,H,15
10,1,9,6,M,15
10,2,1,2,M,15
11,1,9,1,M,15
11,2,1,7,M,15
12,1,5,8,M,15
12,2,3,9,M,15
13,1,1,0,M,15
13,2,8,5,M,15
14,1,5,7,H,14
14,2,0,9,M,15
15,1,4,3,M,14
15,2,6,5,H,14
16,1,2,6,M,14
16,2,2,3,M,14
17,1,4,7,M,14
17,2,6,3,H,13
18,1,6,6,H,13
18,2,5,2,M,13
19,1,0,4,M,13
19,2,4,9,M,13
20,1,0,1,M,13
20,2,3,0,M,13
21,1,2,8,M,13
21,2,4,5,M,13
22,1,8,9,M,13
22,2,7,4,H,12
23,1,8,3,M,13
23,2,4,7,M,12
24,1,2,9,M,13
24,2,9,0,H,11
25,1,5,3,H,12
25,2,3,5,H,10
26,1,1,5,M,12
26,2,2,9,M,10
27,1,3,8,M,12
27,2,1,6,M,10
28,1,5,9,M,12
28,2,9,4,H,9
29,1,5,1,H,11
29,2,9,3,M,9
30,1,7,4,M,11
30,2,7,7,M,9
31,1,1,4,M,11
31,2,1,3,M,9
32,1,9,0,M,11
32,2,3,6,M,9
33,1,7,9,M,11
33,2,8,1,M,9
34,1,6,2,M,11
34,2,6,2,M,9
35,1,9,4,M,11
35,2,4,6,M,9
36,1,6,8,M,11
36,2,5,1,M,9
37,1,0,0,M,11
37,2,4,3,M,9
38,1,7,7,M,11
38,2,3,2,M,9
39,1,8,2,M,11
39,2,1,1,M,9
40,1,1,9,M,11
40,2,9,8,M,9
41,1,9,2,M,11
41,2,6,1,M,9
42,1,4,5,M,11
42,2,7,1,M,9
43,1,4,8,M,11
43,2,8,4,H,8
44,1,3,6,H,10
44,2,7,8,M,8
45,1,5,2,H,9
45,2,0,7,M,8
46,1,6,7,M,9
46,2,4,0,M,8
47,1,4,4,M,9
47,2,4,1,M,8
48,1,5,0,M,9
48,2,7,5,H,7
49,1,0,2,M,9
49,2,0,5,M,7
50,1,6,1,M,9
50,2,6,7,M,7
51,1,7,3,M,9
51,2,0,6,M,7
52,1,2,0,M,9
52,2,9,1,M,7
53,1,2,2,H,8
53,2,9,9,M,7
54,1,8,8,M,8
54,2,3,1,M,7
55,1,9,5,M,8
55,2,8,9,M,7
56,1,4,2,M,8
56,2,0,8,M,7
57,1,1,1,M,8
57,2,5,8,M,7
58,1,2,3,H,7
58,2,9,7,M,7
59,1,2,4,M,7
59,2,0,0,M,7
60,1,7,2,M,7
60,2,5,9,M,7
61,1,0,5,M,7
61,2,5,5,H,6
62,1,4,6,M,7
62,2,3,3,H,5
63,1,6,9,M,7
63,2,9,2,M,5
64,1,6,4,H,6
64,2,5,7,M,5
65,1,9,9,M,6
65,2,6,6,M,5
66,1,3,0,M,6
66,2,2,6,M,5
67,1,4,1,M,6
67,2,2,4,M,5
68,1,5,4,H,5
68,2,0,3,M,5
69,1,3,4,H,4
69,2,8,7,M,5
70,1,3,5,H,3
70,2,7,6,M,5
71,1,9,7,M,3
71,2,2,8,M,5
72,1,1,3,M,3
72,2,5,0,M,5
73,1,0,3,M,3
73,2,1,8,M,5
74,1,4,9,M,3
74,2,2,2,M,5
75,1,1,6,M,3
75,2,6,0,H,4
76,1,8,4,M,3
76,2,1,4,M,4
77,1,3,2,H,2
77,2,7,0,H,3
78,1,5,6,H,1
78,2,1,5,M,3
79,1,8,0,M,1
79,2,5,6,M,3
80,1,5,5,M,1
80,2,7,2,M,3
81,1,1,7,M,1
81,2,3,8,M,3
82,1,8,1,M,1
82,2,9,5,M,3
83,1,7,6,M,1
83,2,1,9,M,3
84,1,7,8,M,1
84,2,3,4,H,2
85,1,3,7,M,1
85,2,6,9,M,2
86,1,9,3,M,1
86,2,8,0,H,1
87,1,3,9,M,1
87,2,1,0,M,1
88,1,7,5,M,1
88,2,0,1,M,1
89,1,6,0,M,1
89,2,2,7,M,1
90,1,6,5,H,0
90,2,8,2,M,1
91,1,6,3,M,0
91,2,4,8,M,1
92,1,2,5,M,0
92,2,0,2,M,1
93,1,8,7,M,0
93,2,3,7,M,1
94,1,1,2,M,0
94,2,8,8,M,1
95,1,8,6,M,0
95,2,5,4,H,0
