Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,0,1,M,17
1,2,0,5,M,17
2,1,7,4,M,17
2,2,8,5,M,17
3,1,6,0,M,17
3,2,6,9,M,17
4,1,2,6,M,17
4,2,3,1,M,17
5,1,0,9,M,17
5,2,7,5,H,16
6,1,6,7,H,16
6,2,6,8,M,16
7,1,3,0,M,16
7,2,1,3,H,15
8,1,1,2,M,16
8,2,6,6,M,15
9,1,5,0,M,16
9,2,8,8,M,15
10,1,7,9,M,16
10,2,8,6,M,15
11,1,8,9,M,16
11,2,5,3,M,15
12,1,2,2,M,16
12,2,7,7,M,15
13,1,1,3,M,16
13,2,0,7,M,15
14,1,5,7,M,16
14,2,6,4,M,15
15,1,1,5,M,16
15,2,8,2,M,15
16,1,7,3,M,16
16,2,5,7,M,15
17,1,3,7,M,16
17,2,2,8,M,15
18,1,1,7,M,16
18,2,1,4,H,14
19,1,9,0,M,16
19,2,9,1,M,14
20,1,5,3,M,16
20,2,9,9,M,14
21,1,5,1,H,15
21,2,7,8,M,14
22,1,4,4,M,15
22,2,1,5,H,13
23,1,9,4,M,15
23,2,0,9,M,13
24,1,6,6,M,15
24,2,9,3,M,13
25,1,8,3,M,15
25,2,7,0,M,13
26,1,0,2,M,15
26,2,1,0,M,13
27,1,3,4,M,15
27,2,4,2,M,13
28,1,9,1,M,15
28,2,2,1,M,13
29,1,5,6,M,15
29,2,2,2,M,13
30,1,8,2,M,15
30,2,3,0,M,13
31,1,0,8,M,15
31,2,9,5,M,13
32,1,1,8,M,15
32,2,6,1,H,12
33,1,7,2,M,15
33,2,4,3,M,12
34,1,5,8,M,15
34,2,5,6,M,12
35,1,1,0,M,15
35,2,2,5,M,12
36,1,9,6,H,14
36,2,5,0,M,12
37,1,2,5,M,14
37,2,0,0,M,12
38,1,8,0,M,14
38,2,0,1,M,12
39,1,3,8,M,14
39,2,6,3,H,11
40,1,9,5,H,13
40,2,4,7,M,11
41,1,4,5,H,12
41,2,8,4,M,11
42,1,5,5,H,11
42,2,4,9,M,11
43,1,8,8,M,11
43,2,8,0,M,11
44,1,2,7,M,11
44,2,9,2,M,11
45,1,7,5,M,11
45,2,5,8,M,11
46,1,8,5,M,11
46,2,3,7,H,10
47,1,7,8,M,11
47,2,6,2,H,9
48,1,0,5,M,11
48,2,0,6,M,9
49,1,4,7,M,11
49,2,7,6,M,9
50,1,1,9,H,10
50,2,2,0,M,9
51,1,0,4,M,10
51,2,1,8,M,9
52,1,3,9,H,9
52,2,3,4,M,9
53,1,0,3,M,9
53,2,9,4,M,9
54,1,5,4,M,9
54,2,3,9,M,9
55,1,5,9,M,9
55,2,4,4,M,9
56,1,8,4,M,9
56,2,4,0,M,9
57,1,0,6,M,9
57,2,2,9,M,9
58,1,3,5,M,9
58,2,1,7,M,9
59,1,7,0,M,9
59,2,9,7,M,9
60,1,4,3,M,9
60,2,1,9,M,9
61,1,3,1,H,8
61,2,3,2,M,9
62,1,6,3,M,8
62,2,2,4,M,9
63,1,8,7,M,8
63,2,0,4,M,9
64,1,6,8,H,7
64,2,5,9,M,9
65,1,0,0,M,7
65,2,7,2,H,8
66,1,3,3,M,7
66,2,2,3,M,8
67,1,9,8,M,7
67,2,8,7,M,8
68,1,1,4,M,7
68,2,9,6,M,8
69,1,6,4,M,7
69,2,7,4,H,7
70,1,9,9,M,7
70,2,3,6,H,6
71,1,6,5,H,6
71,2,0,8,M,6
72,1,4,1,H,5
72,2,9,0,M,6
73,1,2,0,M,5
73,2,4,8,M,6
74,1,9,3,M,5
74,2,6,0,H,5
75,1,4,8,M,5
75,2,8,9,M,5
76,1,2,4,M,5
76,2,1,1,M,5
77,1,2,1,H,4
77,2,6,5,M,5
78,1,2,9,H,3
78,2,9,8,M,5
79,1,3,6,M,3
79,2,2,7,M,5
80,1,5,2,M,3
80,2,3,3,M,5
81,1,4,9,H,2
81,2,6,7,M,5
82,1,7,7,M,2
82,2,0,3,M,5
83,1,8,1,M,2
83,2,5,4,M,5
84,1,6,1,H,1
84,2,5,2,H,4
85,1,2,3,M,1
85,2,2,6,M,4
86,1,2,8,M,1
86,2,8,3,M,4
87,1,7,6,M,1
87,2,1,6,M,4
88,1,4,6,M,1
88,2,4,6,M,4
89,1,1,1,M,1
89,2,0,2,M,4
90,1,4,2,M,1
90,2,3,8,M,4
91,1,9,7,H,0
91,2,4,1,M,4
92,1,6,9,M,0
92,2,5,1,H,3
93,1,1,6,M,0
93,2,4,5,M,3
94,1,6,2,M,0
94,2,8,1,M,3
95,1,0,7,M,0
95,2,7,3,H,2
96,1,4,0,M,0
96,2,7,1,H,1
97,1,9,2,M,0
97,2,1,2,M,1
98,1,3,2,M,0
98,2,5,5,M,1
99,1,7,1,M,0
99,2,3,5,H,0
