Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,5,4,M,17
1,2,1,0,M,17
2,1,4,2,M,17
2,2,1,7,H,16
3,1,0,2,M,17
3,2,0,0,M,16
4,1,3,7,M,17
4,2,3,1,M,16
5,1,8,1,M,17
5,2,7,8,M,16
6,1,1,5,H,16
6,2,9,1,M,16
7,1,6,6,M,16
7,2,0,8,M,16
8,1,7,0,M,16
8,2,6,4,H,15
9,1,0,8,H,15
9,2,9,3,M,15
10,1,9,1,M,15
10,2,9,5,M,15
11,1,6,7,M,15
11,2,6,9,M,15
12,1,3,5,M,15
12,2,2,1,M,15
13,1,9,4,M,15
13,2,8,0,M,15
14,1,8,4,M,15
14,2,8,6,M,15
15,1,9,5,M,15
15,2,4,9,M,15
16,1,0,5,M,15
16,2,3,9,H,14
17,1,6,2,M,15
17,2,9,9,M,14
18,1,2,6,M,15
18,2,8,7,M,14
19,1,7,6,M,15
19,2,3,0,M,14
20,1,5,3,M,15
20,2,7,9,M,14
21,1,2,9,M,15
21,2,0,4,M,14
22,1,8,5,M,15
22,2,5,1,M,14
23,1,4,6,M,15
23,2,6,0,M,14
24,1,8,7,H,14
24,2,5,8,M,14
25,1,1,3,H,13
25,2,9,4,M,14
26,1,1,1,M,13
26,2,3,3,M,14
27,1,2,7,M,13
27,2,0,5,M,14
28,1,1,2,H,12
28,2,4,6,H,13
29,1,5,5,M,12
29,2,6,7,M,13
30,1,5,9,M,12
30,2,5,2,M,13
31,1,9,2,M,12
31,2,1,8,H,12
32,1,6,1,M,12
32,2,7,5,M,12
33,1,8,2,M,12
33,2,8,5,M,12
34,1,7,1,H,11
34,2,4,1,M,12
35,1,6,9,M,11
35,2,7,4,M,12
36,1,2,0,M,11
36,2,1,2,M,12
37,1,9,7,H,10
37,2,1,1,M,12
38,1,9,6,M,10
38,2,7,1,M,12
39,1,1,6,H,9
39,2,8,9,M,12
40,1,0,7,M,9
40,2,9,0,M,12
41,1,8,8,M,9
41,2,9,8,M,12
42,1,9,8,M,9
42,2,3,6,H,11
43,1,1,0,M,9
43,2,7,7,M,11
44,1,3,9,M,9
44,2,3,4,H,10
45,1,3,0,M,9
45,2,0,2,M,10
46,1,3,4,M,9
46,2,6,6,H,9
47,1,5,6,M,9
47,2,8,4,M,9
48,1,8,9,M,9
48,2,1,5,M,9
49,1,9,0,M,9
49,2,2,0,M,9
50,1,4,5,M,9
50,2,3,7,H,8
51,1,6,0,H,8
51,2,2,6,H,7
52,1,0,9,M,8
52,2,5,4,H,6
53,1,2,1,M,8
53,2,2,3,M,6
54,1,9,9,M,8
54,2,7,3,M,6
55,1,3,6,M,8
55,2,2,4,H,5
56,1,7,8,M,8
56,2,5,7,M,5
57,1,1,9,M,8
57,2,0,1,M,5
58,1,7,5,M,8
58,2,4,5,M,5
59,1,0,4,M,8
59,2,1,3,M,5
60,1,3,8,H,7
60,2,4,8,M,5
61,1,1,7,M,7
61,2,9,7,M,5
62,1,3,3,M,7
62,2,1,6,H,4
63,1,7,4,M,7
63,2,4,2,M,4
64,1,7,7,H,6
64,2,4,0,M,4
65,1,1,4,H,5
65,2,0,6,M,4
66,1,7,9,M,5
66,2,2,2,M,4
67,1,8,3,M,5
67,2,3,8,H,3
68,1,2,4,M,5
68,2,6,8,M,3
69,1,5,7,M,5
69,2,2,5,M,3
70,1,2,8,H,4
70,2,0,7,M,3
71,1,9,3,M,4
71,2,1,9,M,3
72,1,2,2,M,4
72,2,9,2,M,3
73,1,5,1,M,4
73,2,1,4,M,3
74,1,6,4,M,4
74,2,5,5,M,3
75,1,0,3,M,4
75,2,6,1,M,3
76,1,4,1,M,4
76,2,4,7,M,3
77,1,6,8,M,4
77,2,7,6,H,2
78,1,2,3,M,4
78,2,0,3,M,2
79,1,2,5,M,4
79,2,7,2,M,2
80,1,0,6,M,4
80,2,5,6,H,1
81,1,5,2,M,4
81,2,3,5,M,1
82,1,4,0,M,4
82,2,2,9,M,1
83,1,3,2,M,4
83,2,6,2,M,1
84,1,4,8,M,4
84,2,5,3,M,1
85,1,0,0,M,4
85,2,9,6,M,1
86,1,6,5,M,4
86,2,4,3,M,1
87,1,5,0,H,3
87,2,5,9,M,1
88,1,7,2,H,2
88,2,6,3,M,1
89,1,4,3,M,2
89,2,5,0,M,1
90,1,4,7,M,2
90,2,4,4,H,0
91,1,1,8,H,1
91,2,6,5,M,0
92,1,4,9,M,1
92,2,8,1,M,0
93,1,7,3,H,0
93,2,8,8,M,0
