Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,1,5,H,16
1,2,7,6,M,17
2,1,6,8,M,16
2,2,5,4,H,16
3,1,5,2,M,16
3,2,1,1,H,15
4,1,4,0,M,16
4,2,1,3,M,15
5,1,5,5,H,15
5,2,7,4,H,14
6,1,1,0,M,15
6,2,2,1,M,14
7,1,9,9,M,15
7,2,0,3,M,14
8,1,7,2,H,14
8,2,8,9,M,14
9,1,6,4,M,14
9,2,5,6,M,14
10,1,2,2,M,14
10,2,8,3,M,14
11,1,2,7,M,14
11,2,1,6,M,14
12,1,3,4,M,14
12,2,4,0,H,13
13,1,9,2,M,14
13,2,5,9,M,13
14,1,3,0,M,14
14,2,6,0,H,12
15,1,9,6,M,14
15,2,4,7,M,12
16,1,4,2,M,14
16,2,6,6,M,12
17,1,6,1,H,13
17,2,5,3,M,12
18,1,5,6,M,13
18,2,3,6,H,11
19,1,1,9,H,12
19,2,6,8,M,11
20,1,4,7,M,12
20,2,1,9,M,11
21,1,9,8,M,12
21,2,2,2,M,11
22,1,7,1,M,12
22,2,8,4,H,10
23,1,4,5,H,11
23,2,8,8,M,10
24,1,8,2,M,11
24,2,0,7,M,10
25,1,5,3,M,11
25,2,3,0,H,9
26,1,3,7,M,11
26,2,3,9,M,9
27,1,8,1,M,11
27,2,1,5,M,9
28,1,9,7,M,11
28,2,0,9,M,9
29,1,5,0,M,11
29,2,2,9,M,9
30,1,7,7,M,11
30,2,7,2,M,9
31,1,0,4,M,11
31,2,0,0,M,9
32,1,9,5,M,11
32,2,6,9,M,9
33,1,6,9,M,11
33,2,8,2,M,9
34,1,3,8,M,11
34,2,7,8,M,9
35,1,0,8,H,10
35,2,9,1,M,9
36,1,5,8,M,10
36,2,9,3,M,9
37,1,7,5,M,10
37,2,6,5,M,9
38,1,3,5,H,9
38,2,6,3,M,9
39,1,2,0,M,9
39,2,4,1,H,8
40,1,0,2,M,9
40,2,2,6,M,8
41,1,3,3,M,9
41,2,6,2,M,8
42,1,7,4,M,9
42,2,6,1,M,8
43,1,0,5,H,8
43,2,7,9,M,8
44,1,2,1,M,8
44,2,4,4,M,8
45,1,9,4,M,8
45,2,9,2,M,8
46,1,4,9,M,8
46,2,9,5,M,8
47,1,4,1,H,7
47,2,8,6,M,8
48,1,0,6,H,6
48,2,0,6,M,8
49,1,7,6,M,6
49,2,2,4,M,8
50,1,9,0,M,6
50,2,4,8,M,8
51,1,5,4,M,6
51,2,4,2,M,8
52,1,3,1,M,6
52,2,9,6,M,8
53,1,9,3,M,6
53,2,9,7,M,8
54,1,4,3,M,6
54,2,0,4,M,8
55,1,5,9,M,6
55,2,6,4,H,7
56,1,6,5,M,6
56,2,5,1,H,6
57,1,4,4,M,6
57,2,4,5,M,6
58,1,8,5,M,6
58,2,3,1,H,5
59,1,7,3,H,5
59,2,8,1,M,5
60,1,3,6,M,5
60,2,5,8,M,5
61,1,8,7,M,5
61,2,1,7,M,5
62,1,8,6,M,5
62,2,5,7,M,5
63,1,3,9,M,5
63,2,7,1,M,5
64,1,2,4,M,5
64,2,7,5,M,5
65,1,1,8,M,5
65,2,0,1,M,5
66,1,6,6,M,5
66,2,6,7,M,5
67,1,7,0,M,5
67,2,1,2,H,4
68,1,8,9,M,5
68,2,8,0,M,4
69,1,0,3,M,5
69,2,5,0,H,3
70,1,6,3,M,5
70,2,1,8,M,3
71,1,8,0,M,5
71,2,2,5,M,3
72,1,0,7,H,4
72,2,2,0,M,3
73,1,3,2,M,4
73,2,3,7,M,3
74,1,1,3,M,4
74,2,8,7,M,3
75,1,2,9,H,3
75,2,3,2,M,3
76,1,1,6,M,3
76,2,7,0,M,3
77,1,9,1,M,3
77,2,9,4,H,2
78,1,7,8,M,3
78,2,3,5,M,2
79,1,2,6,M,3
79,2,3,3,M,2
80,1,2,8,M,3
80,2,0,5,M,2
81,1,1,2,M,3
81,2,2,8,M,2
82,1,6,0,M,3
82,2,8,5,M,2
83,1,6,7,M,3
83,2,7,3,M,2
84,1,4,8,M,3
84,2,5,5,M,2
85,1,0,0,M,3
85,2,2,7,M,2
86,1,8,4,M,3
86,2,1,0,H,1
87,1,0,1,M,3
87,2,0,2,M,1
88,1,1,4,M,3
88,2,0,8,M,1
89,1,5,7,M,3
89,2,4,9,M,1
90,1,5,1,H,2
90,2,1,4,M,1
91,1,4,6,M,2
91,2,3,4,M,1
92,1,8,3,M,2
92,2,9,0,M,1
93,1,1,7,M,2
93,2,4,3,M,1
94,1,1,1,M,2
94,2,3,8,M,1
95,1,0,9,H,1
95,2,9,8,M,1
96,1,2,5,H,0
96,2,7,7,M,1
97,1,6,2,M,0
97,2,5,2,M,1
98,1,2,3,M,0
98,2,4,6,H,0
