Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,7,1,M,17
1,2,2,8,H,16
2,1,0,5,M,17
2,2,4,1,M,16
3,1,3,2,M,17
3,2,3,7,M,16
4,1,4,1,M,17
4,2,7,0,M,16
5,1,7,8,M,17
5,2,2,2,M,16
6,1,5,3,M,17
6,2,4,9,M,16
7,1,7,7,M,17
7,2,9,3,M,16
8,1,4,5,M,17
8,2,1,8,H,15
9,1,3,5,M,17
9,2,6,9,H,14
10,1,8,0,M,17
10,2,3,4,M,14
11,1,2,7,H,16
11,2,3,3,M,14
12,1,9,7,M,16
12,2,2,6,H,13
13,1,6,4,M,16
13,2,3,0,H,12
14,1,6,1,M,16
14,2,0,5,H,11
15,1,2,2,M,16
15,2,8,3,M,11
16,1,3,7,H,15
16,2,3,1,M,11
17,1,8,9,H,14
17,2,9,5,M,11
18,1,4,0,M,14
18,2,8,2,M,11
19,1,8,1,M,14
19,2,0,8,H,10
20,1,2,6,M,14
20,2,8,6,M,10
21,1,2,4,M,14
21,2,4,8,M,10
22,1,7,6,M,14
22,2,2,1,M,10
23,1,8,5,M,14
23,2,0,0,H,9
24,1,7,4,M,14
24,2,5,8,M,9
25,1,0,7,M,14
25,2,9,2,M,9
26,1,1,8,M,14
26,2,6,8,H,8
27,1,4,2,M,14
27,2,9,4,M,8
28,1,2,5,M,14
28,2,5,7,M,8
29,1,1,1,M,14
29,2,4,7,M,8
30,1,4,9,M,14
30,2,6,0,M,8
31,1,5,0,M,14
31,2,4,6,M,8
32,1,3,3,H,13
32,2,0,4,M,8
33,1,4,3,M,13
33,2,0,6,H,7
34,1,0,8,M,13
34,2,1,3,M,7
35,1,5,6,M,13
35,2,1,7,M,7
36,1,2,9,M,13
36,2,4,5,M,7
37,1,0,6,M,13
37,2,6,7,M,7
38,1,1,5,M,13
38,2,2,5,H,6
39,1,3,0,M,13
39,2,4,3,M,6
40,1,7,5,M,13
40,2,4,2,M,6
41,1,0,9,M,13
41,2,8,1,M,6
42,1,9,1,M,13
42,2,1,1,M,6
43,1,9,9,H,12
43,2,7,6,M,6
44,1,0,3,H,11
44,2,8,9,M,6
45,1,6,5,M,11
45,2,0,7,H,5
46,1,6,6,M,11
46,2,7,7,M,5
47,1,7,0,M,11
47,2,4,0,H,4
48,1,2,3,H,10
48,2,2,7,M,4
49,1,8,4,M,10
49,2,3,2,M,4
50,1,8,8,M,10
50,2,0,1,M,4
51,1,3,6,M,10
51,2,5,5,M,4
52,1,0,2,M,10
52,2,1,5,M,4
53,1,5,9,H,9
53,2,9,8,M,4
54,1,3,9,M,9
54,2,9,0,M,4
55,1,5,8,M,9
55,2,6,6,M,4
56,1,1,6,M,9
56,2,7,8,M,4
57,1,4,7,H,8
57,2,3,9,M,4
58,1,4,6,M,8
58,2,9,7,M,4
59,1,9,6,H,7
59,2,5,2,M,4
60,1,3,1,M,7
60,2,5,4,M,4
61,1,0,4,M,7
61,2,6,2,M,4
62,1,9,0,M,7
62,2,5,0,M,4
63,1,9,5,H,6
63,2,3,6,M,4
64,1,5,5,M,6
64,2,8,8,M,4
65,1,4,4,M,6
65,2,8,4,M,4
66,1,1,4,M,6
66,2,5,1,M,4
67,1,2,1,M,6
67,2,1,4,M,4
68,1,5,7,H,5
68,2,9,1,M,4
69,1,8,3,M,5
69,2,8,0,M,4
70,1,9,2,M,5
70,2,7,4,M,4
71,1,6,2,M,5
71,2,1,9,M,4
72,1,9,3,M,5
72,2,0,9,M,4
73,1,6,3,M,5
73,2,0,2,M,4
74,1,8,2,M,5
74,2,3,8,M,4
75,1,1,9,M,5
75,2,9,6,M,4
76,1,1,2,M,5
76,2,9,9,M,4
77,1,8,7,M,5
77,2,7,2,M,4
78,1,3,8,M,5
78,2,4,4,M,4
79,1,0,0,M,5
79,2,7,9,M,4
80,1,3,4,M,5
80,2,5,6,M,4
81,1,6,9,H,4
81,2,6,1,M,4
82,1,5,1,M,4
82,2,8,7,M,4
83,1,7,9,H,3
83,2,1,0,H,3
84,1,7,2,M,3
84,2,3,5,M,3
85,1,8,6,M,3
85,2,5,3,M,3
86,1,4,8,M,3
86,2,1,6,M,3
87,1,1,0,M,3
87,2,6,4,M,3
88,1,7,3,M,3
88,2,6,5,M,3
89,1,5,2,M,3
89,2,1,2,M,3
90,1,2,8,M,3
90,2,0,3,M,3
91,1,6,0,M,3
91,2,2,3,H,2
92,1,2,0,M,3
92,2,7,5,M,2
93,1,6,8,M,3
93,2,5,9,M,2
94,1,1,7,H,2
94,2,2,0,H,1
95,1,9,4,H,1
95,2,6,3,M,1
96,1,9,8,M,1
96,2,2,4,H,0
97,1,6,7,M,1
97,2,7,3,M,0
98,1,5,4,M,1
98,2,2,9,M,0
99,1,1,3,H,0
99,2,7,1,M,0
