Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,3,3,M,17
1,2,8,4,M,17
2,1,2,5,M,17
2,2,3,6,M,17
3,1,8,2,M,17
3,2,8,0,M,17
4,1,2,9,M,17
4,2,3,9,M,17
5,1,3,4,M,17
5,2,8,7,M,17
6,1,4,0,M,17
6,2,2,5,M,17
7,1,6,1,H,16
7,2,5,3,M,17
8,1,9,0,M,16
8,2,3,1,M,17
9,1,5,0,M,16
9,2,3,8,M,17
10,1,2,3,M,16
10,2,5,2,H,16
11,1,9,5,M,16
11,2,2,3,M,16
12,1,5,3,M,16
12,2,5,8,M,16
13,1,4,3,M,16
13,2,2,7,M,16
14,1,5,9,H,15
14,2,3,7,M,16
15,1,5,8,M,15
15,2,9,2,M,16
16,1,4,9,H,14
16,2,1,6,M,16
17,1,6,3,M,14
17,2,6,6,H,15
18,1,6,4,M,14
18,2,4,7,M,15
19,1,0,9,M,14
19,2,9,7,M,15
20,1,2,2,M,14
20,2,1,2,M,15
21,1,5,2,H,13
21,2,6,7,H,14
22,1,8,5,M,13
22,2,9,9,M,14
23,1,6,7,M,13
23,2,7,3,M,14
24,1,8,8,M,13
24,2,1,5,H,13
25,1,8,3,M,13
25,2,6,4,M,13
26,1,1,1,M,13
26,2,3,3,M,13
27,1,8,0,M,13
27,2,4,8,M,13
28,1,9,2,M,13
28,2,7,7,H,12
29,1,3,2,H,12
29,2,6,1,M,12
30,1,6,8,M,12
30,2,8,2,M,12
31,1,3,1,M,12
31,2,7,6,H,11
32,1,5,5,M,12
32,2,7,4,M,11
33,1,2,4,M,12
33,2,9,8,M,11
34,1,8,4,M,12
34,2,0,9,M,11
35,1,1,4,M,12
35,2,5,9,M,11
36,1,1,0,M,12
36,2,2,9,M,11
37,1,9,1,M,12
37,2,8,5,M,11
38,1,7,8,M,12
38,2,6,5,M,11
39,1,3,8,H,11
39,2,7,5,M,11
40,1,7,5,M,11
40,2,8,9,M,11
41,1,9,3,M,11
41,2,4,9,M,11
42,1,6,0,M,11
42,2,4,5,M,11
43,1,5,4,M,11
43,2,6,9,M,11
44,1,8,1,M,11
44,2,2,0,M,11
45,1,6,9,H,10
45,2,5,7,H,10
46,1,1,9,M,10
46,2,6,8,M,10
47,1,5,1,M,10
47,2,1,8,M,10
48,1,1,8,M,10
48,2,4,4,M,10
49,1,3,6,H,9
49,2,9,4,M,10
50,1,4,6,M,9
50,2,5,1,M,10
51,1,5,7,M,9
51,2,1,7,M,10
52,1,9,9,M,9
52,2,9,1,M,10
53,1,3,7,H,8
53,2,0,3,M,10
54,1,4,4,M,8
54,2,2,2,H,9
55,1,0,6,M,8
55,2,1,1,H,8
56,1,0,0,M,8
56,2,9,3,M,8
57,1,9,4,M,8
57,2,5,6,H,7
58,1,9,6,H,7
58,2,0,5,H,6
59,1,9,8,M,7
59,2,5,5,M,6
60,1,0,1,M,7
60,2,3,0,M,6
61,1,7,9,H,6
61,2,7,9,M,6
62,1,1,7,M,6
62,2,8,8,M,6
63,1,4,8,M,6
63,2,4,0,M,6
64,1,6,5,M,6
64,2,6,0,M,6
65,1,7,4,M,6
65,2,2,4,M,6
66,1,4,5,M,6
66,2,4,2,H,5
67,1,0,3,M,6
67,2,0,6,M,5
68,1,7,1,M,6
68,2,2,6,M,5
69,1,2,0,M,6
69,2,9,5,M,5
70,1,2,6,M,6
70,2,1,9,M,5
71,1,0,5,M,6
71,2,3,5,M,5
72,1,8,7,M,6
72,2,0,8,M,5
73,1,0,8,M,6
73,2,7,8,M,5
74,1,2,8,M,6
74,2,7,1,M,5
75,1,3,5,H,5
75,2,2,1,H,4
76,1,0,4,M,5
76,2,0,7,M,4
77,1,2,7,M,5
77,2,0,1,H,3
78,1,7,0,M,5
78,2,1,4,M,3
79,1,7,6,H,4
79,2,3,2,H,2
80,1,1,5,M,4
80,2,8,1,M,2
81,1,8,9,M,4
81,2,2,8,M,2
82,1,8,6,H,3
82,2,5,4,M,2
83,1,2,1,M,3
83,2,6,2,M,2
84,1,1,6,M,3
84,2,8,3,M,2
85,1,9,7,M,3
85,2,1,3,M,2
86,1,4,1,M,3
86,2,7,0,M,2
87,1,0,2,M,3
87,2,4,6,M,2
88,1,7,2,M,3
88,2,0,4,M,2
89,1,4,2,H,2
89,2,7,2,M,2
90,1,4,7,M,2
90,2,4,3,M,2
91,1,0,7,M,2
91,2,9,6,H,1
92,1,3,9,H,1
92,2,6,3,M,1
93,1,6,6,M,1
93,2,5,0,M,1
94,1,6,2,H,0
94,2,3,4,M,1
95,1,3,0,M,0
95,2,8,6,H,0
