Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,7,4,M,17
1,2,4,2,M,17
2,1,1,5,H,16
2,2,0,4,M,17
3,1,4,8,H,15
3,2,7,1,M,17
4,1,4,1,M,15
4,2,5,3,M,17
5,1,6,7,M,15
5,2,4,9,M,17
6,1,6,2,M,15
6,2,7,0,M,17
7,1,7,7,M,15
7,2,7,7,M,17
8,1,8,7,H,14
8,2,4,1,M,17
9,1,3,9,M,14
9,2,6,2,H,16
10,1,5,5,M,14
10,2,1,9,M,16
11,1,2,1,M,14
11,2,9,9,M,16
12,1,7,9,M,14
12,2,9,6,M,16
13,1,2,2,M,14
13,2,1,2,M,16
14,1,5,9,M,14
14,2,8,9,M,16
15,1,9,2,M,14
15,2,7,2,M,16
16,1,9,5,M,14
16,2,5,6,M,16
17,1,1,9,M,14
17,2,1,0,M,16
18,1,3,5,M,14
18,2,8,1,M,16
19,1,0,2,M,14
19,2,4,3,M,16
20,1,0,4,M,14
20,2,9,4,H,15
21,1,3,6,M,14
21,2,3,9,M,15
22,1,1,3,H,13
22,2,8,5,M,15
23,1,0,0,M,13
23,2,3,5,M,15
24,1,0,3,M,13
24,2,0,5,M,15
25,1,2,6,M,13
25,2,0,3,H,14
26,1,1,0,M,13
26,2,3,8,H,13
27,1,5,8,H,12
27,2,8,6,M,13
28,1,9,7,M,12
28,2,0,7,M,13
29,1,4,5,M,12
29,2,5,5,M,13
30,1,1,2,M,12
30,2,0,1,H,12
31,1,0,8,H,11
31,2,0,2,H,11
32,1,8,4,M,11
32,2,6,0,M,11
33,1,9,3,M,11
33,2,9,7,M,11
34,1,8,5,M,11
34,2,8,8,M,11
35,1,1,6,M,11
35,2,0,9,M,11
36,1,3,1,M,11
36,2,6,8,M,11
37,1,3,7,M,11
37,2,7,3,M,11
38,1,3,3,M,11
38,2,0,6,M,11
39,1,9,1,M,11
39,2,4,8,H,10
40,1,5,7,M,11
40,2,5,4,M,10
41,1,7,6,M,11
41,2,7,8,M,10
42,1,9,6,M,11
42,2,1,3,M,10
43,1,8,3,M,11
43,2,3,7,M,10
44,1,1,4,H,10
44,2,9,5,H,9
45,1,9,8,M,10
45,2,8,0,M,9
46,1,7,3,M,10
46,2,7,4,M,9
47,1,3,4,M,10
47,2,9,3,H,8
48,1,5,4,M,10
48,2,5,0,M,8
49,1,2,4,M,10
49,2,2,8,H,7
50,1,8,9,H,9
50,2,2,1,M,7
51,1,6,5,H,8
51,2,2,0,M,7
52,1,7,5,M,8
52,2,2,3,M,7
53,1,5,3,M,8
53,2,8,7,M,7
54,1,4,4,M,8
54,2,9,0,M,7
55,1,4,0,M,8
55,2,1,4,M,7
56,1,0,7,M,8
56,2,4,7,M,7
57,1,4,3,M,8
57,2,5,2,M,7
58,1,6,4,H,7
58,2,1,6,M,7
59,1,0,9,M,7
59,2,2,7,M,7
60,1,5,2,M,7
60,2,0,8,M,7
61,1,7,2,M,7
61,2,8,2,M,7
62,1,1,7,M,7
62,2,6,7,M,7
63,1,8,6,H,6
63,2,5,8,H,6
64,1,5,6,M,6
64,2,2,6,M,6
65,1,4,7,M,6
65,2,9,2,M,6
66,1,2,3,M,6
66,2,8,4,M,6
67,1,7,1,M,6
67,2,0,0,M,6
68,1,6,0,M,6
68,2,2,5,M,6
69,1,4,2,M,6
69,2,7,5,M,6
70,1,8,0,M,6
70,2,1,8,H,5
71,1,8,8,H,5
71,2,1,1,M,5
72,1,1,1,M,5
72,2,5,7,M,5
73,1,6,9,M,5
73,2,4,0,M,5
74,1,6,3,H,4
74,2,3,0,M,5
75,1,0,5,M,4
75,2,6,3,H,4
76,1,2,7,M,4
76,2,9,1,M,4
77,1,2,5,M,4
77,2,5,1,M,4
78,1,2,9,M,4
78,2,3,1,M,4
79,1,5,1,M,4
79,2,2,9,M,4
80,1,5,0,M,4
80,2,3,4,M,4
81,1,7,8,M,4
81,2,3,3,M,4
82,1,6,6,M,4
82,2,6,5,H,3
83,1,8,1,M,4
83,2,6,1,M,3
84,1,3,8,H,3
84,2,5,9,M,3
85,1,7,0,M,3
85,2,1,7,M,3
86,1,2,0,M,3
86,2,9,8,M,3
87,1,1,8,H,2
87,2,4,5,M,3
88,1,9,0,M,2
88,2,6,9,M,3
89,1,8,2,M,2
89,2,8,3,M,3
90,1,9,9,M,2
90,2,1,5,M,3
91,1,4,6,M,2
91,2,7,6,H,2
92,1,9,4,M,2
92,2,6,4,H,1
93,1,3,2,M,2
93,2,3,2,M,1
94,1,3,0,M,2
94,2,4,4,M,1
95,1,6,8,H,1
95,2,6,6,H,0
96,1,0,6,M,1
96,2,2,2,M,0
97,1,6,1,M,1
97,2,3,6,M,0
98,1,2,8,H,0
98,2,2,4,M,0
