Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,8,5,H,16
1,2,3,1,M,17
2,1,9,1,M,16
2,2,8,0,H,16
3,1,8,4,M,16
3,2,2,3,M,16
4,1,1,2,H,15
4,2,5,6,M,16
5,1,8,2,M,15
5,2,2,2,H,15
6,1,2,5,M,15
6,2,8,4,H,14
7,1,5,8,M,15
7,2,4,0,M,14
8,1,0,1,M,15
8,2,0,5,H,13
9,1,3,1,M,15
9,2,5,4,M,13
10,1,0,3,M,15
10,2,8,7,M,13
11,1,7,2,H,14
11,2,6,8,M,13
12,1,1,9,H,13
12,2,0,1,M,13
13,1,0,8,M,13
13,2,4,4,M,13
14,1,5,1,M,13
14,2,5,0,M,13
15,1,7,3,H,12
15,2,0,8,M,13
16,1,9,4,M,12
16,2,3,2,H,12
17,1,3,5,M,12
17,2,1,5,M,12
18,1,2,4,M,12
18,2,5,9,M,12
19,1,6,0,M,12
19,2,5,8,M,12
20,1,8,8,M,12
20,2,3,0,M,12
21,1,9,8,M,12
21,2,1,2,H,11
22,1,3,7,M,12
22,2,7,5,M,11
23,1,3,4,M,12
23,2,0,3,H,10
24,1,0,0,M,12
24,2,6,2,M,10
25,1,9,2,M,12
25,2,6,7,M,10
26,1,5,2,M,12
26,2,2,6,M,10
27,1,1,4,H,11
27,2,6,9,M,10
28,1,0,2,M,11
28,2,3,8,M,10
29,1,7,4,H,10
29,2,1,9,M,10
30,1,6,6,M,10
30,2,7,0,H,9
31,1,4,8,M,10
31,2,7,7,M,9
32,1,4,1,M,10
32,2,7,8,M,9
33,1,1,8,M,10
33,2,9,8,M,9
34,1,1,5,M,10
34,2,2,9,M,9
35,1,7,6,M,10
35,2,4,2,H,8
36,1,5,4,M,10
36,2,2,5,M,8
37,1,8,3,M,10
37,2,8,8,M,8
38,1,9,7,M,10
38,2,2,1,M,8
39,1,4,9,H,9
39,2,5,1,M,8
40,1,8,0,M,9
40,2,9,2,M,8
41,1,1,1,M,9
41,2,0,9,M,8
42,1,3,8,M,9
42,2,1,6,M,8
43,1,6,8,M,9
43,2,7,2,M,8
44,1,3,0,M,9
44,2,9,5,M,8
45,1,3,3,H,8
45,2,3,4,M,8
46,1,4,5,M,8
46,2,4,8,M,8
47,1,9,0,M,8
47,2,8,5,H,7
48,1,2,9,H,7
48,2,9,6,M,7
49,1,0,5,M,7
49,2,6,3,M,7
50,1,6,7,M,7
50,2,9,3,M,7
51,1,2,2,M,7
51,2,7,3,M,7
52,1,6,9,M,7
52,2,8,9,M,7
53,1,8,1,M,7
53,2,9,7,M,7
54,1,4,0,M,7
54,2,6,6,M,7
55,1,4,4,M,7
55,2,5,5,H,6
56,1,7,5,H,6
56,2,0,6,M,6
57,1,5,3,M,6
57,2,6,5,M,6
58,1,1,7,M,6
58,2,0,2,M,6
59,1,5,5,M,6
59,2,4,6,M,6
60,1,8,7,H,5
60,2,1,0,M,6
61,1,1,6,M,5
61,2,2,4,M,6
62,1,2,3,M,5
62,2,8,6,M,6
63,1,2,6,M,5
63,2,3,3,M,6
64,1,3,2,H,4
64,2,9,0,H,5
65,1,2,7,M,4
65,2,2,7,M,5
66,1,5,6,M,4
66,2,8,1,M,5
67,1,4,6,M,4
67,2,4,9,M,5
68,1,0,9,M,4
68,2,2,0,M,5
69,1,5,9,M,4
69,2,0,7,M,5
70,1,0,6,M,4
70,2,0,4,H,4
71,1,8,6,H,3
71,2,7,6,M,4
72,1,9,6,M,3
72,2,3,7,M,4
73,1,6,5,M,3
73,2,4,7,M,4
74,1,7,9,M,3
74,2,7,4,M,4
75,1,6,3,M,3
75,2,3,9,M,4
76,1,6,1,M,3
76,2,1,8,M,4
77,1,9,9,M,3
77,2,1,1,M,4
78,1,4,7,M,3
78,2,8,2,M,4
79,1,7,7,M,3
79,2,4,1,M,4
80,1,4,3,M,3
80,2,5,7,M,4
81,1,1,3,H,2
81,2,1,4,M,4
82,1,8,9,M,2
82,2,8,3,M,4
83,1,2,8,M,2
83,2,3,6,M,4
84,1,0,4,M,2
84,2,5,3,M,4
85,1,5,0,M,2
85,2,6,0,H,3
86,1,3,9,H,1
86,2,4,5,H,2
87,1,7,1,H,0
87,2,9,4,M,2
88,1,1,0,M,0
88,2,9,1,M,2
89,1,6,2,M,0
89,2,1,7,M,2
90,1,2,1,M,0
90,2,2,8,M,2
91,1,6,4,M,0
91,2,3,5,H,1
92,1,3,6,M,0
92,2,5,2,H,0
