Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,4,3,M,17
1,2,8,1,M,17
2,1,0,8,M,17
2,2,2,8,M,17
3,1,9,0,M,17
3,2,7,5,M,17
4,1,4,0,M,17
4,2,9,4,H,16
5,1,3,7,M,17
5,2,8,2,M,16
6,1,2,9,M,17
6,2,0,3,M,16
7,1,1,3,M,17
7,2,2,6,M,16
8,1,8,9,M,17
8,2,9,0,M,16
9,1,3,2,M,17
9,2,6,1,M,16
10,1,0,6,M,17
10,2,7,6,M,16
11,1,5,8,M,17
11,2,0,6,M,16
12,1,1,2,M,17
12,2,7,3,M,16
13,1,2,2,M,17
13,2,9,2,M,16
14,1,9,5,M,17
14,2,9,3,H,15
15,1,6,2,M,17
15,2,7,0,M,15
16,1,8,3,M,17
16,2,3,1,H,14
17,1,8,0,M,17
17,2,2,4,M,14
18,1,8,8,M,17
18,2,2,1,M,14
19,1,3,8,M,17
19,2,5,3,M,14
20,1,1,0,H,16
20,2,6,7,M,14
21,1,9,6,M,16
21,2,8,3,M,14
22,1,2,5,H,15
22,2,3,5,M,14
23,1,9,8,M,15
23,2,2,0,M,14
24,1,0,5,M,15
24,2,0,2,M,14
25,1,6,7,M,15
25,2,4,6,M,14
26,1,5,6,M,15
26,2,0,4,M,14
27,1,0,7,M,15
27,2,6,9,M,14
28,1,7,1,M,15
28,2,9,7,M,14
29,1,4,8,M,15
29,2,5,6,M,14
30,1,6,8,M,15
30,2,7,4,M,14
31,1,2,1,M,15
31,2,5,9,M,14
32,1,0,2,M,15
32,2,5,8,M,14
33,1,5,7,M,15
33,2,5,0,M,14
34,1,3,1,H,14
34,2,0,9,M,14
35,1,8,1,M,14
35,2,3,4,H,13
36,1,7,9,M,14
36,2,5,2,M,13
37,1,2,3,H,13
37,2,5,5,M,13
38,1,9,9,M,13
38,2,4,4,M,13
39,1,7,7,H,12
39,2,1,8,M,13
40,1,9,7,M,12
40,2,1,0,M,13
41,1,7,3,M,12
41,2,6,0,M,13
42,1,1,8,M,12
42,2,8,0,M,13
43,1,4,1,H,11
43,2,0,7,M,13
44,1,2,6,M,11
44,2,6,5,M,13
45,1,7,0,M,11
45,2,6,4,M,13
46,1,0,1,M,11
46,2,3,0,H,12
47,1,0,4,M,11
47,2,2,9,M,12
48,1,3,4,M,11
48,2,5,1,M,12
49,1,5,9,M,11
49,2,3,3,H,11
50,1,3,5,M,11
50,2,4,2,M,11
51,1,9,1,M,11
51,2,1,3,M,11
52,1,5,3,M,11
52,2,2,7,M,11
53,1,5,4,H,10
53,2,8,7,M,11
54,1,1,1,M,10
54,2,9,1,M,11
55,1,8,6,M,10
55,2,9,5,H,10
56,1,9,4,M,10
56,2,2,3,H,9
57,1,1,5,M,10
57,2,3,6,M,9
58,1,8,4,M,10
58,2,0,5,M,9
59,1,7,8,H,9
59,2,8,9,H,8
60,1,1,7,M,9
60,2,4,8,M,8
61,1,4,7,M,9
61,2,1,1,M,8
62,1,6,4,H,8
62,2,7,2,M,8
63,1,6,3,M,8
63,2,6,2,M,8
64,1,2,4,H,7
64,2,2,5,M,8
65,1,3,6,M,7
65,2,8,8,M,8
66,1,7,2,M,7
66,2,1,2,M,8
67,1,1,6,M,7
67,2,2,2,H,7
68,1,0,0,H,6
68,2,6,6,M,7
69,1,8,7,M,6
69,2,1,5,H,6
70,1,2,7,M,6
70,2,9,8,M,6
71,1,0,9,M,6
71,2,1,4,M,6
72,1,2,8,M,6
72,2,4,0,M,6
73,1,4,6,M,6
73,2,7,1,M,6
74,1,6,9,M,6
74,2,7,8,M,6
75,1,6,0,M,6
75,2,4,3,M,6
76,1,5,1,H,5
76,2,5,7,M,6
77,1,7,6,H,4
77,2,7,7,M,6
78,1,8,2,M,4
78,2,6,3,M,6
79,1,5,5,M,4
79,2,9,6,H,5
80,1,5,0,M,4
80,2,3,7,M,5
81,1,4,9,M,4
81,2,8,4,M,5
82,1,4,5,M,4
82,2,6,8,M,5
83,1,1,4,M,4
83,2,3,9,M,5
84,1,3,0,M,4
84,2,3,8,M,5
85,1,3,3,M,4
85,2,4,7,M,5
86,1,3,9,M,4
86,2,5,4,M,5
87,1,2,0,H,3
87,2,3,2,H,4
88,1,9,2,M,3
88,2,1,7,H,3
89,1,6,6,M,3
89,2,0,1,M,3
90,1,1,9,M,3
90,2,8,6,M,3
91,1,6,1,H,2
91,2,0,0,M,3
92,1,9,3,M,2
92,2,1,9,M,3
93,1,7,5,H,1
93,2,4,9,M,3
94,1,6,5,M,1
94,2,9,9,H,2
95,1,5,2,M,1
95,2,4,5,M,2
96,1,4,2,M,1
96,2,7,9,H,1
97,1,4,4,M,1
97,2,8,5,M,1
98,1,8,5,M,1
98,2,4,1,M,1
99,1,7,4,H,0
99,2,0,8,M,1
100,1,0,3,M,0
100,2,1,6,H,0
