Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,1,6,M,17
1,2,4,7,M,17
2,1,5,4,M,17
2,2,0,3,M,17
3,1,0,9,M,17
3,2,1,5,M,17
4,1,3,6,M,17
4,2,1,9,H,16
5,1,7,6,H,16
5,2,6,3,M,16
6,1,6,4,M,16
6,2,6,7,H,15
7,1,7,0,M,16
7,2,2,2,M,15
8,1,4,7,M,16
8,2,1,7,H,14
9,1,2,2,M,16
9,2,7,1,M,14
10,1,9,6,M,16
10,2,3,7,M,14
11,1,5,5,M,16
11,2,5,1,M,14
12,1,5,8,M,16
12,2,0,5,M,14
13,1,9,5,M,16
13,2,9,6,M,14
14,1,5,2,H,15
14,2,4,3,M,14
15,1,6,7,M,15
15,2,9,9,M,14
16,1,1,0,M,15
16,2,6,5,M,14
17,1,2,4,M,15
17,2,7,6,M,14
18,1,2,6,M,15
18,2,0,1,M,14
19,1,3,1,H,14
19,2,9,2,M,14
20,1,5,3,H,13
20,2,2,8,M,14
21,1,3,2,H,12
21,2,3,5,M,14
22,1,1,2,M,12
22,2,4,0,M,14
23,1,9,1,M,12
23,2,7,0,M,14
24,1,7,7,H,11
24,2,5,7,M,14
25,1,9,4,M,11
25,2,5,3,M,14
26,1,3,4,M,11
26,2,6,2,M,14
27,1,5,1,M,11
27,2,5,4,M,14
28,1,8,0,M,11
28,2,2,6,H,13
29,1,4,9,M,11
29,2,4,4,H,12
30,1,9,7,H,10
30,2,9,8,M,12
31,1,9,8,H,9
31,2,8,6,M,12
32,1,0,1,M,9
32,2,4,6,H,11
33,1,0,0,M,9
33,2,9,0,M,11
34,1,8,3,M,9
34,2,1,4,H,10
35,1,8,6,M,9
35,2,5,6,H,9
36,1,2,9,M,9
36,2,8,9,M,9
37,1,8,4,M,9
37,2,7,9,M,9
38,1,1,7,M,9
38,2,8,0,M,9
39,1,0,5,M,9
39,2,9,4,M,9
40,1,0,7,M,9
40,2,2,4,H,8
41,1,0,8,M,9
41,2,8,5,M,8
42,1,0,4,M,9
42,2,9,3,M,8
43,1,6,9,M,9
43,2,6,9,M,8
44,1,2,1,M,9
44,2,6,4,M,8
45,1,7,2,M,9
45,2,1,1,M,8
46,1,7,1,M,9
46,2,3,2,M,8
47,1,1,1,M,9
47,2,9,7,H,7
48,1,8,8,M,9
48,2,8,8,M,7
49,1,9,2,M,9
49,2,9,5,M,7
50,1,4,3,H,8
50,2,0,8,M,7
51,1,3,5,M,8
51,2,7,4,M,7
52,1,7,9,H,7
52,2,6,6,H,6
53,1,4,4,M,7
53,2,0,9,M,6
54,1,7,4,M,7
54,2,3,9,M,6
55,1,0,2,M,7
55,2,3,6,H,5
56,1,9,0,M,7
56,2,4,9,M,5
57,1,6,8,M,7
57,2,4,5,M,5
58,1,9,3,M,7
58,2,2,7,M,5
59,1,5,6,M,7
59,2,3,0,M,5
60,1,9,9,H,6
60,2,2,3,M,5
61,1,8,9,M,6
61,2,7,7,M,5
62,1,5,9,M,6
62,2,0,6,M,5
63,1,1,8,M,6
63,2,4,8,M,5
64,1,1,5,M,6
64,2,6,1,M,5
65,1,6,6,M,6
65,2,7,5,M,5
66,1,2,0,M,6
66,2,8,3,M,5
67,1,1,4,M,6
67,2,7,8,M,5
68,1,8,2,M,6
68,2,1,2,M,5
69,1,8,5,M,6
69,2,1,8,H,4
70,1,0,6,M,6
70,2,2,9,M,4
71,1,3,9,M,6
71,2,1,3,M,4
72,1,3,7,M,6
72,2,7,2,M,4
73,1,6,3,M,6
73,2,0,2,M,4
74,1,2,7,M,6
74,2,3,4,H,3
75,1,4,5,M,6
75,2,5,0,M,3
76,1,8,1,M,6
76,2,0,7,M,3
77,1,3,3,H,5
77,2,7,3,M,3
78,1,5,0,M,5
78,2,5,8,M,3
79,1,1,9,M,5
79,2,5,2,M,3
80,1,6,1,M,5
80,2,1,0,M,3
81,1,4,1,M,5
81,2,0,0,M,3
82,1,7,8,H,4
82,2,6,0,M,3
83,1,2,8,M,4
83,2,8,4,M,3
84,1,0,3,M,4
84,2,4,1,M,3
85,1,4,8,M,4
85,2,0,4,H,2
86,1,5,7,M,4
86,2,3,8,M,2
87,1,4,2,H,3
87,2,4,2,M,2
88,1,2,3,H,2
88,2,9,1,M,2
89,1,4,0,M,2
89,2,8,1,M,2
90,1,1,3,M,2
90,2,6,8,H,1
91,1,4,6,M,2
91,2,5,5,M,1
92,1,6,5,M,2
92,2,3,3,M,1
93,1,2,5,M,2
93,2,1,6,M,1
94,1,7,3,M,2
94,2,3,1,M,1
95,1,6,2,H,1
95,2,5,9,M,1
96,1,3,0,M,1
96,2,8,7,H,0
97,1,8,7,M,1
97,2,2,1,M,0
98,1,6,0,M,1
98,2,2,5,M,0
99,1,7,5,H,0
99,2,8,2,M,0
