Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,4,7,M,17
1,2,6,8,M,17
2,1,5,5,M,17
2,2,2,4,M,17
3,1,3,3,M,17
3,2,4,0,M,17
4,1,3,8,M,17
4,2,3,5,M,17
5,1,0,1,M,17
5,2,9,4,M,17
6,1,7,0,H,16
6,2,9,3,M,17
7,1,9,2,M,16
7,2,5,7,M,17
8,1,7,4,H,15
8,2,8,9,M,17
9,1,9,7,M,15
9,2,4,8,H,16
10,1,3,0,M,15
10,2,6,6,M,16
11,1,9,0,M,15
11,2,1,4,M,16
12,1,7,6,M,15
12,2,6,1,H,15
13,1,7,1,M,15
13,2,5,9,M,15
14,1,6,6,M,15
14,2,3,2,M,15
15,1,8,3,M,15
15,2,6,7,M,15
16,1,9,5,H,14
16,2,0,3,M,15
17,1,4,2,M,14
17,2,6,3,M,15
18,1,5,6,M,14
18,2,9,8,M,15
19,1,5,4,M,14
19,2,8,6,H,14
20,1,6,7,M,14
20,2,4,2,M,14
21,1,2,4,M,14
21,2,7,3,M,14
22,1,9,3,M,14
22,2,7,5,M,14
23,1,1,1,H,13
23,2,0,0,M,14
24,1,0,0,M,13
24,2,4,3,M,14
25,1,6,8,M,13
25,2,8,2,M,14
26,1,1,6,M,13
26,2,6,9,M,14
27,1,1,5,M,13
27,2,7,9,M,14
28,1,3,6,M,13
28,2,7,0,M,14
29,1,0,8,M,13
29,2,0,1,M,14
30,1,8,4,H,12
30,2,3,4,M,14
31,1,5,3,M,12
31,2,4,5,M,14
32,1,4,9,M,12
32,2,9,2,M,14
33,1,2,2,M,12
33,2,7,1,H,13
34,1,1,3,M,12
34,2,0,4,M,13
35,1,8,1,M,12
35,2,0,2,M,13
36,1,8,9,M,12
36,2,9,5,M,13
37,1,1,4,M,12
37,2,1,3,M,13
38,1,0,7,M,12
38,2,4,4,M,13
39,1,9,9,M,12
39,2,5,0,M,13
40,1,8,5,M,12
40,2,0,6,H,12
41,1,1,0,M,12
41,2,6,5,M,12
42,1,8,7,M,12
42,2,2,3,M,12
43,1,4,3,M,12
43,2,8,4,M,12
44,1,3,2,M,12
44,2,5,5,M,12
45,1,9,6,H,11
45,2,5,6,M,12
46,1,1,7,M,11
46,2,0,9,M,12
47,1,3,5,M,11
47,2,3,1,M,12
48,1,3,7,M,11
48,2,3,3,M,12
49,1,3,4,M,11
49,2,1,9,M,12
50,1,5,1,H,10
50,2,3,0,M,12
51,1,7,5,M,10
51,2,7,6,H,11
52,1,2,9,M,10
52,2,6,0,M,11
53,1,6,3,M,10
53,2,2,2,M,11
54,1,0,2,M,10
54,2,5,1,M,11
55,1,7,9,M,10
55,2,8,0,M,11
56,1,8,8,M,10
56,2,6,2,M,11
57,1,9,8,M,10
57,2,1,0,M,11
58,1,0,9,M,10
58,2,4,6,H,10
59,1,3,9,M,10
59,2,5,8,M,10
60,1,6,4,M,10
60,2,9,7,M,10
61,1,5,0,H,9
61,2,3,8,M,10
62,1,6,9,M,9
62,2,1,1,M,10
63,1,7,3,M,9
63,2,2,6,H,9
64,1,7,8,M,9
64,2,2,0,M,9
65,1,1,2,M,9
65,2,0,7,M,9
66,1,7,7,M,9
66,2,1,5,M,9
67,1,2,8,M,9
67,2,1,8,M,9
68,1,5,9,M,9
68,2,4,1,M,9
69,1,6,2,H,8
69,2,2,8,M,9
70,1,3,1,H,7
70,2,3,6,H,8
71,1,2,7,M,7
71,2,9,0,M,8
72,1,9,1,M,7
72,2,8,5,M,8
73,1,4,1,H,6
73,2,0,8,M,8
74,1,6,5,M,6
74,2,7,4,M,8
75,1,5,2,H,5
75,2,6,4,M,8
76,1,9,4,H,4
76,2,8,7,M,8
77,1,8,2,M,4
77,2,5,4,M,8
78,1,0,3,M,4
78,2,9,6,H,7
79,1,4,0,M,4
79,2,3,9,M,7
80,1,4,8,M,4
80,2,8,1,H,6
81,1,4,4,M,4
81,2,1,2,M,6
82,1,2,6,M,4
82,2,4,7,H,5
83,1,8,6,M,4
83,2,1,6,H,4
84,1,5,7,M,4
84,2,7,7,M,4
85,1,1,8,M,4
85,2,1,7,M,4
86,1,4,5,M,4
86,2,5,3,M,4
87,1,2,3,M,4
87,2,9,9,M,4
88,1,8,0,H,3
88,2,2,7,M,4
89,1,0,6,M,3
89,2,2,5,M,4
90,1,4,6,M,3
90,2,5,2,M,4
91,1,2,5,M,3
91,2,8,8,H,3
92,1,6,1,M,3
92,2,0,5,M,3
93,1,5,8,M,3
93,2,2,9,M,3
94,1,6,0,H,2
94,2,8,3,M,3
95,1,2,1,H,1
95,2,9,1,H,2
96,1,0,4,M,1
96,2,2,1,M,2
97,1,1,9,M,1
97,2,7,2,M,2
98,1,2,0,M,1
98,2,7,8,H,1
99,1,0,5,M,1
99,2,4,9,H,0
100,1,7,2,H,0
100,2,3,7,M,0
