Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,7,8,H,16
1,2,1,6,M,17
2,1,9,1,M,16
2,2,2,0,M,17
3,1,9,4,M,16
3,2,6,8,H,16
4,1,2,4,M,16
4,2,9,4,M,16
5,1,9,5,M,16
5,2,4,6,H,15
6,1,0,6,M,16
6,2,7,7,M,15
7,1,8,7,M,16
7,2,0,2,M,15
8,1,1,8,M,16
8,2,5,5,H,14
9,1,0,8,M,16
9,2,1,2,H,13
10,1,7,0,M,16
10,2,8,7,M,13
11,1,4,0,M,16
11,2,6,1,M,13
12,1,7,2,H,15
12,2,4,7,M,13
13,1,5,8,M,15
13,2,5,3,M,13
14,1,8,0,M,15
14,2,5,2,M,13
15,1,5,6,M,15
15,2,8,4,M,13
16,1,0,9,M,15
16,2,3,1,M,13
17,1,7,1,M,15
17,2,5,4,M,13
18,1,8,5,H,14
18,2,4,0,M,13
19,1,3,3,M,14
19,2,3,9,M,13
20,1,0,1,M,14
20,2,2,9,M,13
21,1,8,1,M,14
21,2,2,2,M,13
22,1,9,0,M,14
22,2,9,1,M,13
23,1,4,3,M,14
23,2,2,8,M,13
24,1,6,1,M,14
24,2,3,2,M,13
25,1,0,0,M,14
25,2,0,7,M,13
26,1,5,9,M,14
26,2,4,2,M,13
27,1,8,8,H,13
27,2,5,0,M,13
28,1,9,8,H,12
28,2,7,6,H,12
29,1,2,2,M,12
29,2,0,3,M,12
30,1,6,9,M,12
30,2,3,4,M,12
31,1,1,9,M,12
31,2,5,7,M,12
32,1,9,7,M,12
32,2,7,8,H,11
33,1,0,7,M,12
33,2,7,9,M,11
34,1,4,6,M,12
34,2,8,8,H,10
35,1,6,7,M,12
35,2,6,9,M,10
36,1,0,2,M,12
36,2,9,5,H,9
37,1,5,4,M,12
37,2,0,9,M,9
38,1,6,0,M,12
38,2,9,3,M,9
39,1,5,2,M,12
39,2,0,8,M,9
40,1,8,4,H,11
40,2,0,0,M,9
41,1,3,2,M,11
41,2,4,4,M,9
42,1,3,9,M,11
42,2,2,1,M,9
43,1,4,4,M,11
43,2,9,0,M,9
44,1,9,2,M,11
44,2,1,5,M,9
45,1,7,4,H,10
45,2,8,1,M,9
46,1,5,3,M,10
46,2,2,7,M,9
47,1,4,5,M,10
47,2,9,7,M,9
48,1,2,3,M,10
48,2,2,6,M,9
49,1,6,5,H,9
49,2,3,7,M,9
50,1,8,3,H,8
50,2,2,4,M,9
51,1,5,7,M,8
51,2,8,9,M,9
52,1,7,7,M,8
52,2,8,3,M,9
53,1,3,1,M,8
53,2,4,8,M,9
54,1,7,5,M,8
54,2,7,0,M,9
55,1,1,5,M,8
55,2,8,6,H,8
56,1,1,3,M,8
56,2,0,5,M,8
57,1,4,8,M,8
57,2,7,5,H,7
58,1,6,2,M,8
58,2,7,4,M,7
59,1,1,1,M,8
59,2,7,1,M,7
60,1,6,8,H,7
60,2,9,9,M,7
61,1,9,6,M,7
61,2,0,4,M,7
62,1,8,6,H,6
62,2,7,3,M,7
63,1,2,6,M,6
63,2,1,9,M,7
64,1,5,0,M,6
64,2,6,7,M,7
65,1,7,9,M,6
65,2,1,3,M,7
66,1,3,7,H,5
66,2,5,6,H,6
67,1,4,1,M,5
67,2,0,6,M,6
68,1,8,2,H,4
68,2,1,7,M,6
69,1,4,9,M,4
69,2,8,0,M,6
70,1,4,7,M,4
70,2,6,6,H,5
71,1,7,6,M,4
71,2,6,4,M,5
72,1,1,0,M,4
72,2,1,0,H,4
73,1,2,7,H,3
73,2,1,4,M,4
74,1,2,9,M,3
74,2,1,1,H,3
75,1,9,9,M,3
75,2,8,5,H,2
76,1,1,4,M,3
76,2,6,3,M,2
77,1,2,8,M,3
77,2,3,5,M,2
78,1,3,8,M,3
78,2,3,3,M,2
79,1,3,5,M,3
79,2,4,3,M,2
80,1,2,5,M,3
80,2,6,2,M,2
81,1,2,1,M,3
81,2,0,1,M,2
82,1,6,3,M,3
82,2,5,8,M,2
83,1,3,4,M,3
83,2,2,5,M,2
84,1,7,3,H,2
84,2,1,8,M,2
85,1,3,0,M,2
85,2,6,0,M,2
86,1,2,0,M,2
86,2,8,2,M,2
87,1,0,4,M,2
87,2,5,9,M,2
88,1,0,3,M,2
88,2,4,5,M,2
89,1,9,3,M,2
89,2,2,3,M,2
90,1,1,2,M,2
90,2,9,2,M,2
91,1,0,5,M,2
91,2,3,0,M,2
92,1,8,9,M,2
92,2,7,2,M,2
93,1,5,5,H,1
93,2,4,1,M,2
94,1,1,6,M,1
94,2,3,8,M,2
95,1,6,4,M,1
95,2,5,1,M,2
96,1,4,2,M,1
96,2,9,8,M,2
97,1,6,6,M,1
97,2,4,9,M,2
98,1,5,1,M,1
98,2,3,6,M,2
99,1,1,7,H,0
99,2,6,5,H,1
100,1,3,6,M,0
100,2,9,6,H,0
