Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,5,5,H,16
1,2,6,3,M,17
2,1,5,8,M,16
2,2,2,0,M,17
3,1,8,9,M,16
3,2,9,7,M,17
4,1,1,4,M,16
4,2,1,2,H,16
5,1,0,4,M,16
5,2,3,7,M,16
6,1,7,5,M,16
6,2,1,6,M,16
7,1,8,5,M,16
7,2,0,0,M,16
8,1,6,0,M,16
8,2,0,8,M,16
9,1,8,4,M,16
9,2,9,4,M,16
10,1,7,4,M,16
10,2,6,9,M,16
11,1,5,6,H,15
11,2,8,3,M,16
12,1,9,3,M,15
12,2,4,9,M,16
13,1,3,9,M,15
13,2,5,3,M,16
14,1,0,1,M,15
14,2,8,8,M,16
15,1,1,7,M,15
15,2,7,7,M,16
16,1,1,3,M,15
16,2,2,1,M,16
17,1,4,0,M,15
17,2,7,6,M,16
18,1,0,7,M,15
18,2,8,5,M,16
19,1,8,0,M,15
19,2,1,7,M,16
20,1,7,9,M,15
20,2,4,8,M,16
21,1,0,8,M,15
21,2,5,0,M,16
22,1,4,8,M,15
22,2,5,5,M,16
23,1,1,6,M,15
23,2,1,0,M,16
24,1,5,1,M,15
24,2,7,3,M,16
25,1,9,6,M,15
25,2,3,4,M,16
26,1,5,2,M,15
26,2,8,1,M,16
27,1,2,7,M,15
27,2,9,0,M,16
28,1,1,9,M,15
28,2,7,4,H,15
29,1,5,4,H,14
29,2,8,7,M,15
30,1,2,8,M,14
30,2,6,8,M,15
31,1,7,6,M,14
31,2,0,1,M,15
32,1,6,2,H,13
32,2,9,3,H,14
33,1,5,9,M,13
33,2,4,6,M,14
34,1,3,6,M,13
34,2,5,8,M,14
35,1,0,5,M,13
35,2,0,5,M,14
36,1,9,8,M,13
36,2,4,2,M,14
37,1,1,8,M,13
37,2,6,2,M,14
38,1,0,6,M,13
38,2,6,5,M,14
39,1,9,1,H,12
39,2,3,5,M,14
40,1,6,7,M,12
40,2,2,8,M,14
41,1,5,0,M,12
41,2,3,9,M,14
42,1,2,2,M,12
42,2,1,8,M,14
43,1,7,0,M,12
43,2,5,2,M,14
44,1,8,3,M,12
44,2,3,8,M,14
45,1,3,0,M,12
45,2,3,6,M,14
46,1,6,1,H,11
46,2,2,9,M,14
47,1,2,3,M,11
47,2,4,4,M,14
48,1,4,5,H,10
48,2,6,1,M,14
49,1,3,1,M,10
49,2,8,2,M,14
50,1,6,8,M,10
50,2,9,9,M,14
51,1,6,4,M,10
51,2,9,2,H,13
52,1,7,3,M,10
52,2,7,9,H,12
53,1,1,2,M,10
53,2,6,6,M,12
54,1,4,2,M,10
54,2,5,9,M,12
55,1,1,0,M,10
55,2,9,1,H,11
56,1,0,3,M,10
56,2,8,0,H,10
57,1,9,0,M,10
57,2,0,3,M,10
58,1,1,5,M,10
58,2,6,7,M,10
59,1,3,4,H,9
59,2,6,4,H,9
60,1,4,7,H,8
60,2,5,7,M,9
61,1,7,2,H,7
61,2,1,3,H,8
62,1,0,0,M,7
62,2,0,7,M,8
63,1,6,9,M,7
63,2,3,3,M,8
64,1,4,1,M,7
64,2,3,0,M,8
65,1,2,6,M,7
65,2,7,8,H,7
66,1,6,6,M,7
66,2,4,0,M,7
67,1,3,2,M,7
67,2,1,4,H,6
68,1,5,3,H,6
68,2,0,9,M,6
69,1,6,3,M,6
69,2,5,1,M,6
70,1,7,1,H,5
70,2,2,6,M,6
71,1,8,8,M,5
71,2,4,7,M,6
72,1,3,3,H,4
72,2,9,6,M,6
73,1,7,8,M,4
73,2,1,5,H,5
74,1,2,4,M,4
74,2,5,4,H,4
75,1,9,7,M,4
75,2,6,0,H,3
76,1,4,6,H,3
76,2,7,1,M,3
77,1,5,7,H,2
77,2,8,4,H,2
78,1,8,6,M,2
78,2,5,6,M,2
79,1,9,9,M,2
79,2,8,9,M,2
80,1,3,8,M,2
80,2,0,2,M,2
81,1,7,7,M,2
81,2,9,8,M,2
82,1,2,9,M,2
82,2,3,1,M,2
83,1,9,4,M,2
83,2,7,0,H,1
84,1,9,5,M,2
84,2,7,2,M,1
85,1,8,1,H,1
85,2,2,4,M,1
86,1,4,9,M,1
86,2,2,3,M,1
87,1,0,9,M,1
87,2,3,2,M,1
88,1,6,5,M,1
88,2,2,2,M,1
89,1,8,7,M,1
89,2,7,5,M,1
90,1,4,4,M,1
90,2,4,5,M,1
91,1,8,2,M,1
91,2,2,5,M,1
92,1,2,5,M,1
92,2,1,1,H,0
93,1,9,2,M,1
93,2,0,6,M,0
94,1,2,1,M,1
94,2,1,9,M,0
95,1,0,2,M,1
95,2,9,5,M,0
96,1,4,3,M,1
96,2,2,7,M,0
97,1,1,1,M,1
97,2,8,6,M,0
98,1,3,7,M,1
98,2,0,4,M,0
99,1,3,5,H,0
99,2,4,1,M,0
