Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,2,9,M,17
1,2,6,5,M,17
2,1,5,6,M,17
2,2,2,4,M,17
3,1,1,5,M,17
3,2,6,7,M,17
4,1,8,1,M,17
4,2,6,9,M,17
5,1,2,1,M,17
5,2,9,3,H,16
6,1,0,1,M,17
6,2,0,3,H,15
7,1,3,8,M,17
7,2,9,0,M,15
8,1,8,7,M,17
8,2,9,6,H,14
9,1,8,9,M,17
9,2,5,4,M,14
10,1,7,5,H,16
10,2,4,9,M,14
11,1,8,6,M,16
11,2,7,2,M,14
12,1,5,2,H,15
12,2,3,4,M,14
13,1,4,4,M,15
13,2,2,2,M,14
14,1,1,4,M,15
14,2,8,2,M,14
15,1,1,2,M,15
15,2,7,4,M,14
16,1,8,8,M,15
16,2,3,6,M,14
17,1,3,4,M,15
17,2,3,7,M,14
18,1,9,2,M,15
18,2,0,9,H,13
19,1,0,4,M,15
19,2,7,8,M,13
20,1,1,8,M,15
20,2,0,5,M,13
21,1,3,7,M,15
21,2,5,9,M,13
22,1,6,9,M,15
22,2,9,5,M,13
23,1,5,1,M,15
23,2,1,8,M,13
24,1,0,9,M,15
24,2,8,0,M,13
25,1,9,1,M,15
25,2,7,9,M,13
26,1,2,4,M,15
26,2,0,6,M,13
27,1,5,3,H,14
27,2,9,4,M,13
28,1,6,2,M,14
28,2,2,6,M,13
29,1,3,2,M,14
29,2,5,3,M,13
30,1,9,3,M,14
30,2,6,2,M,13
31,1,9,6,M,14
31,2,3,2,M,13
32,1,0,5,M,14
32,2,2,7,M,13
33,1,6,0,H,13
33,2,8,1,M,13
34,1,9,5,M,13
34,2,6,0,M,13
35,1,0,8,M,13
35,2,9,1,M,13
36,1,2,6,H,12
36,2,3,0,M,13
37,1,1,7,M,12
37,2,1,2,M,13
38,1,5,4,H,11
38,2,7,1,M,13
39,1,2,7,M,11
39,2,3,3,H,12
40,1,0,7,M,11
40,2,0,4,M,12
41,1,6,3,M,11
41,2,5,8,M,12
42,1,8,5,M,11
42,2,0,8,H,11
43,1,5,9,M,11
43,2,5,6,M,11
44,1,8,0,M,11
44,2,7,7,M,11
45,1,9,0,M,11
45,2,2,5,M,11
46,1,2,0,M,11
46,2,6,3,M,11
47,1,4,5,M,11
47,2,0,0,M,11
48,1,4,3,M,11
48,2,4,6,M,11
49,1,7,8,M,11
49,2,8,9,M,11
50,1,5,5,M,11
50,2,9,9,M,11
51,1,9,9,M,11
51,2,4,4,M,11
52,1,7,0,H,10
52,2,0,1,H,10
53,1,3,3,M,10
53,2,2,3,H,9
54,1,4,6,M,10
54,2,2,0,M,9
55,1,2,3,M,10
55,2,1,6,M,9
56,1,7,6,H,9
56,2,1,1,H,8
57,1,4,0,H,8
57,2,4,7,M,8
58,1,2,8,M,8
58,2,3,5,M,8
59,1,1,0,M,8
59,2,8,7,M,8
60,1,6,1,M,8
60,2,7,3,M,8
61,1,3,1,M,8
61,2,1,5,M,8
62,1,4,7,M,8
62,2,4,0,M,8
63,1,5,0,H,7
63,2,4,2,M,8
64,1,4,1,M,7
64,2,1,4,M,8
65,1,8,2,M,7
65,2,1,7,M,8
66,1,7,4,H,6
66,2,4,8,M,8
67,1,1,1,M,6
67,2,2,9,M,8
68,1,0,6,M,6
68,2,5,5,M,8
69,1,3,0,M,6
69,2,6,1,M,8
70,1,6,6,H,5
70,2,8,4,M,8
71,1,3,5,M,5
71,2,6,4,M,8
72,1,7,3,H,4
72,2,5,1,M,8
73,1,2,2,M,4
73,2,2,1,H,7
74,1,5,8,M,4
74,2,8,6,H,6
75,1,1,3,M,4
75,2,1,9,M,6
76,1,7,9,M,4
76,2,8,8,M,6
77,1,1,6,M,4
77,2,5,7,M,6
78,1,9,4,M,4
78,2,7,6,H,5
79,1,4,2,M,4
79,2,8,3,M,5
80,1,2,5,H,3
80,2,9,7,M,5
81,1,8,3,M,3
81,2,9,2,H,4
82,1,6,7,H,2
82,2,8,5,M,4
83,1,9,8,M,2
83,2,3,1,M,4
84,1,0,2,M,2
84,2,2,8,M,4
85,1,6,4,M,2
85,2,3,9,M,4
86,1,1,9,M,2
86,2,7,5,M,4
87,1,7,2,H,1
87,2,5,0,M,4
88,1,3,9,M,1
88,2,5,2,M,4
89,1,6,5,H,0
89,2,4,1,M,4
90,1,7,7,M,0
90,2,4,5,M,4
91,1,9,7,M,0
91,2,1,3,H,3
92,1,0,0,M,0
92,2,6,6,H,2
93,1,4,9,M,0
93,2,7,0,M,2
94,1,4,8,M,0
94,2,9,8,M,2
95,1,7,1,M,0
95,2,3,8,M,2
96,1,3,6,M,0
96,2,6,8,M,2
97,1,6,8,M,0
97,2,0,7,H,1
98,1,0,3,M,0
98,2,0,2,M,1
99,1,5,7,M,0
99,2,4,3,H,0
