Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,3,2,M,17
1,2,1,9,M,17
2,1,5,4,M,17
2,2,3,2,H,16
3,1,7,9,M,17
3,2,4,6,M,16
4,1,9,9,M,17
4,2,8,4,M,16
5,1,1,8,M,17
5,2,6,7,M,16
6,1,0,5,M,17
6,2,8,6,M,16
7,1,2,6,M,17
7,2,0,0,M,16
8,1,5,0,M,17
8,2,0,7,M,16
9,1,2,5,M,17
9,2,1,4,M,16
10,1,2,7,M,17
10,2,5,0,M,16
11,1,9,1,H,16
11,2,7,3,H,15
12,1,5,5,M,16
12,2,7,7,M,15
13,1,4,1,M,16
13,2,2,5,H,14
14,1,0,2,M,16
14,2,3,0,M,14
15,1,7,6,H,15
15,2,6,9,M,14
16,1,8,3,M,15
16,2,5,9,M,14
17,1,5,2,M,15
17,2,3,9,M,14
18,1,8,1,H,14
18,2,0,1,M,14
19,1,1,6,M,14
19,2,5,4,H,13
20,1,5,8,M,14
20,2,2,4,H,12
21,1,9,0,H,13
21,2,4,3,M,12
22,1,7,7,H,12
22,2,6,3,H,11
23,1,4,3,M,12
23,2,5,1,H,10
24,1,4,9,M,12
24,2,0,2,M,10
25,1,2,9,H,11
25,2,1,0,M,10
26,1,2,8,M,11
26,2,6,0,M,10
27,1,5,6,M,11
27,2,3,4,H,9
28,1,1,2,M,11
28,2,8,8,M,9
29,1,0,0,M,11
29,2,0,4,M,9
30,1,5,7,M,11
30,2,6,8,M,9
31,1,2,3,H,10
31,2,3,3,M,9
32,1,3,9,H,9
32,2,2,0,M,9
33,1,5,1,H,8
33,2,9,8,M,9
34,1,9,7,M,8
34,2,4,0,M,9
35,1,8,2,M,8
35,2,7,1,H,8
36,1,4,7,M,8
36,2,9,0,M,8
37,1,2,0,H,7
37,2,0,9,M,8
38,1,8,6,M,7
38,2,2,8,M,8
39,1,6,9,M,7
39,2,1,3,M,8
40,1,4,5,M,7
40,2,4,2,H,7
41,1,6,2,M,7
41,2,9,9,M,7
42,1,0,9,M,7
42,2,4,8,M,7
43,1,8,0,M,7
43,2,4,7,M,7
44,1,3,0,M,7
44,2,1,5,M,7
45,1,0,6,M,7
45,2,8,7,M,7
46,1,4,2,M,7
46,2,0,8,M,7
47,1,8,9,M,7
47,2,4,4,H,6
48,1,9,3,M,7
48,2,7,6,M,6
49,1,6,8,M,7
49,2,9,5,M,6
50,1,4,0,M,7
50,2,0,6,M,6
51,1,5,3,M,7
51,2,4,1,M,6
52,1,9,2,M,7
52,2,9,7,M,6
53,1,1,5,M,7
53,2,3,7,M,6
54,1,1,3,M,7
54,2,3,8,M,6
55,1,1,9,H,6
55,2,1,8,M,6
56,1,6,4,M,6
56,2,2,6,H,5
57,1,6,6,M,6
57,2,0,3,M,5
58,1,4,4,M,6
58,2,7,8,M,5
59,1,0,7,M,6
59,2,3,1,M,5
60,1,7,8,M,6
60,2,9,2,M,5
61,1,7,4,M,6
61,2,9,4,M,5
62,1,8,8,M,6
62,2,0,5,M,5
63,1,0,8,M,6
63,2,3,6,M,5
64,1,0,4,M,6
64,2,8,9,M,5
65,1,3,6,M,6
65,2,2,1,M,5
66,1,8,5,M,6
66,2,2,9,M,5
67,1,6,3,M,6
67,2,9,6,M,5
68,1,6,5,M,6
68,2,2,2,M,5
69,1,7,2,M,6
69,2,1,6,M,5
70,1,6,7,M,6
70,2,8,0,M,5
71,1,4,8,M,6
71,2,6,4,H,4
72,1,7,1,H,5
72,2,6,6,M,4
73,1,0,1,M,5
73,2,8,3,H,3
74,1,2,2,H,4
74,2,5,3,M,3
75,1,8,4,M,4
75,2,5,8,M,3
76,1,1,1,M,4
76,2,1,7,M,3
77,1,9,4,M,4
77,2,7,2,M,3
78,1,3,7,M,4
78,2,1,2,M,3
79,1,4,6,M,4
79,2,5,7,M,3
80,1,2,4,H,3
80,2,6,5,M,3
81,1,3,8,M,3
81,2,1,1,M,3
82,1,1,4,M,3
82,2,5,5,M,3
83,1,7,0,M,3
83,2,5,6,M,3
84,1,9,5,M,3
84,2,7,4,M,3
85,1,5,9,M,3
85,2,2,3,M,3
86,1,3,3,M,3
86,2,8,5,M,3
87,1,9,6,M,3
87,2,3,5,M,3
88,1,3,1,M,3
88,2,6,1,H,2
89,1,7,3,M,3
89,2,5,2,M,2
90,1,1,7,M,3
90,2,7,0,M,2
91,1,0,3,M,3
91,2,8,2,M,2
92,1,3,4,M,3
92,2,4,9,M,2
93,1,6,1,H,2
93,2,7,5,M,2
94,1,3,5,M,2
94,2,6,2,M,2
95,1,6,0,M,2
95,2,7,9,M,2
96,1,9,8,M,2
96,2,8,1,M,2
97,1,8,7,M,2
97,2,9,1,M,2
98,1,7,5,H,1
98,2,2,7,H,1
99,1,2,1,H,0
99,2,4,5,M,1
100,1,1,0,M,0
100,2,9,3,H,0
