Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,1,3,M,17
1,2,3,4,M,17
2,1,3,5,M,17
2,2,8,1,M,17
3,1,5,5,H,16
3,2,1,8,H,16
4,1,3,0,M,16
4,2,9,3,M,16
5,1,6,3,M,16
5,2,0,8,M,16
6,1,9,1,M,16
6,2,3,9,M,16
7,1,2,5,H,15
7,2,5,4,M,16
8,1,5,9,M,15
8,2,8,5,H,15
9,1,7,9,M,15
9,2,6,1,M,15
10,1,6,5,H,14
10,2,1,9,M,15
11,1,7,0,M,14
11,2,9,1,M,15
12,1,6,4,M,14
12,2,2,6,M,15
13,1,8,3,M,14
13,2,8,3,H,14
14,1,1,9,M,14
14,2,1,7,M,14
15,1,4,0,M,14
15,2,9,2,M,14
16,1,5,4,M,14
16,2,9,6,M,14
17,1,8,2,M,14
17,2,3,0,M,14
18,1,1,6,M,14
18,2,4,3,M,14
19,1,0,4,M,14
19,2,6,9,H,13
20,1,3,7,M,14
20,2,0,3,M,13
21,1,8,8,M,14
21,2,6,4,M,13
22,1,6,7,M,14
22,2,2,2,M,13
23,1,6,1,M,14
23,2,6,5,M,13
24,1,9,2,M,14
24,2,6,3,M,13
25,1,0,7,M,14
25,2,3,1,M,13
26,1,3,2,M,14
26,2,6,7,M,13
27,1,0,1,M,14
27,2,8,0,M,13
28,1,0,2,M,14
28,2,1,6,M,13
29,1,9,8,M,14
29,2,2,7,M,13
30,1,7,4,M,14
30,2,5,9,H,12
31,1,4,8,M,14
31,2,1,2,H,11
32,1,0,9,M,14
32,2,5,2,M,11
33,1,5,6,M,14
33,2,8,8,M,11
34,1,0,8,M,14
34,2,3,8,H,10
35,1,1,5,M,14
35,2,5,0,M,10
36,1,0,0,M,14
36,2,8,9,H,9
37,1,7,7,M,14
37,2,0,9,M,9
38,1,2,9,M,14
38,2,7,4,M,9
39,1,5,0,M,14
39,2,0,1,M,9
40,1,4,2,M,14
40,2,9,7,M,9
41,1,8,6,M,14
41,2,8,4,H,8
42,1,4,6,M,14
42,2,6,6,M,8
43,1,1,4,M,14
43,2,4,4,M,8
44,1,7,8,M,14
44,2,7,5,M,8
45,1,5,8,M,14
45,2,2,8,H,7
46,1,2,6,H,13
46,2,6,2,M,7
47,1,7,2,M,13
47,2,5,1,M,7
48,1,5,1,H,12
48,2,9,9,M,7
49,1,4,3,M,12
49,2,7,0,H,6
50,1,5,7,M,12
50,2,2,9,M,6
51,1,2,8,M,12
51,2,4,6,M,6
52,1,3,6,M,12
52,2,9,0,M,6
53,1,7,6,M,12
53,2,0,6,M,6
54,1,1,7,M,12
54,2,2,1,M,6
55,1,4,9,M,12
55,2,1,5,M,6
56,1,5,3,M,12
56,2,2,5,M,6
57,1,6,9,M,12
57,2,6,0,H,5
58,1,8,0,M,12
58,2,4,2,M,5
59,1,2,1,H,11
59,2,3,3,M,5
60,1,4,5,M,11
60,2,3,7,M,5
61,1,2,2,H,10
61,2,2,0,M,5
62,1,1,1,H,9
62,2,3,6,M,5
63,1,4,4,M,9
63,2,7,7,M,5
64,1,7,5,H,8
64,2,4,8,H,4
65,1,1,8,M,8
65,2,5,6,M,4
66,1,0,5,M,8
66,2,5,7,M,4
67,1,5,2,M,8
67,2,9,4,M,4
68,1,3,4,M,8
68,2,3,2,M,4
69,1,8,4,M,8
69,2,5,3,M,4
70,1,1,0,H,7
70,2,1,4,H,3
71,1,8,1,M,7
71,2,1,3,H,2
72,1,2,4,H,6
72,2,7,3,M,2
73,1,3,1,H,5
73,2,7,6,M,2
74,1,3,8,M,5
74,2,0,7,M,2
75,1,6,2,M,5
75,2,0,2,M,2
76,1,7,3,M,5
76,2,4,9,H,1
77,1,2,0,M,5
77,2,0,5,M,1
78,1,7,1,M,5
78,2,7,2,M,1
79,1,6,6,M,5
79,2,8,7,M,1
80,1,9,5,H,4
80,2,3,5,M,1
81,1,6,0,M,4
81,2,5,5,M,1
82,1,8,7,M,4
82,2,1,0,M,1
83,1,9,4,H,3
83,2,4,5,M,1
84,1,8,9,M,3
84,2,4,7,M,1
85,1,4,1,H,2
85,2,9,8,M,1
86,1,0,3,M,2
86,2,7,9,H,0
87,1,9,3,H,1
87,2,8,6,M,0
88,1,2,3,H,0
88,2,9,5,M,0
