Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,4,5,M,17
1,2,7,8,M,17
2,1,5,6,H,16
2,2,3,2,M,17
3,1,9,8,M,16
3,2,2,7,H,16
4,1,8,3,H,15
4,2,1,8,M,16
5,1,6,2,M,15
5,2,7,6,H,15
6,1,6,8,M,15
6,2,4,3,M,15
7,1,9,0,M,15
7,2,5,2,M,15
8,1,2,7,M,15
8,2,6,8,M,15
9,1,7,0,M,15
9,2,9,6,M,15
10,1,1,5,M,15
10,2,8,7,M,15
11,1,6,3,M,15
11,2,3,7,H,14
12,1,4,0,H,14
12,2,0,7,M,14
13,1,0,0,M,14
13,2,1,0,M,14
14,1,8,9,M,14
14,2,5,3,M,14
15,1,9,6,H,13
15,2,9,7,M,14
16,1,7,3,M,13
16,2,8,6,H,13
17,1,5,7,H,12
17,2,7,4,M,13
18,1,3,7,M,12
18,2,9,0,M,13
19,1,9,9,M,12
19,2,0,1,H,12
20,1,6,6,M,12
20,2,4,9,M,12
21,1,0,6,M,12
21,2,6,3,M,12
22,1,3,5,M,12
22,2,7,1,M,12
23,1,7,5,M,12
23,2,9,3,M,12
24,1,1,9,M,12
24,2,2,0,M,12
25,1,4,9,M,12
25,2,3,3,M,12
26,1,5,1,M,12
26,2,0,2,H,11
27,1,4,1,M,12
27,2,1,4,M,11
28,1,1,4,M,12
28,2,8,4,M,11
29,1,6,9,M,12
29,2,9,9,M,11
30,1,8,8,M,12
30,2,4,8,M,11
31,1,3,0,H,11
31,2,6,1,M,11
32,1,1,2,M,11
32,2,1,7,H,10
33,1,1,1,M,11
33,2,3,0,H,9
34,1,0,4,M,11
34,2,9,5,M,9
35,1,9,1,M,11
35,2,2,4,M,9
36,1,6,0,M,11
36,2,5,4,M,9
37,1,8,5,M,11
37,2,7,2,M,9
38,1,7,7,M,11
38,2,2,1,M,9
39,1,2,5,M,11
39,2,0,0,M,9
40,1,2,2,M,11
40,2,9,1,M,9
41,1,8,0,M,11
41,2,8,2,M,9
42,1,4,7,M,11
42,2,8,9,M,9
43,1,9,5,H,10
43,2,5,9,M,9
44,1,8,7,M,10
44,2,2,9,M,9
45,1,3,2,M,10
45,2,3,5,M,9
46,1,3,1,M,10
46,2,4,5,M,9
47,1,0,8,M,10
47,2,2,2,M,9
48,1,4,4,M,10
48,2,0,6,M,9
49,1,3,4,M,10
49,2,2,5,H,8
50,1,7,6,M,10
50,2,1,6,M,8
51,1,7,8,M,10
51,2,8,5,M,8
52,1,2,1,M,10
52,2,0,8,M,8
53,1,0,9,M,10
53,2,2,3,M,8
54,1,8,2,H,9
54,2,8,8,M,8
55,1,6,4,M,9
55,2,4,4,M,8
56,1,5,8,H,8
56,2,8,1,M,8
57,1,9,4,H,7
57,2,3,1,H,7
58,1,9,3,M,7
58,2,3,9,M,7
59,1,0,1,M,7
59,2,6,6,H,6
60,1,6,5,M,7
60,2,9,4,M,6
61,1,9,7,H,6
61,2,5,0,M,6
62,1,8,6,M,6
62,2,7,5,M,6
63,1,8,1,M,6
63,2,4,7,M,6
64,1,8,4,H,5
64,2,1,5,H,5
65,1,2,9,M,5
65,2,8,0,M,5
66,1,4,6,M,5
66,2,8,3,M,5
67,1,2,8,M,5
67,2,7,3,M,5
68,1,1,6,M,5
68,2,5,6,H,4
69,1,5,9,M,5
69,2,7,0,M,4
70,1,3,8,M,5
70,2,6,4,M,4
71,1,6,1,M,5
71,2,0,5,H,3
72,1,2,4,M,5
72,2,5,1,M,3
73,1,3,9,M,5
73,2,6,2,M,3
74,1,1,7,M,5
74,2,6,9,M,3
75,1,5,0,M,5
75,2,1,3,M,3
76,1,9,2,M,5
76,2,0,3,H,2
77,1,5,3,M,5
77,2,0,9,M,2
78,1,5,2,M,5
78,2,9,2,M,2
79,1,4,2,H,4
79,2,6,0,M,2
80,1,0,5,M,4
80,2,4,6,H,1
81,1,2,3,M,4
81,2,3,4,M,1
82,1,0,3,M,4
82,2,4,1,M,1
83,1,0,2,M,4
83,2,6,5,M,1
84,1,7,9,M,4
84,2,5,8,M,1
85,1,7,2,M,4
85,2,2,8,M,1
86,1,7,1,M,4
86,2,4,0,M,1
87,1,2,6,M,4
87,2,1,1,M,1
88,1,3,3,M,4
88,2,9,8,M,1
89,1,4,3,H,3
89,2,6,7,M,1
90,1,5,5,H,2
90,2,0,4,H,0
91,1,4,8,M,2
91,2,4,2,M,0
92,1,1,3,M,2
92,2,2,6,M,0
93,1,0,7,M,2
93,2,7,9,M,0
94,1,5,4,H,1
94,2,7,7,M,0
95,1,3,6,M,1
95,2,1,2,M,0
96,1,7,4,M,1
96,2,1,9,M,0
97,1,2,0,H,0
97,2,3,8,M,0
