Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,5,6,M,17
1,2,0,2,M,17
2,1,1,1,M,17
2,2,7,4,H,16
3,1,9,5,M,17
3,2,9,1,M,16
4,1,0,4,M,17
4,2,5,2,H,15
5,1,7,4,H,16
5,2,5,6,H,14
6,1,0,0,M,16
6,2,4,6,H,13
7,1,7,9,M,16
7,2,4,9,M,13
8,1,3,3,M,16
8,2,0,9,M,13
9,1,2,7,M,16
9,2,8,4,M,13
10,1,3,7,M,16
10,2,1,9,M,13
11,1,8,0,H,15
11,2,6,7,M,13
12,1,0,3,M,15
12,2,2,7,M,13
13,1,6,1,M,15
13,2,8,7,M,13
14,1,1,7,H,14
14,2,1,7,M,13
15,1,1,8,H,13
15,2,9,0,M,13
16,1,3,1,M,13
16,2,9,8,M,13
17,1,4,3,M,13
17,2,7,8,M,13
18,1,9,8,M,13
18,2,5,3,H,12
19,1,9,6,M,13
19,2,0,1,M,12
20,1,0,5,M,13
20,2,3,6,H,11
21,1,8,2,M,13
21,2,0,7,M,11
22,1,8,9,M,13
22,2,6,3,M,11
23,1,8,3,M,13
23,2,9,2,M,11
24,1,2,8,M,13
24,2,3,1,M,11
25,1,4,6,M,13
25,2,5,0,M,11
26,1,2,5,M,13
26,2,3,0,M,11
27,1,5,3,M,13
27,2,2,2,M,11
28,1,7,1,M,13
28,2,7,5,H,10
29,1,1,6,M,13
29,2,4,3,M,10
30,1,2,3,M,13
30,2,0,4,M,10
31,1,0,9,M,13
31,2,1,8,M,10
32,1,5,0,H,12
32,2,2,3,H,9
33,1,6,9,M,12
33,2,6,5,M,9
34,1,1,4,M,12
34,2,8,2,M,9
35,1,9,4,M,12
35,2,8,5,M,9
36,1,6,2,M,12
36,2,8,9,M,9
37,1,8,6,M,12
37,2,0,5,M,9
38,1,1,3,M,12
38,2,3,5,H,8
39,1,5,8,M,12
39,2,3,2,M,8
40,1,4,1,M,12
40,2,9,6,M,8
41,1,1,2,M,12
41,2,1,2,M,8
42,1,4,7,M,12
42,2,3,9,M,8
43,1,7,3,M,12
43,2,2,1,M,8
44,1,0,1,M,12
44,2,4,5,M,8
45,1,2,1,M,12
45,2,7,0,M,8
46,1,2,6,M,12
46,2,0,0,M,8
47,1,7,5,M,12
47,2,7,3,H,7
48,1,6,4,H,11
48,2,9,5,M,7
49,1,7,7,H,10
49,2,6,9,M,7
50,1,8,4,M,10
50,2,2,4,H,6
51,1,2,9,M,10
51,2,5,9,M,6
52,1,3,0,M,10
52,2,6,6,M,6
53,1,4,0,H,9
53,2,6,4,M,6
54,1,7,2,M,9
54,2,1,4,M,6
55,1,3,5,M,9
55,2,8,3,M,6
56,1,1,5,M,9
56,2,6,0,M,6
57,1,9,1,M,9
57,2,9,9,M,6
58,1,8,5,M,9
58,2,5,4,H,5
59,1,8,8,M,9
59,2,9,7,M,5
60,1,9,0,M,9
60,2,4,2,M,5
61,1,6,0,H,8
61,2,4,1,M,5
62,1,4,5,M,8
62,2,5,5,H,4
63,1,3,2,M,8
63,2,7,6,M,4
64,1,1,0,M,8
64,2,1,1,M,4
65,1,6,6,H,7
65,2,8,0,M,4
66,1,8,7,H,6
66,2,9,4,M,4
67,1,9,9,M,6
67,2,0,8,M,4
68,1,1,9,M,6
68,2,4,4,M,4
69,1,5,4,H,5
69,2,5,8,M,4
70,1,5,2,M,5
70,2,9,3,M,4
71,1,5,9,M,5
71,2,8,8,M,4
72,1,5,7,M,5
72,2,3,7,H,3
73,1,7,0,H,4
73,2,0,6,M,3
74,1,2,4,M,4
74,2,2,0,M,3
75,1,6,8,M,4
75,2,1,0,M,3
76,1,7,8,M,4
76,2,6,8,M,3
77,1,2,0,M,4
77,2,6,1,M,3
78,1,9,2,M,4
78,2,6,2,M,3
79,1,0,8,M,4
79,2,1,6,M,3
80,1,0,2,M,4
80,2,4,0,M,3
81,1,6,7,H,3
81,2,8,1,M,3
82,1,3,8,M,3
82,2,4,7,H,2
83,1,4,2,M,3
83,2,2,8,M,2
84,1,3,4,M,3
84,2,3,8,M,2
85,1,0,6,M,3
85,2,4,8,M,2
86,1,5,1,M,3
86,2,2,9,M,2
87,1,8,1,M,3
87,2,0,3,M,2
88,1,4,4,H,2
88,2,1,5,M,2
89,1,4,9,M,2
89,2,7,1,M,2
90,1,3,6,M,2
90,2,7,2,H,1
91,1,4,8,M,2
91,2,7,7,M,1
92,1,2,2,M,2
92,2,5,1,M,1
93,1,5,5,M,2
93,2,3,4,M,1
94,1,0,7,M,2
94,2,8,6,M,1
95,1,6,3,M,2
95,2,7,9,M,1
96,1,9,3,M,2
96,2,1,3,M,1
97,1,6,5,H,1
97,2,2,6,M,1
98,1,9,7,H,0
98,2,2,5,H,0
