Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,7,5,M,17
1,2,7,9,M,17
2,1,1,5,M,17
2,2,6,2,M,17
3,1,3,9,M,17
3,2,5,2,M,17
4,1,5,8,M,17
4,2,8,4,M,17
5,1,4,7,M,17
5,2,6,9,M,17
6,1,9,7,M,17
6,2,0,7,M,17
7,1,7,1,M,17
7,2,5,3,M,17
8,1,7,0,M,17
8,2,3,7,M,17
9,1,7,2,M,17
9,2,3,6,M,17
10,1,3,1,M,17
10,2,8,6,M,17
11,1,9,8,M,17
11,2,9,0,M,17
12,1,5,9,M,17
12,2,3,5,M,17
13,1,8,9,M,17
13,2,1,6,M,17
14,1,4,6,M,17
14,2,9,7,M,17
15,1,9,6,M,17
15,2,6,1,M,17
16,1,5,6,M,17
16,2,4,7,M,17
17,1,0,2,M,17
17,2,0,2,M,17
18,1,9,4,M,17
18,2,7,6,M,17
19,1,5,5,M,17
19,2,5,1,M,17
20,1,6,8,M,17
20,2,8,0,M,17
21,1,1,2,M,17
21,2,1,8,H,16
22,1,7,6,M,17
22,2,0,1,M,16
23,1,4,9,M,17
23,2,8,5,M,16
24,1,5,0,H,16
24,2,0,8,M,16
25,1,2,7,M,16
25,2,1,1,M,16
26,1,4,0,H,15
26,2,3,9,M,16
27,1,0,4,M,15
27,2,4,6,M,16
28,1,2,1,M,15
28,2,1,0,M,16
29,1,1,9,H,14
29,2,6,3,M,16
30,1,5,1,H,13
30,2,8,9,M,16
31,1,1,0,H,12
31,2,8,3,M,16
32,1,8,3,M,12
32,2,1,3,H,15
33,1,7,4,M,12
33,2,0,0,M,15
34,1,0,1,M,12
34,2,7,7,M,15
35,1,4,4,M,12
35,2,5,8,H,14
36,1,7,3,M,12
36,2,5,5,M,14
37,1,4,3,M,12
37,2,3,4,M,14
38,1,9,5,M,12
38,2,8,8,M,14
39,1,7,9,M,12
39,2,2,6,M,14
40,1,9,3,M,12
40,2,9,6,M,14
41,1,6,9,M,12
41,2,3,2,M,14
42,1,8,5,M,12
42,2,7,3,M,14
43,1,3,3,M,12
43,2,2,3,H,13
44,1,7,8,M,12
44,2,2,9,M,13
45,1,5,7,M,12
45,2,2,2,M,13
46,1,0,5,M,12
46,2,1,5,M,13
47,1,9,2,M,12
47,2,9,5,M,13
48,1,6,6,M,12
48,2,7,4,M,13
49,1,0,7,M,12
49,2,2,1,M,13
50,1,0,9,H,11
50,2,0,3,M,13
51,1,0,6,M,11
51,2,3,3,M,13
52,1,0,0,M,11
52,2,5,0,H,12
53,1,8,2,M,11
53,2,4,2,M,12
54,1,8,6,M,11
54,2,6,0,M,12
55,1,8,1,M,11
55,2,4,9,M,12
56,1,6,4,M,11
56,2,1,2,M,12
57,1,8,7,M,11
57,2,3,1,M,12
58,1,1,7,M,11
58,2,5,6,M,12
59,1,6,3,M,11
59,2,4,8,H,11
60,1,2,0,H,10
60,2,4,0,H,10
61,1,7,7,M,10
61,2,6,7,M,10
62,1,3,2,M,10
62,2,0,4,M,10
63,1,2,8,M,10
63,2,9,2,M,10
64,1,0,3,M,10
64,2,0,5,M,10
65,1,2,5,H,9
65,2,2,7,M,10
66,1,3,0,H,8
66,2,0,9,M,10
67,1,0,8,M,8
67,2,5,4,H,9
68,1,4,2,M,8
68,2,0,6,M,9
69,1,6,7,M,8
69,2,7,5,M,9
70,1,1,8,M,8
70,2,5,9,M,9
71,1,3,6,M,8
71,2,6,4,H,8
72,1,5,3,H,7
72,2,9,3,M,8
73,1,6,1,M,7
73,2,7,2,M,8
74,1,9,0,M,7
74,2,1,9,H,7
75,1,3,7,M,7
75,2,2,5,M,7
76,1,9,1,M,7
76,2,4,1,M,7
77,1,3,4,M,7
77,2,6,6,M,7
78,1,2,4,H,6
78,2,6,5,M,7
79,1,4,5,M,6
79,2,7,8,M,7
80,1,3,5,M,6
80,2,4,4,H,6
81,1,6,2,M,6
81,2,7,0,M,6
82,1,6,0,M,6
82,2,9,9,M,6
83,1,8,0,M,6
83,2,3,8,H,5
84,1,2,6,H,5
84,2,1,7,H,4
85,1,4,1,M,5
85,2,4,3,M,4
86,1,2,3,H,4
86,2,3,0,H,3
87,1,4,8,M,4
87,2,9,1,M,3
88,1,8,8,M,4
88,2,9,4,M,3
89,1,2,9,H,3
89,2,8,2,M,3
90,1,1,4,M,3
90,2,2,4,M,3
91,1,1,6,M,3
91,2,8,7,M,3
92,1,1,3,M,3
92,2,7,1,M,3
93,1,6,5,M,3
93,2,2,8,H,2
94,1,5,4,H,2
94,2,9,8,M,2
95,1,8,4,M,2
95,2,8,1,M,2
96,1,3,8,M,2
96,2,1,4,M,2
97,1,2,2,H,1
97,2,5,7,M,2
98,1,1,1,M,1
98,2,4,5,M,2
99,1,9,9,M,1
99,2,2,0,H,1
100,1,5,2,H,0
100,2,6,8,H,0
