Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,6,7,M,17
1,2,0,1,M,17
2,1,3,6,M,17
2,2,6,8,M,17
3,1,8,7,M,17
3,2,5,7,M,17
4,1,9,3,M,17
4,2,7,4,H,16
5,1,1,2,H,16
5,2,2,5,M,16
6,1,4,0,M,16
6,2,9,7,M,16
7,1,0,2,M,16
7,2,5,1,H,15
8,1,8,4,M,16
8,2,4,1,H,14
9,1,6,6,H,15
9,2,2,4,M,14
10,1,3,1,H,14
10,2,7,9,H,13
11,1,3,4,M,14
11,2,3,0,M,13
12,1,2,6,H,13
12,2,2,3,M,13
13,1,6,1,M,13
13,2,0,8,M,13
14,1,4,9,M,13
14,2,5,0,M,13
15,1,7,7,M,13
15,2,8,5,M,13
16,1,3,9,M,13
16,2,9,2,M,13
17,1,8,5,H,12
17,2,3,2,M,13
18,1,5,7,M,12
18,2,1,0,M,13
19,1,5,3,M,12
19,2,0,6,M,13
20,1,1,3,H,11
20,2,7,6,H,12
21,1,0,5,M,11
21,2,3,1,M,12
22,1,9,4,M,11
22,2,4,0,M,12
23,1,1,1,M,11
23,2,9,6,M,12
24,1,1,8,M,11
24,2,2,1,M,12
25,1,6,5,H,10
25,2,0,2,M,12
26,1,9,8,M,10
26,2,6,0,M,12
27,1,5,6,M,10
27,2,0,4,M,12
28,1,7,3,M,10
28,2,3,8,M,12
29,1,1,4,M,10
29,2,3,5,M,12
30,1,6,2,M,10
30,2,7,5,H,11
31,1,7,2,M,10
31,2,8,4,M,11
32,1,4,5,H,9
32,2,6,3,M,11
33,1,5,2,M,9
33,2,0,0,M,11
34,1,3,7,M,9
34,2,3,4,M,11
35,1,9,5,M,9
35,2,4,9,H,10
36,1,8,9,M,9
36,2,6,7,M,10
37,1,4,3,M,9
37,2,7,1,H,9
38,1,6,3,M,9
38,2,4,7,M,9
39,1,5,1,M,9
39,2,8,8,M,9
40,1,3,0,H,8
40,2,2,8,M,9
41,1,2,1,M,8
41,2,0,3,M,9
42,1,2,3,M,8
42,2,1,6,M,9
43,1,0,9,M,8
43,2,1,1,M,9
44,1,7,6,H,7
44,2,7,0,M,9
45,1,6,9,M,7
45,2,7,2,M,9
46,1,2,5,H,6
46,2,9,1,M,9
47,1,7,1,M,6
47,2,6,6,M,9
48,1,4,6,M,6
48,2,5,5,M,9
49,1,6,8,M,6
49,2,8,7,M,9
50,1,2,4,H,5
50,2,8,9,M,9
51,1,7,5,H,4
51,2,5,6,M,9
52,1,1,9,M,4
52,2,2,7,M,9
53,1,5,5,H,3
53,2,9,4,M,9
54,1,4,4,M,3
54,2,9,5,M,9
55,1,1,5,M,3
55,2,5,4,M,9
56,1,5,4,M,3
56,2,6,2,H,8
57,1,4,8,M,3
57,2,9,8,M,8
58,1,8,8,M,3
58,2,8,3,M,8
59,1,8,6,H,2
59,2,1,8,M,8
60,1,0,3,M,2
60,2,2,2,M,8
61,1,5,9,M,2
61,2,3,3,M,8
62,1,4,7,M,2
62,2,8,0,M,8
63,1,3,8,M,2
63,2,5,9,H,7
64,1,1,0,M,2
64,2,4,2,M,7
65,1,0,4,M,2
65,2,8,6,M,7
66,1,2,2,M,2
66,2,6,5,M,7
67,1,4,2,M,2
67,2,5,3,M,7
68,1,6,0,M,2
68,2,0,9,M,7
69,1,7,9,M,2
69,2,6,4,M,7
70,1,3,5,M,2
70,2,2,6,M,7
71,1,8,2,M,2
71,2,9,3,M,7
72,1,8,0,M,2
72,2,7,3,H,6
73,1,5,0,M,2
73,2,4,6,M,6
74,1,6,4,M,2
74,2,6,9,H,5
75,1,2,8,M,2
75,2,6,1,H,4
76,1,4,1,M,2
76,2,2,0,M,4
77,1,0,1,M,2
77,2,5,2,H,3
78,1,0,7,M,2
78,2,4,8,M,3
79,1,0,6,M,2
79,2,1,7,M,3
80,1,7,8,M,2
80,2,4,3,M,3
81,1,1,7,M,2
81,2,7,8,H,2
82,1,2,7,M,2
82,2,8,1,H,1
83,1,3,2,H,1
83,2,3,9,M,1
84,1,7,0,M,1
84,2,9,9,M,1
85,1,9,0,M,1
85,2,9,0,M,1
86,1,0,8,M,1
86,2,1,5,M,1
87,1,2,0,M,1
87,2,3,7,M,1
88,1,9,9,M,1
88,2,8,2,M,1
89,1,8,3,M,1
89,2,1,3,M,1
90,1,1,6,M,1
90,2,4,5,M,1
91,1,9,2,M,1
91,2,1,9,M,1
92,1,8,1,M,1
92,2,3,6,M,1
93,1,9,6,M,1
93,2,7,7,H,0
94,1,0,0,M,1
94,2,5,8,M,0
95,1,9,7,M,1
95,2,1,2,M,0
96,1,5,8,M,1
96,2,0,7,M,0
97,1,7,4,M,1
97,2,0,5,M,0
98,1,3,3,H,0
98,2,1,4,M,0
