Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,0,8,M,17
1,2,7,9,M,17
2,1,9,0,M,17
2,2,3,9,M,17
3,1,4,5,M,17
3,2,9,4,M,17
4,1,8,1,M,17
4,2,0,5,M,17
5,1,9,8,M,17
5,2,0,2,H,16
6,1,4,0,M,17
6,2,1,1,H,15
7,1,5,6,H,16
7,2,3,5,M,15
8,1,9,6,M,16
8,2,2,1,H,14
9,1,6,4,M,16
9,2,0,3,H,13
10,1,9,2,M,16
10,2,1,6,M,13
11,1,4,4,M,16
11,2,5,0,M,13
12,1,6,8,M,16
12,2,8,4,M,13
13,1,9,9,M,16
13,2,8,8,M,13
14,1,2,6,M,16
14,2,4,2,M,13
15,1,4,1,M,16
15,2,9,9,M,13
16,1,7,8,M,16
16,2,0,7,M,13
17,1,0,2,M,16
17,2,6,3,M,13
18,1,8,0,M,16
18,2,1,0,H,12
19,1,5,3,H,15
19,2,4,0,M,12
20,1,4,9,M,15
20,2,6,0,M,12
21,1,9,4,M,15
21,2,2,6,M,12
22,1,6,9,M,15
22,2,4,6,M,12
23,1,6,2,H,14
23,2,4,4,M,12
24,1,1,3,M,14
24,2,1,2,H,11
25,1,4,8,M,14
25,2,5,1,H,10
26,1,3,4,M,14
26,2,4,5,M,10
27,1,8,2,M,14
27,2,2,4,M,10
28,1,5,4,H,13
28,2,2,5,M,10
29,1,4,6,M,13
29,2,0,6,M,10
30,1,7,1,M,13
30,2,5,9,M,10
31,1,7,6,H,12
31,2,3,8,M,10
32,1,9,1,M,12
32,2,5,5,M,10
33,1,3,1,M,12
33,2,3,2,M,10
34,1,8,7,M,12
34,2,9,2,M,10
35,1,1,0,M,12
35,2,8,2,M,10
36,1,9,7,M,12
36,2,2,3,H,9
37,1,5,1,H,11
37,2,2,2,M,9
38,1,0,3,M,11
38,2,2,8,M,9
39,1,0,6,M,11
39,2,1,5,M,9
40,1,0,9,M,11
40,2,4,1,H,8
41,1,4,2,M,11
41,2,6,8,M,8
42,1,4,3,M,11
42,2,9,0,M,8
43,1,8,3,M,11
43,2,4,3,M,8
44,1,2,2,M,11
44,2,3,7,H,7
45,1,8,4,M,11
45,2,4,7,H,6
46,1,1,6,M,11
46,2,9,6,M,6
47,1,9,5,M,11
47,2,6,2,M,6
48,1,2,3,M,11
48,2,1,7,H,5
49,1,9,3,M,11
49,2,0,8,M,5
50,1,5,2,M,11
50,2,3,3,M,5
51,1,2,8,M,11
51,2,7,7,M,5
52,1,2,4,M,11
52,2,3,1,H,4
53,1,5,7,H,10
53,2,0,1,H,3
54,1,8,5,M,10
54,2,2,7,H,2
55,1,1,9,H,9
55,2,7,5,M,2
56,1,2,0,M,9
56,2,9,8,M,2
57,1,3,3,M,9
57,2,4,9,M,2
58,1,6,7,M,9
58,2,0,9,M,2
59,1,6,0,M,9
59,2,1,4,M,2
60,1,3,6,M,9
60,2,6,7,M,2
61,1,1,8,H,8
61,2,5,6,M,2
62,1,2,9,M,8
62,2,5,3,M,2
63,1,7,5,H,7
63,2,3,4,M,2
64,1,3,8,M,7
64,2,8,7,M,2
65,1,1,5,M,7
65,2,6,5,M,2
66,1,0,4,M,7
66,2,7,1,M,2
67,1,5,5,H,6
67,2,1,8,M,2
68,1,6,1,H,5
68,2,0,0,M,2
69,1,3,9,M,5
69,2,7,4,M,2
70,1,0,7,M,5
70,2,7,8,M,2
71,1,3,2,M,5
71,2,8,3,M,2
72,1,8,8,M,5
72,2,6,9,M,2
73,1,5,0,H,4
73,2,5,8,M,2
74,1,1,2,M,4
74,2,8,5,M,2
75,1,3,5,M,4
75,2,9,3,M,2
76,1,1,7,H,3
76,2,6,1,M,2
77,1,8,9,M,3
77,2,8,6,M,2
78,1,6,6,M,3
78,2,8,1,M,2
79,1,3,0,M,3
79,2,6,4,M,2
80,1,8,6,M,3
80,2,5,4,M,2
81,1,1,4,M,3
81,2,2,9,M,2
82,1,7,3,H,2
82,2,7,0,M,2
83,1,5,8,M,2
83,2,0,4,M,2
84,1,7,4,H,1
84,2,2,0,M,2
85,1,3,7,M,1
85,2,7,3,M,2
86,1,0,1,M,1
86,2,1,9,M,2
87,1,0,5,M,1
87,2,6,6,M,2
88,1,1,1,M,1
88,2,9,1,M,2
89,1,5,9,M,1
89,2,3,6,M,2
90,1,6,3,H,0
90,2,4,8,M,2
91,1,4,7,M,0
91,2,9,5,M,2
92,1,7,2,M,0
92,2,1,3,H,1
93,1,2,5,M,0
93,2,7,6,M,1
94,1,2,7,M,0
94,2,8,0,M,1
95,1,6,5,M,0
95,2,7,2,M,1
96,1,2,1,M,0
96,2,9,7,M,1
97,1,7,9,M,0
97,2,5,7,H,0
