Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,2,8,M,17
1,2,1,9,M,17
2,1,4,6,H,16
2,2,4,1,M,17
3,1,3,0,M,16
3,2,3,3,H,16
4,1,2,5,M,16
4,2,6,3,M,16
5,1,4,0,M,16
5,2,9,0,M,16
6,1,6,4,H,15
6,2,8,3,M,16
7,1,6,1,M,15
7,2,5,9,M,16
8,1,1,1,M,15
8,2,3,1,M,16
9,1,5,7,M,15
9,2,4,7,M,16
10,1,9,9,M,15
10,2,5,2,M,16
11,1,0,2,H,14
11,2,7,8,M,16
12,1,1,2,H,13
12,2,7,1,M,16
13,1,0,4,M,13
13,2,6,4,M,16
14,1,2,1,M,13
14,2,3,5,H,15
15,1,7,6,M,13
15,2,7,3,M,15
16,1,9,6,M,13
16,2,8,2,M,15
17,1,0,7,M,13
17,2,4,3,M,15
18,1,4,9,M,13
18,2,5,7,M,15
19,1,9,3,M,13
19,2,1,1,M,15
20,1,1,4,M,13
20,2,5,3,M,15
21,1,8,8,M,13
21,2,6,0,H,14
22,1,6,7,M,13
22,2,0,0,M,14
23,1,2,4,M,13
23,2,0,9,M,14
24,1,9,8,H,12
24,2,3,4,H,13
25,1,9,5,M,12
25,2,4,0,H,12
26,1,1,8,M,12
26,2,4,5,H,11
27,1,4,8,M,12
27,2,7,4,M,11
28,1,0,3,M,12
28,2,0,7,M,11
29,1,5,6,M,12
29,2,0,3,M,11
30,1,7,7,M,12
30,2,5,1,M,11
31,1,2,2,H,11
31,2,6,6,M,11
32,1,8,2,M,11
32,2,3,9,M,11
33,1,4,3,M,11
33,2,1,3,M,11
34,1,4,5,M,11
34,2,1,8,M,11
35,1,8,6,M,11
35,2,2,1,M,11
36,1,4,4,M,11
36,2,6,7,M,11
37,1,8,1,M,11
37,2,6,5,M,11
38,1,8,3,M,11
38,2,2,2,M,11
39,1,3,3,M,11
39,2,0,5,M,11
40,1,4,7,M,11
40,2,6,8,M,11
41,1,9,1,M,11
41,2,9,4,M,11
42,1,6,5,M,11
42,2,6,1,M,11
43,1,2,6,H,10
43,2,7,0,H,10
44,1,3,7,M,10
44,2,3,0,M,10
45,1,1,7,M,10
45,2,4,4,M,10
46,1,9,7,H,9
46,2,2,0,M,10
47,1,5,8,M,9
47,2,1,7,H,9
48,1,0,1,M,9
48,2,9,2,M,9
49,1,6,2,H,8
49,2,9,3,M,9
50,1,2,7,M,8
50,2,0,2,M,9
51,1,9,2,M,8
51,2,0,1,M,9
52,1,2,3,M,8
52,2,5,5,H,8
53,1,8,9,M,8
53,2,0,8,M,8
54,1,5,1,M,8
54,2,3,8,M,8
55,1,8,4,H,7
55,2,2,6,M,8
56,1,8,7,M,7
56,2,5,8,M,8
57,1,7,5,M,7
57,2,1,5,M,8
58,1,7,2,H,6
58,2,2,4,M,8
59,1,3,1,M,6
59,2,8,6,M,8
60,1,6,9,M,6
60,2,7,9,M,8
61,1,2,0,M,6
61,2,2,5,H,7
62,1,1,6,H,5
62,2,9,1,M,7
63,1,1,3,M,5
63,2,7,6,H,6
64,1,0,9,M,5
64,2,2,8,M,6
65,1,7,9,M,5
65,2,0,4,M,6
66,1,5,4,M,5
66,2,1,2,M,6
67,1,1,9,M,5
67,2,2,3,M,6
68,1,5,3,M,5
68,2,1,0,M,6
69,1,2,9,M,5
69,2,5,4,M,6
70,1,6,6,M,5
70,2,8,7,M,6
71,1,6,8,M,5
71,2,3,7,H,5
72,1,7,0,M,5
72,2,5,0,H,4
73,1,0,0,M,5
73,2,8,5,M,4
74,1,3,9,M,5
74,2,4,6,M,4
75,1,1,0,M,5
75,2,3,2,M,4
76,1,5,2,H,4
76,2,3,6,M,4
77,1,5,0,M,4
77,2,9,8,M,4
78,1,8,5,M,4
78,2,9,9,M,4
79,1,3,4,M,4
79,2,7,2,M,4
80,1,7,8,M,4
80,2,7,5,H,3
81,1,6,0,M,4
81,2,0,6,M,3
82,1,7,1,M,4
82,2,2,7,H,2
83,1,3,8,M,4
83,2,1,6,M,2
84,1,7,4,H,3
84,2,7,7,H,1
85,1,4,1,M,3
85,2,8,8,M,1
86,1,3,6,H,2
86,2,8,9,M,1
87,1,9,4,M,2
87,2,2,9,M,1
88,1,3,5,M,2
88,2,6,9,M,1
89,1,0,5,M,2
89,2,8,4,M,1
90,1,3,2,H,1
90,2,8,1,M,1
91,1,9,0,M,1
91,2,4,8,M,1
92,1,4,2,H,0
92,2,8,0,H,0
