Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,5,6,M,17
1,2,5,1,H,16
2,1,9,6,M,17
2,2,9,9,M,16
3,1,6,7,M,17
3,2,3,6,M,16
4,1,8,9,M,17
4,2,2,6,M,16
5,1,7,0,M,17
5,2,8,8,M,16
6,1,4,4,M,17
6,2,5,5,H,15
7,1,8,3,M,17
7,2,8,9,M,15
8,1,2,3,M,17
8,2,6,7,M,15
9,1,8,4,H,16
9,2,9,7,M,15
10,1,5,3,H,15
10,2,1,4,H,14
11,1,9,7,M,15
11,2,9,6,M,14
12,1,2,2,H,14
12,2,3,1,H,13
13,1,3,1,M,14
13,2,5,7,M,13
14,1,0,8,M,14
14,2,9,8,M,13
15,1,8,0,M,14
15,2,2,4,M,13
16,1,6,5,H,13
16,2,5,9,M,13
17,1,9,3,M,13
17,2,8,5,H,12
18,1,7,2,M,13
18,2,7,1,M,12
19,1,1,6,M,13
19,2,8,7,M,12
20,1,1,2,M,13
20,2,0,4,M,12
21,1,5,7,M,13
21,2,7,0,M,12
22,1,7,5,M,13
22,2,6,9,M,12
23,1,2,8,M,13
23,2,7,6,M,12
24,1,5,0,M,13
24,2,6,0,M,12
25,1,5,8,H,12
25,2,0,7,M,12
26,1,6,6,M,12
26,2,1,9,M,12
27,1,8,8,H,11
27,2,1,5,H,11
28,1,6,3,M,11
28,2,4,2,M,11
29,1,4,0,M,11
29,2,1,1,H,10
30,1,9,9,M,11
30,2,2,2,M,10
31,1,7,9,M,11
31,2,3,0,M,10
32,1,7,7,M,11
32,2,0,6,M,10
33,1,6,8,H,10
33,2,6,8,M,10
34,1,6,2,M,10
34,2,3,2,M,10
35,1,3,8,H,9
35,2,0,5,M,10
36,1,8,1,M,9
36,2,8,1,M,10
37,1,0,4,M,9
37,2,9,4,M,10
38,1,7,3,M,9
38,2,4,3,M,10
39,1,2,1,M,9
39,2,3,8,M,10
40,1,6,9,M,9
40,2,3,4,M,10
41,1,0,9,M,9
41,2,9,2,H,9
42,1,7,6,M,9
42,2,9,1,M,9
43,1,6,4,M,9
43,2,2,9,M,9
44,1,9,0,M,9
44,2,6,2,M,9
45,1,1,3,M,9
45,2,2,8,M,9
46,1,3,6,M,9
46,2,0,9,M,9
47,1,1,0,M,9
47,2,0,8,M,9
48,1,1,7,M,9
48,2,3,9,M,9
49,1,6,0,M,9
49,2,5,3,M,9
50,1,1,9,M,9
50,2,8,2,H,8
51,1,2,7,M,9
51,2,9,3,M,8
52,1,2,4,M,9
52,2,6,5,H,7
53,1,1,1,M,9
53,2,4,9,M,7
54,1,7,8,M,9
54,2,4,6,M,7
55,1,3,5,M,9
55,2,7,5,H,6
56,1,4,1,M,9
56,2,7,8,M,6
57,1,0,2,M,9
57,2,6,3,M,6
58,1,9,2,M,9
58,2,1,6,M,6
59,1,4,9,M,9
59,2,0,2,M,6
60,1,4,5,H,8
60,2,2,1,M,6
61,1,4,2,M,8
61,2,4,4,M,6
62,1,2,0,M,8
62,2,9,5,H,5
63,1,1,5,M,8
63,2,4,1,H,4
64,1,8,5,H,7
64,2,4,7,M,4
65,1,5,4,M,7
65,2,4,0,M,4
66,1,7,4,M,7
66,2,7,4,M,4
67,1,2,9,M,7
67,2,7,7,M,4
68,1,9,8,M,7
68,2,0,0,M,4
69,1,1,4,M,7
69,2,1,7,M,4
70,1,3,3,H,6
70,2,5,4,H,3
71,1,4,7,M,6
71,2,1,2,H,2
72,1,6,1,M,6
72,2,7,9,M,2
73,1,0,7,M,6
73,2,6,1,M,2
74,1,0,1,M,6
74,2,1,8,M,2
75,1,5,9,M,6
75,2,3,5,M,2
76,1,8,2,M,6
76,2,8,3,M,2
77,1,0,0,M,6
77,2,2,5,M,2
78,1,3,9,M,6
78,2,6,6,M,2
79,1,8,6,H,5
79,2,6,4,M,2
80,1,3,0,M,5
80,2,2,3,M,2
81,1,3,2,H,4
81,2,2,0,M,2
82,1,0,5,M,4
82,2,7,3,M,2
83,1,7,1,M,4
83,2,3,3,M,2
84,1,5,1,M,4
84,2,3,7,M,2
85,1,8,7,H,3
85,2,2,7,M,2
86,1,2,6,M,3
86,2,5,0,M,2
87,1,5,5,H,2
87,2,5,6,M,2
88,1,0,3,M,2
88,2,7,2,H,1
89,1,9,1,M,2
89,2,5,2,M,1
90,1,3,7,M,2
90,2,1,3,H,0
91,1,9,4,M,2
91,2,9,0,M,0
92,1,0,6,M,2
92,2,4,8,M,0
93,1,1,8,M,2
93,2,5,8,M,0
94,1,4,8,H,1
94,2,0,3,M,0
95,1,2,5,M,1
95,2,4,5,M,0
96,1,4,3,H,0
96,2,1,0,M,0
