Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,3,6,M,17
1,2,7,1,M,17
2,1,0,6,M,17
2,2,5,4,M,17
3,1,4,3,M,17
3,2,1,4,M,17
4,1,8,2,M,17
4,2,2,8,M,17
5,1,9,2,M,17
5,2,1,6,M,17
6,1,3,7,M,17
6,2,9,4,M,17
7,1,7,6,M,17
7,2,3,8,M,17
8,1,1,1,H,16
8,2,0,0,M,17
9,1,5,5,M,16
9,2,0,2,M,17
10,1,3,5,M,16
10,2,3,1,M,17
11,1,1,8,M,16
11,2,7,4,H,16
12,1,7,9,M,16
12,2,4,0,M,16
13,1,6,1,M,16
13,2,1,0,M,16
14,1,9,6,H,15
14,2,1,3,M,16
15,1,4,2,M,15
15,2,0,6,H,15
16,1,6,4,M,15
16,2,0,8,H,14
17,1,4,7,M,15
17,2,9,2,M,14
18,1,7,1,M,15
18,2,7,6,H,13
19,1,1,4,M,15
19,2,0,1,M,13
20,1,4,8,M,15
20,2,7,3,H,12
21,1,8,4,M,15
21,2,4,2,M,12
22,1,1,2,M,15
22,2,0,7,H,11
23,1,4,6,M,15
23,2,4,9,M,11
24,1,8,3,H,14
24,2,6,4,M,11
25,1,6,2,M,14
25,2,8,7,M,11
26,1,7,8,M,14
26,2,8,0,M,11
27,1,3,8,M,14
27,2,3,2,M,11
28,1,0,7,M,14
28,2,6,9,M,11
29,1,0,2,M,14
29,2,9,1,M,11
30,1,5,7,M,14
30,2,9,8,M,11
31,1,4,0,M,14
31,2,2,3,M,11
32,1,2,0,M,14
32,2,5,5,M,11
33,1,9,1,M,14
33,2,0,3,M,11
34,1,8,9,M,14
34,2,7,7,M,11
35,1,2,5,H,13
35,2,2,4,H,10
36,1,6,6,M,13
36,2,5,0,M,10
37,1,0,9,M,13
37,2,5,1,M,10
38,1,1,9,M,13
38,2,3,5,M,10
39,1,3,4,M,13
39,2,1,1,M,10
40,1,0,4,M,13
40,2,5,9,M,10
41,1,0,0,M,13
41,2,0,9,H,9
42,1,5,0,M,13
42,2,2,5,M,9
43,1,6,9,H,12
43,2,0,5,H,8
44,1,2,1,M,12
44,2,4,4,H,7
45,1,7,2,M,12
45,2,3,3,M,7
46,1,4,1,M,12
46,2,1,2,M,7
47,1,8,5,M,12
47,2,2,7,M,7
48,1,6,3,H,11
48,2,6,1,M,7
49,1,6,7,H,10
49,2,4,5,H,6
50,1,7,5,M,10
50,2,8,2,M,6
51,1,7,7,M,10
51,2,5,8,M,6
52,1,0,3,M,10
52,2,0,4,M,6
53,1,9,5,H,9
53,2,9,5,M,6
54,1,5,1,M,9
54,2,5,6,M,6
55,1,5,3,M,9
55,2,8,5,M,6
56,1,9,4,H,8
56,2,2,0,M,6
57,1,2,7,M,8
57,2,2,2,M,6
58,1,2,2,M,8
58,2,1,7,M,6
59,1,2,8,M,8
59,2,4,3,M,6
60,1,4,5,M,8
60,2,6,3,M,6
61,1,7,0,M,8
61,2,2,1,M,6
62,1,8,6,M,8
62,2,1,8,M,6
63,1,8,7,M,8
63,2,6,8,M,6
64,1,2,3,M,8
64,2,4,1,M,6
65,1,8,8,M,8
65,2,3,4,H,5
66,1,5,2,M,8
66,2,8,4,M,5
67,1,3,2,M,8
67,2,9,3,M,5
68,1,7,4,M,8
68,2,7,8,M,5
69,1,0,1,M,8
69,2,9,9,M,5
70,1,4,9,M,8
70,2,5,7,M,5
71,1,5,8,M,8
71,2,7,0,M,5
72,1,4,4,M,8
72,2,3,9,M,5
73,1,6,8,H,7
73,2,9,0,M,5
74,1,3,1,M,7
74,2,6,0,M,5
75,1,0,5,H,6
75,2,2,6,M,5
76,1,5,9,M,6
76,2,3,6,M,5
77,1,7,3,H,5
77,2,2,9,M,5
78,1,2,9,M,5
78,2,8,1,M,5
79,1,1,3,M,5
79,2,6,7,M,5
80,1,1,6,M,5
80,2,8,9,M,5
81,1,1,7,M,5
81,2,3,7,M,5
82,1,0,8,M,5
82,2,4,6,H,4
83,1,2,6,M,5
83,2,4,8,H,3
84,1,8,1,M,5
84,2,3,0,M,3
85,1,5,4,M,5
85,2,1,5,M,3
86,1,3,3,M,5
86,2,9,7,M,3
87,1,9,9,M,5
87,2,1,9,M,3
88,1,9,8,H,4
88,2,6,6,M,3
89,1,8,0,M,4
89,2,9,6,M,3
90,1,3,9,M,4
90,2,4,7,H,2
91,1,9,7,H,3
91,2,8,6,M,2
92,1,6,0,M,3
92,2,7,9,M,2
93,1,9,0,M,3
93,2,7,5,H,1
94,1,3,0,M,3
94,2,6,5,M,1
95,1,1,5,H,2
95,2,8,8,M,1
96,1,2,4,M,2
96,2,5,2,M,1
97,1,6,5,M,2
97,2,6,2,M,1
98,1,1,0,H,1
98,2,5,3,M,1
99,1,5,6,M,1
99,2,7,2,H,0
100,1,9,3,H,0
100,2,8,3,M,0
