Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,6,2,M,17
1,2,1,7,M,17
2,1,1,2,M,17
2,2,3,6,M,17
3,1,1,5,M,17
3,2,5,3,M,17
4,1,1,0,M,17
4,2,9,0,M,17
5,1,3,5,M,17
5,2,4,2,H,16
6,1,8,1,M,17
6,2,7,6,M,16
7,1,9,3,M,17
7,2,0,2,M,16
8,1,8,2,M,17
8,2,2,4,M,16
9,1,7,9,M,17
9,2,2,3,M,16
10,1,1,8,H,16
10,2,2,7,H,15
11,1,0,8,H,15
11,2,1,6,M,15
12,1,5,2,M,15
12,2,8,0,M,15
13,1,7,3,M,15
13,2,6,1,M,15
14,1,9,2,M,15
14,2,4,7,H,14
15,1,6,7,M,15
15,2,4,3,M,14
16,1,9,1,M,15
16,2,6,7,M,14
17,1,6,9,M,15
17,2,5,4,M,14
18,1,9,0,M,15
18,2,2,8,M,14
19,1,4,6,M,15
19,2,8,5,M,14
20,1,7,8,M,15
20,2,3,3,M,14
21,1,0,6,M,15
21,2,3,7,H,13
22,1,5,4,H,14
22,2,8,7,M,13
23,1,4,8,H,13
23,2,6,0,H,12
24,1,7,7,M,13
24,2,6,8,M,12
25,1,3,8,H,12
25,2,5,8,M,12
26,1,0,0,M,12
26,2,6,6,M,12
27,1,1,9,M,12
27,2,6,9,H,11
28,1,6,6,M,12
28,2,7,1,M,11
29,1,4,0,M,12
29,2,8,1,M,11
30,1,2,3,H,11
30,2,6,3,M,11
31,1,9,8,M,11
31,2,4,4,M,11
32,1,6,4,M,11
32,2,0,4,M,11
33,1,0,4,M,11
33,2,3,5,M,11
34,1,9,9,M,11
34,2,3,4,M,11
35,1,5,9,M,11
35,2,2,1,M,11
36,1,8,8,M,11
36,2,2,9,M,11
37,1,5,3,M,11
37,2,8,6,M,11
38,1,5,7,H,10
38,2,3,2,H,10
39,1,7,2,M,10
39,2,9,8,M,10
40,1,5,0,M,10
40,2,8,9,M,10
41,1,2,8,H,9
41,2,4,6,M,10
42,1,5,6,H,8
42,2,4,9,M,10
43,1,3,0,M,8
43,2,1,2,M,10
44,1,7,4,M,8
44,2,2,0,M,10
45,1,3,4,M,8
45,2,5,9,H,9
46,1,8,7,M,8
46,2,3,8,M,9
47,1,2,0,M,8
47,2,5,0,H,8
48,1,5,1,M,8
48,2,7,8,M,8
49,1,6,1,M,8
49,2,6,2,H,7
50,1,2,5,M,8
50,2,1,5,M,7
51,1,1,7,M,8
51,2,7,3,M,7
52,1,4,3,M,8
52,2,0,6,M,7
53,1,8,6,M,8
53,2,1,9,M,7
54,1,6,5,M,8
54,2,0,5,M,7
55,1,8,5,M,8
55,2,5,5,M,7
56,1,3,9,M,8
56,2,0,7,M,7
57,1,1,3,M,8
57,2,9,6,M,7
58,1,4,4,M,8
58,2,1,3,M,7
59,1,1,4,M,8
59,2,3,1,M,7
60,1,4,1,M,8
60,2,9,3,H,6
61,1,2,2,M,8
61,2,4,8,M,6
62,1,5,8,M,8
62,2,1,4,M,6
63,1,7,0,H,7
63,2,5,7,M,6
64,1,1,6,M,7
64,2,2,6,M,6
65,1,2,6,M,7
65,2,8,4,M,6
66,1,6,8,M,7
66,2,8,3,M,6
67,1,3,7,M,7
67,2,6,4,M,6
68,1,0,3,M,7
68,2,8,8,M,6
69,1,4,7,M,7
69,2,4,1,M,6
70,1,6,3,M,7
70,2,2,5,M,6
71,1,2,1,M,7
71,2,9,4,M,6
72,1,7,1,M,7
72,2,0,0,M,6
73,1,0,7,M,7
73,2,9,1,H,5
74,1,9,6,H,6
74,2,9,2,H,4
75,1,0,1,M,6
75,2,7,7,M,4
76,1,8,0,H,5
76,2,0,1,M,4
77,1,2,9,M,5
77,2,2,2,M,4
78,1,5,5,H,4
78,2,9,5,M,4
79,1,0,2,M,4
79,2,1,8,M,4
80,1,3,1,M,4
80,2,5,6,M,4
81,1,3,6,M,4
81,2,9,9,M,4
82,1,4,2,M,4
82,2,7,0,M,4
83,1,0,9,M,4
83,2,1,1,M,4
84,1,1,1,M,4
84,2,7,2,H,3
85,1,9,4,H,3
85,2,0,3,M,3
86,1,2,4,M,3
86,2,3,9,M,3
87,1,3,3,H,2
87,2,0,9,M,3
88,1,7,6,M,2
88,2,8,2,M,3
89,1,6,0,H,1
89,2,6,5,M,3
90,1,9,7,M,1
90,2,3,0,H,2
91,1,9,5,H,0
91,2,4,0,H,1
92,1,2,7,M,0
92,2,1,0,M,1
93,1,4,9,M,0
93,2,7,5,M,1
94,1,8,9,M,0
94,2,0,8,M,1
95,1,3,2,M,0
95,2,4,5,M,1
96,1,8,4,M,0
96,2,5,1,M,1
97,1,7,5,M,0
97,2,5,2,H,0
