Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,6,1,M,17
1,2,5,7,M,17
2,1,3,6,M,17
2,2,5,3,M,17
3,1,1,4,H,16
3,2,7,9,M,17
4,1,7,1,M,16
4,2,1,0,M,17
5,1,3,5,M,16
5,2,2,8,M,17
6,1,4,6,H,15
6,2,3,2,M,17
7,1,6,9,M,15
7,2,0,6,M,17
8,1,5,6,M,15
8,2,1,3,M,17
9,1,1,5,M,15
9,2,8,8,M,17
10,1,7,6,M,15
10,2,3,4,M,17
11,1,8,2,M,15
11,2,9,1,M,17
12,1,1,3,M,15
12,2,8,0,M,17
13,1,6,8,H,14
13,2,8,9,M,17
14,1,7,7,M,14
14,2,4,4,M,17
15,1,4,7,H,13
15,2,0,1,H,16
16,1,1,7,M,13
16,2,9,3,H,15
17,1,6,2,M,13
17,2,7,7,M,15
18,1,2,3,M,13
18,2,2,5,H,14
19,1,8,3,M,13
19,2,1,1,M,14
20,1,9,4,H,12
20,2,2,0,M,14
21,1,7,4,M,12
21,2,6,1,M,14
22,1,1,2,M,12
22,2,5,2,M,14
23,1,4,9,M,12
23,2,7,6,M,14
24,1,9,8,M,12
24,2,6,3,M,14
25,1,7,0,M,12
25,2,7,0,M,14
26,1,5,2,M,12
26,2,5,6,M,14
27,1,0,4,H,11
27,2,0,8,M,14
28,1,4,2,M,11
28,2,4,5,H,13
29,1,0,1,M,11
29,2,9,8,M,13
30,1,6,0,M,11
30,2,0,9,M,13
31,1,1,9,M,11
31,2,7,3,M,13
32,1,7,2,M,11
32,2,9,9,M,13
33,1,4,1,M,11
33,2,8,2,M,13
34,1,1,0,M,11
34,2,2,7,M,13
35,1,8,9,M,11
35,2,1,6,M,13
36,1,2,6,M,11
36,2,3,0,M,13
37,1,8,8,M,11
37,2,3,7,M,13
38,1,6,6,H,10
38,2,4,8,M,13
39,1,9,0,M,10
39,2,1,7,M,13
40,1,2,0,M,10
40,2,6,7,M,13
41,1,7,8,M,10
41,2,2,4,H,12
42,1,9,5,H,9
42,2,6,8,M,12
43,1,9,6,H,8
43,2,3,3,M,12
44,1,1,6,M,8
44,2,4,7,M,12
45,1,0,0,M,8
45,2,9,4,H,11
46,1,4,4,M,8
46,2,5,0,M,11
47,1,0,7,M,8
47,2,0,5,M,11
48,1,2,9,M,8
48,2,4,6,M,11
49,1,6,4,M,8
49,2,6,5,H,10
50,1,4,0,M,8
50,2,6,0,M,10
51,1,1,8,M,8
51,2,0,7,M,10
52,1,6,7,H,7
52,2,9,7,M,10
53,1,0,6,M,7
53,2,8,4,M,10
54,1,5,4,H,6
54,2,3,6,M,10
55,1,0,2,M,6
55,2,1,5,M,10
56,1,8,6,M,6
56,2,5,9,M,10
57,1,2,8,M,6
57,2,5,5,H,9
58,1,9,1,M,6
58,2,2,3,H,8
59,1,5,0,M,6
59,2,8,6,M,8
60,1,2,2,M,6
60,2,0,3,M,8
61,1,3,3,M,6
61,2,7,5,H,7
62,1,9,2,H,5
62,2,3,9,H,6
63,1,3,7,M,5
63,2,4,3,M,6
64,1,2,7,M,5
64,2,8,3,M,6
65,1,8,1,M,5
65,2,5,4,M,6
66,1,5,3,H,4
66,2,4,0,M,6
67,1,4,8,H,3
67,2,4,9,M,6
68,1,3,4,M,3
68,2,7,4,M,6
69,1,5,7,M,3
69,2,7,8,M,6
70,1,5,5,M,3
70,2,5,1,M,6
71,1,6,5,M,3
71,2,6,6,M,6
72,1,2,1,M,3
72,2,0,2,H,5
73,1,5,9,M,3
73,2,1,2,M,5
74,1,9,3,H,2
74,2,3,5,M,5
75,1,3,2,M,2
75,2,3,1,M,5
76,1,2,4,H,1
76,2,9,6,M,5
77,1,5,8,M,1
77,2,1,8,M,5
78,1,4,5,H,0
78,2,8,7,M,5
79,1,0,8,M,0
79,2,0,4,M,5
80,1,8,7,M,0
80,2,3,8,M,5
81,1,5,1,M,0
81,2,6,4,M,5
82,1,3,8,M,0
82,2,7,2,M,5
83,1,1,1,M,0
83,2,2,1,M,5
84,1,9,7,M,0
84,2,4,2,M,5
85,1,3,0,M,0
85,2,9,2,M,5
86,1,0,5,M,0
86,2,5,8,M,5
87,1,8,0,M,0
87,2,2,9,H,4
88,1,8,4,M,0
88,2,1,9,H,3
89,1,4,3,M,0
89,2,4,1,M,3
90,1,7,9,M,0
90,2,2,2,M,3
91,1,7,5,M,0
91,2,8,5,H,2
92,1,9,9,M,0
92,2,9,5,M,2
93,1,2,5,M,0
93,2,6,9,M,2
94,1,0,9,M,0
94,2,2,6,H,1
95,1,6,3,M,0
95,2,1,4,M,1
96,1,8,5,M,0
96,2,8,1,M,1
97,1,3,9,M,0
97,2,0,0,H,0
