Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,4,1,M,17
1,2,0,7,M,17
2,1,7,6,M,17
2,2,0,8,M,17
3,1,5,6,M,17
3,2,3,7,M,17
4,1,8,1,M,17
4,2,5,2,M,17
5,1,0,5,M,17
5,2,1,8,M,17
6,1,3,9,M,17
6,2,5,0,H,16
7,1,7,7,M,17
7,2,3,3,M,16
8,1,2,8,M,17
8,2,7,0,H,15
9,1,2,7,M,17
9,2,0,1,M,15
10,1,8,0,M,17
10,2,8,7,M,15
11,1,0,9,M,17
11,2,1,0,M,15
12,1,6,3,H,16
12,2,4,4,M,15
13,1,6,0,M,16
13,2,8,8,M,15
14,1,7,3,H,15
14,2,1,4,M,15
15,1,3,7,M,15
15,2,8,6,M,15
16,1,4,9,M,15
16,2,5,8,M,15
17,1,5,8,M,15
17,2,8,1,M,15
18,1,9,4,M,15
18,2,6,5,M,15
19,1,4,6,M,15
19,2,4,6,M,15
20,1,3,6,M,15
20,2,2,4,M,15
21,1,1,0,M,15
21,2,8,4,M,15
22,1,5,0,M,15
22,2,2,9,H,14
23,1,7,1,M,15
23,2,5,4,M,14
24,1,1,2,H,14
24,2,7,4,M,14
25,1,6,1,M,14
25,2,8,0,H,13
26,1,1,4,H,13
26,2,1,1,M,13
27,1,3,3,M,13
27,2,0,6,M,13
28,1,6,7,H,12
28,2,5,9,M,13
29,1,7,8,M,12
29,2,0,0,M,13
30,1,1,5,M,12
30,2,0,3,M,13
31,1,9,6,M,12
31,2,1,6,M,13
32,1,8,6,M,12
32,2,0,9,M,13
33,1,3,0,M,12
33,2,7,3,M,13
34,1,2,4,H,11
34,2,5,7,M,13
35,1,7,9,M,11
35,2,8,5,M,13
36,1,6,4,M,11
36,2,7,5,M,13
37,1,5,7,M,11
37,2,6,6,M,13
38,1,1,9,M,11
38,2,9,9,M,13
39,1,3,1,M,11
39,2,7,8,H,12
40,1,8,3,H,10
40,2,1,9,H,11
41,1,2,5,M,10
41,2,5,3,M,11
42,1,9,3,M,10
42,2,9,2,M,11
43,1,0,7,M,10
43,2,7,1,M,11
44,1,9,8,M,10
44,2,4,9,H,10
45,1,4,7,M,10
45,2,7,6,H,9
46,1,6,5,H,9
46,2,8,3,M,9
47,1,1,3,H,8
47,2,8,2,M,9
48,1,4,4,M,8
48,2,4,2,M,9
49,1,6,2,M,8
49,2,6,9,M,9
50,1,9,7,M,8
50,2,9,7,M,9
51,1,1,8,M,8
51,2,3,9,H,8
52,1,7,5,M,8
52,2,1,2,M,8
53,1,1,1,H,7
53,2,6,0,H,7
54,1,6,8,M,7
54,2,2,7,M,7
55,1,9,5,M,7
55,2,3,2,M,7
56,1,0,1,M,7
56,2,4,8,H,6
57,1,0,0,M,7
57,2,4,7,M,6
58,1,2,9,M,7
58,2,2,0,M,6
59,1,5,2,M,7
59,2,3,1,M,6
60,1,3,4,M,7
60,2,9,5,M,6
61,1,3,5,M,7
61,2,2,3,M,6
62,1,9,9,M,7
62,2,6,7,M,6
63,1,8,9,M,7
63,2,9,6,M,6
64,1,4,5,M,7
64,2,6,3,M,6
65,1,8,8,M,7
65,2,6,1,H,5
66,1,9,1,M,7
66,2,2,6,M,5
67,1,7,2,M,7
67,2,2,5,M,5
68,1,0,3,H,6
68,2,1,5,M,5
69,1,8,5,M,6
69,2,7,2,M,5
70,1,0,8,M,6
70,2,9,4,M,5
71,1,5,3,H,5
71,2,7,7,H,4
72,1,5,4,M,5
72,2,0,2,M,4
73,1,6,9,M,5
73,2,4,1,H,3
74,1,6,6,H,4
74,2,5,6,M,3
75,1,9,2,M,4
75,2,4,5,M,3
76,1,8,7,M,4
76,2,3,8,H,2
77,1,9,0,M,4
77,2,2,8,M,2
78,1,0,4,H,3
78,2,3,6,M,2
79,1,2,2,M,3
79,2,3,5,M,2
80,1,2,0,M,3
80,2,0,4,M,2
81,1,1,6,M,3
81,2,4,0,M,2
82,1,8,2,M,3
82,2,9,8,M,2
83,1,2,1,M,3
83,2,8,9,M,2
84,1,0,6,M,3
84,2,9,0,H,1
85,1,7,0,M,3
85,2,6,8,M,1
86,1,4,8,M,3
86,2,5,5,M,1
87,1,2,3,H,2
87,2,5,1,H,0
88,1,4,0,M,2
88,2,9,3,M,0
89,1,4,3,H,1
89,2,1,7,M,0
90,1,5,5,M,1
90,2,9,1,M,0
91,1,1,7,M,1
91,2,7,9,M,0
92,1,7,4,M,1
92,2,3,0,M,0
93,1,4,2,M,1
93,2,2,1,M,0
94,1,5,9,M,1
94,2,4,3,M,0
95,1,0,2,H,0
95,2,6,2,M,0
