Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,6,8,M,17
1,2,2,3,H,16
2,1,0,8,M,17
2,2,6,9,M,16
3,1,0,3,M,17
3,2,6,2,M,16
4,1,6,0,M,17
4,2,3,7,M,16
5,1,7,6,M,17
5,2,6,8,M,16
6,1,5,1,H,16
6,2,2,5,M,16
7,1,5,0,M,16
7,2,2,7,M,16
8,1,7,1,H,15
8,2,7,8,M,16
9,1,9,3,H,14
9,2,7,0,M,16
10,1,5,5,M,14
10,2,5,5,M,16
11,1,6,1,H,13
11,2,0,9,M,16
12,1,3,2,M,13
12,2,4,7,M,16
13,1,2,9,M,13
13,2,2,9,M,16
14,1,7,4,M,13
14,2,9,4,M,16
15,1,1,5,M,13
15,2,6,4,M,16
16,1,1,0,M,13
16,2,7,7,M,16
17,1,1,6,M,13
17,2,6,5,M,16
18,1,2,2,M,13
18,2,5,8,H,15
19,1,7,3,H,12
19,2,9,6,M,15
20,1,4,7,M,12
20,2,4,0,M,15
21,1,5,9,M,12
21,2,0,0,M,15
22,1,7,2,M,12
22,2,8,0,M,15
23,1,0,0,M,12
23,2,2,2,M,15
24,1,4,3,M,12
24,2,5,0,M,15
25,1,8,1,H,11
25,2,8,8,M,15
26,1,8,3,H,10
26,2,3,2,M,15
27,1,8,0,M,10
27,2,0,5,M,15
28,1,2,4,H,9
28,2,7,9,M,15
29,1,3,7,M,9
29,2,1,1,M,15
30,1,1,1,M,9
30,2,9,9,M,15
31,1,1,4,M,9
31,2,4,2,M,15
32,1,8,8,M,9
32,2,1,9,M,15
33,1,2,0,M,9
33,2,8,6,M,15
34,1,7,0,M,9
34,2,7,4,H,14
35,1,5,4,M,9
35,2,3,6,M,14
36,1,3,4,H,8
36,2,5,7,M,14
37,1,8,4,M,8
37,2,7,3,M,14
38,1,3,1,M,8
38,2,6,6,M,14
39,1,6,2,M,8
39,2,2,4,M,14
40,1,7,5,M,8
40,2,0,4,M,14
41,1,7,9,M,8
41,2,4,5,M,14
42,1,9,8,M,8
42,2,9,5,M,14
43,1,0,9,M,8
43,2,9,0,M,14
44,1,3,9,M,8
44,2,3,5,M,14
45,1,4,2,M,8
45,2,3,9,M,14
46,1,9,9,M,8
46,2,5,1,M,14
47,1,4,8,M,8
47,2,3,3,H,13
48,1,5,3,H,7
48,2,4,4,M,13
49,1,4,1,H,6
49,2,0,2,M,13
50,1,2,5,M,6
50,2,1,8,H,12
51,1,5,7,M,6
51,2,2,0,M,12
52,1,4,0,M,6
52,2,8,7,M,12
53,1,1,7,M,6
53,2,4,9,M,12
54,1,2,3,M,6
54,2,5,6,M,12
55,1,2,6,M,6
55,2,6,0,M,12
56,1,6,4,M,6
56,2,3,1,M,12
57,1,1,3,M,6
57,2,6,1,M,12
58,1,4,9,M,6
58,2,3,0,M,12
59,1,0,1,M,6
59,2,5,2,M,12
60,1,1,2,M,6
60,2,8,5,M,12
61,1,5,8,M,6
61,2,8,4,H,11
62,1,5,2,H,5
62,2,6,3,M,11
63,1,0,6,M,5
63,2,1,7,M,11
64,1,8,2,M,5
64,2,1,5,M,11
65,1,4,5,M,5
65,2,9,1,M,11
66,1,0,2,M,5
66,2,0,6,H,10
67,1,3,8,M,5
67,2,2,8,H,9
68,1,0,4,M,5
68,2,4,1,M,9
69,1,9,7,H,4
69,2,8,1,H,8
70,1,1,9,M,4
70,2,9,3,M,8
71,1,6,5,M,4
71,2,6,7,M,8
72,1,6,9,M,4
72,2,8,3,H,7
73,1,6,6,M,4
73,2,9,8,M,7
74,1,0,5,M,4
74,2,2,6,M,7
75,1,9,4,M,4
75,2,3,8,H,6
76,1,4,6,M,4
76,2,1,2,M,6
77,1,8,9,M,4
77,2,7,5,M,6
78,1,3,6,M,4
78,2,0,3,H,5
79,1,6,3,H,3
79,2,3,4,M,5
80,1,9,2,M,3
80,2,4,8,H,4
81,1,3,0,M,3
81,2,4,3,M,4
82,1,3,3,M,3
82,2,0,7,H,3
83,1,7,8,M,3
83,2,8,9,M,3
84,1,3,5,M,3
84,2,1,6,M,3
85,1,8,7,M,3
85,2,5,3,M,3
86,1,5,6,M,3
86,2,5,9,M,3
87,1,2,7,M,3
87,2,9,7,M,3
88,1,2,1,M,3
88,2,1,3,H,2
89,1,4,4,H,2
89,2,0,8,H,1
90,1,8,6,M,2
90,2,5,4,M,1
91,1,9,6,H,1
91,2,1,4,M,1
92,1,9,0,M,1
92,2,1,0,M,1
93,1,1,8,M,1
93,2,0,1,M,1
94,1,6,7,M,1
94,2,8,2,H,0
95,1,0,7,M,1
95,2,7,2,M,0
96,1,7,7,M,1
96,2,7,1,M,0
97,1,2,8,M,1
97,2,4,6,M,0
98,1,8,5,M,1
98,2,9,2,M,0
99,1,9,5,H,0
99,2,2,1,M,0
