Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,7,7,M,17
1,2,5,4,M,17
2,1,1,0,M,17
2,2,0,4,H,16
3,1,2,9,M,17
3,2,6,4,M,16
4,1,4,9,M,17
4,2,4,9,M,16
5,1,3,5,M,17
5,2,3,0,M,16
6,1,7,4,M,17
6,2,3,6,M,16
7,1,4,8,M,17
7,2,7,8,H,15
8,1,1,5,M,17
8,2,0,9,M,15
9,1,9,2,M,17
9,2,2,6,M,15
10,1,0,5,M,17
10,2,7,9,M,15
11,1,5,5,H,16
11,2,7,3,M,15
12,1,7,5,M,16
12,2,2,4,M,15
13,1,0,4,M,16
13,2,1,8,M,15
14,1,1,7,M,16
14,2,3,2,M,15
15,1,3,9,M,16
15,2,0,1,M,15
16,1,3,3,M,16
16,2,6,5,M,15
17,1,8,2,M,16
17,2,0,0,M,15
18,1,1,1,M,16
18,2,6,7,H,14
19,1,4,0,M,16
19,2,8,8,M,14
20,1,5,2,H,15
20,2,9,7,M,14
21,1,8,8,M,15
21,2,9,5,M,14
22,1,9,7,H,14
22,2,3,3,M,14
23,1,8,7,M,14
23,2,9,3,M,14
24,1,2,6,H,13
24,2,5,3,M,14
25,1,8,9,M,13
25,2,1,1,M,14
26,1,8,3,M,13
26,2,9,9,M,14
27,1,5,0,M,13
27,2,6,1,M,14
28,1,2,5,H,12
28,2,5,1,M,14
29,1,7,3,M,12
29,2,5,7,H,13
30,1,2,0,M,12
30,2,4,1,M,13
31,1,9,9,H,11
31,2,5,6,M,13
32,1,5,1,H,10
32,2,8,2,M,13
33,1,0,0,M,10
33,2,7,6,H,12
34,1,4,7,H,9
34,2,0,6,M,12
35,1,3,6,M,9
35,2,1,7,M,12
36,1,3,2,M,9
36,2,8,4,M,12
37,1,8,1,M,9
37,2,4,2,M,12
38,1,3,8,M,9
38,2,7,5,H,11
39,1,0,9,M,9
39,2,3,1,M,11
40,1,9,6,M,9
40,2,4,5,M,11
41,1,2,7,H,8
41,2,5,0,M,11
42,1,8,4,M,8
42,2,4,6,M,11
43,1,7,8,M,8
43,2,9,1,H,10
44,1,8,5,M,8
44,2,2,8,M,10
45,1,1,8,M,8
45,2,3,5,M,10
46,1,5,6,M,8
46,2,0,8,M,10
47,1,9,1,M,8
47,2,5,9,M,10
48,1,2,4,M,8
48,2,4,7,H,9
49,1,7,0,M,8
49,2,9,6,M,9
50,1,5,9,M,8
50,2,2,1,H,8
51,1,2,8,M,8
51,2,0,5,M,8
52,1,0,1,M,8
52,2,6,2,M,8
53,1,8,0,M,8
53,2,9,4,M,8
54,1,1,3,H,7
54,2,1,6,M,8
55,1,2,2,M,7
55,2,1,5,M,8
56,1,0,2,M,7
56,2,1,4,M,8
57,1,0,3,M,7
57,2,4,8,M,8
58,1,6,1,M,7
58,2,3,4,M,8
59,1,9,3,M,7
59,2,8,7,M,8
60,1,6,3,M,7
60,2,1,2,M,8
61,1,3,1,M,7
61,2,8,0,M,8
62,1,7,6,M,7
62,2,9,8,M,8
63,1,4,3,M,7
63,2,5,2,M,8
64,1,5,4,H,6
64,2,2,0,M,8
65,1,6,2,M,6
65,2,5,5,M,8
66,1,0,7,M,6
66,2,4,4,M,8
67,1,5,8,M,6
67,2,7,4,M,8
68,1,4,5,M,6
68,2,6,3,M,8
69,1,9,0,M,6
69,2,5,8,M,8
70,1,5,7,H,5
70,2,2,9,M,8
71,1,1,9,M,5
71,2,1,9,M,8
72,1,3,4,M,5
72,2,2,7,H,7
73,1,4,2,M,5
73,2,6,6,M,7
74,1,6,7,H,4
74,2,3,9,M,7
75,1,3,7,H,3
75,2,4,0,M,7
76,1,7,9,M,3
76,2,8,5,M,7
77,1,0,6,M,3
77,2,2,3,M,7
78,1,5,3,H,2
78,2,0,7,M,7
79,1,6,9,M,2
79,2,1,3,M,7
80,1,1,6,M,2
80,2,4,3,M,7
81,1,6,0,M,2
81,2,6,8,M,7
82,1,1,4,M,2
82,2,7,2,M,7
83,1,2,3,H,1
83,2,0,2,H,6
84,1,4,4,M,1
84,2,2,5,M,6
85,1,1,2,M,1
85,2,9,2,H,5
86,1,6,8,M,1
86,2,8,9,M,5
87,1,9,8,H,0
87,2,7,7,H,4
88,1,6,6,M,0
88,2,8,1,M,4
89,1,9,5,M,0
89,2,8,3,M,4
90,1,9,4,M,0
90,2,7,1,M,4
91,1,2,1,M,0
91,2,8,6,M,4
92,1,6,5,M,0
92,2,3,7,H,3
93,1,4,6,M,0
93,2,2,2,H,2
94,1,8,6,M,0
94,2,6,0,M,2
95,1,3,0,M,0
95,2,1,0,M,2
96,1,0,8,M,0
96,2,6,9,M,2
97,1,7,1,M,0
97,2,3,8,M,2
98,1,6,4,M,0
98,2,0,3,H,1
99,1,7,2,M,0
99,2,7,0,M,1
100,1,4,1,M,0
100,2,9,0,H,0
