Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,4,5,M,17
1,2,9,3,H,16
2,1,2,8,H,16
2,2,6,0,M,16
3,1,7,1,M,16
3,2,4,3,H,15
4,1,5,6,M,16
4,2,5,0,M,15
5,1,7,9,M,16
5,2,2,2,M,15
6,1,6,7,M,16
6,2,2,7,M,15
7,1,9,3,M,16
7,2,0,8,M,15
8,1,3,4,M,16
8,2,3,2,M,15
9,1,3,2,M,16
9,2,8,3,H,14
10,1,2,7,H,15
10,2,2,4,M,14
11,1,8,3,M,15
11,2,7,9,M,14
12,1,3,1,M,15
12,2,1,6,M,14
13,1,4,8,H,14
13,2,9,7,M,14
14,1,4,6,M,14
14,2,1,5,M,14
15,1,4,3,M,14
15,2,3,7,M,14
16,1,2,3,M,14
16,2,8,5,M,14
17,1,7,8,H,13
17,2,3,1,H,13
18,1,4,7,M,13
18,2,5,1,H,12
19,1,9,9,M,13
19,2,6,8,M,12
20,1,3,8,H,12
20,2,2,5,M,12
21,1,7,5,M,12
21,2,4,8,H,11
22,1,1,1,M,12
22,2,4,6,M,11
23,1,1,4,H,11
23,2,8,8,M,11
24,1,6,5,M,11
24,2,9,6,M,11
25,1,4,4,M,11
25,2,1,3,M,11
26,1,6,4,H,10
26,2,8,0,M,11
27,1,9,2,M,10
27,2,5,3,M,11
28,1,1,6,M,10
28,2,9,5,M,11
29,1,6,2,M,10
29,2,8,7,M,11
30,1,2,1,M,10
30,2,7,6,M,11
31,1,1,7,M,10
31,2,6,4,M,11
32,1,7,4,H,9
32,2,5,6,M,11
33,1,8,0,M,9
33,2,0,3,M,11
34,1,7,7,M,9
34,2,3,3,H,10
35,1,4,9,M,9
35,2,1,7,M,10
36,1,3,9,M,9
36,2,6,2,M,10
37,1,5,4,M,9
37,2,6,5,H,9
38,1,3,3,M,9
38,2,9,9,M,9
39,1,0,2,M,9
39,2,6,9,M,9
40,1,1,9,M,9
40,2,0,0,M,9
41,1,7,6,M,9
41,2,6,3,H,8
42,1,9,6,M,9
42,2,6,6,M,8
43,1,2,9,H,8
43,2,4,5,M,8
44,1,0,6,M,8
44,2,5,4,M,8
45,1,0,0,M,8
45,2,7,0,M,8
46,1,6,1,M,8
46,2,1,8,M,8
47,1,3,5,M,8
47,2,1,0,M,8
48,1,5,1,M,8
48,2,9,1,M,8
49,1,8,4,M,8
49,2,3,6,M,8
50,1,2,6,M,8
50,2,4,7,M,8
51,1,8,1,M,8
51,2,4,0,M,8
52,1,0,3,M,8
52,2,3,5,M,8
53,1,5,2,M,8
53,2,3,8,H,7
54,1,0,5,M,8
54,2,6,1,H,6
55,1,4,1,M,8
55,2,7,8,M,6
56,1,4,2,M,8
56,2,1,4,M,6
57,1,6,9,M,8
57,2,8,9,M,6
58,1,8,8,H,7
58,2,3,0,M,6
59,1,5,3,M,7
59,2,0,7,M,6
60,1,6,8,H,6
60,2,1,2,M,6
61,1,3,0,M,6
61,2,5,7,M,6
62,1,2,2,M,6
62,2,8,6,M,6
63,1,1,8,M,6
63,2,2,8,M,6
64,1,0,8,M,6
64,2,2,6,M,6
65,1,9,5,M,6
65,2,7,2,M,6
66,1,2,0,M,6
66,2,2,3,H,5
67,1,9,4,M,6
67,2,0,4,M,5
68,1,4,0,M,6
68,2,9,2,M,5
69,1,5,8,H,5
69,2,5,9,M,5
70,1,6,0,M,5
70,2,5,2,M,5
71,1,1,0,M,5
71,2,3,4,M,5
72,1,5,7,M,5
72,2,2,1,H,4
73,1,9,7,M,5
73,2,4,2,M,4
74,1,0,1,M,5
74,2,0,2,M,4
75,1,9,0,M,5
75,2,1,9,M,4
76,1,5,0,M,5
76,2,9,8,M,4
77,1,8,5,M,5
77,2,9,4,M,4
78,1,9,1,M,5
78,2,0,5,M,4
79,1,1,5,M,5
79,2,7,3,H,3
80,1,3,6,M,5
80,2,0,1,M,3
81,1,1,2,M,5
81,2,8,4,M,3
82,1,0,7,M,5
82,2,8,1,M,3
83,1,7,3,M,5
83,2,5,8,H,2
84,1,3,7,M,5
84,2,0,9,M,2
85,1,8,6,H,4
85,2,2,9,M,2
86,1,5,9,M,4
86,2,7,5,H,1
87,1,8,9,H,3
87,2,9,0,M,1
88,1,1,3,M,3
88,2,7,1,M,1
89,1,0,4,H,2
89,2,7,4,M,1
90,1,6,6,M,2
90,2,4,4,M,1
91,1,6,3,M,2
91,2,5,5,M,1
92,1,5,5,M,2
92,2,4,1,H,0
93,1,7,2,M,2
93,2,4,9,M,0
94,1,2,5,M,2
94,2,2,0,M,0
95,1,2,4,H,1
95,2,6,7,M,0
96,1,9,8,M,1
96,2,0,6,M,0
97,1,8,7,H,0
97,2,7,7,M,0
