Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,3,0,M,17
1,2,5,2,M,17
2,1,6,4,M,17
2,2,7,8,M,17
3,1,2,8,M,17
3,2,9,5,H,16
4,1,2,9,M,17
4,2,2,8,M,16
5,1,8,0,M,17
5,2,1,5,H,15
6,1,8,6,M,17
6,2,6,0,M,15
7,1,1,7,M,17
7,2,4,7,M,15
8,1,7,2,M,17
8,2,7,6,H,14
9,1,6,8,M,17
9,2,2,6,M,14
10,1,7,1,M,17
10,2,6,8,M,14
11,1,0,7,M,17
11,2,5,5,M,14
12,1,1,0,M,17
12,2,1,0,M,14
13,1,8,4,M,17
13,2,3,8,M,14
14,1,7,8,M,17
14,2,3,5,M,14
15,1,2,1,H,16
15,2,5,7,M,14
16,1,2,4,M,16
16,2,6,4,M,14
17,1,6,3,M,16
17,2,2,1,M,14
18,1,5,8,M,16
18,2,6,9,M,14
19,1,6,1,M,16
19,2,6,3,M,14
20,1,9,4,M,16
20,2,6,6,H,13
21,1,0,0,M,16
21,2,7,2,M,13
22,1,8,8,M,16
22,2,8,7,M,13
23,1,5,2,M,16
23,2,9,0,M,13
24,1,1,8,M,16
24,2,8,5,M,13
25,1,3,5,M,16
25,2,9,6,H,12
26,1,5,1,H,15
26,2,3,2,M,12
27,1,9,3,M,15
27,2,8,0,M,12
28,1,9,8,M,15
28,2,6,1,M,12
29,1,1,9,M,15
29,2,5,6,H,11
30,1,2,3,M,15
30,2,2,0,M,11
31,1,0,5,M,15
31,2,5,4,M,11
32,1,0,4,M,15
32,2,0,7,M,11
33,1,1,3,H,14
33,2,4,9,M,11
34,1,3,2,H,13
34,2,9,9,H,10
35,1,2,7,M,13
35,2,2,2,M,10
36,1,8,7,M,13
36,2,3,0,M,10
37,1,7,3,M,13
37,2,1,4,H,9
38,1,6,9,M,13
38,2,8,9,M,9
39,1,6,0,H,12
39,2,2,4,M,9
40,1,2,5,M,12
40,2,4,5,M,9
41,1,7,7,M,12
41,2,1,9,M,9
42,1,4,6,M,12
42,2,6,7,M,9
43,1,1,5,M,12
43,2,2,9,M,9
44,1,3,4,M,12
44,2,7,1,M,9
45,1,8,9,M,12
45,2,5,1,M,9
46,1,4,4,M,12
46,2,4,8,M,9
47,1,2,6,M,12
47,2,4,4,M,9
48,1,0,1,M,12
48,2,6,2,M,9
49,1,9,5,M,12
49,2,7,5,M,9
50,1,6,6,M,12
50,2,5,0,M,9
51,1,5,7,H,11
51,2,0,8,M,9
52,1,1,1,M,11
52,2,8,3,M,9
53,1,6,2,M,11
53,2,4,3,M,9
54,1,9,0,M,11
54,2,0,1,M,9
55,1,9,1,M,11
55,2,9,4,M,9
56,1,9,2,M,11
56,2,0,9,M,9
57,1,4,0,M,11
57,2,9,7,H,8
58,1,9,6,M,11
58,2,1,8,M,8
59,1,7,5,M,11
59,2,8,6,H,7
60,1,8,5,M,11
60,2,9,3,M,7
61,1,3,3,M,11
61,2,8,1,H,6
62,1,8,1,M,11
62,2,1,3,H,5
63,1,0,2,M,11
63,2,7,0,M,5
64,1,3,1,H,10
64,2,0,6,M,5
65,1,2,0,M,10
65,2,1,2,M,5
66,1,7,0,H,9
66,2,9,2,M,5
67,1,4,1,H,8
67,2,2,3,H,4
68,1,8,3,M,8
68,2,3,7,M,4
69,1,5,0,H,7
69,2,9,1,H,3
70,1,3,7,M,7
70,2,8,8,M,3
71,1,9,9,M,7
71,2,0,5,M,3
72,1,7,4,M,7
72,2,3,3,M,3
73,1,1,6,M,7
73,2,0,2,M,3
74,1,3,8,M,7
74,2,4,6,M,3
75,1,0,6,M,7
75,2,6,5,M,3
76,1,1,4,M,7
76,2,5,9,M,3
77,1,4,9,M,7
77,2,5,3,M,3
78,1,4,5,M,7
78,2,7,3,M,3
79,1,7,9,M,7
79,2,4,1,M,3
80,1,4,7,M,7
80,2,7,4,M,3
81,1,0,9,M,7
81,2,7,9,M,3
82,1,5,5,H,6
82,2,7,7,M,3
83,1,0,3,M,6
83,2,1,6,H,2
84,1,1,2,H,5
84,2,3,9,M,2
85,1,0,8,M,5
85,2,0,3,H,1
86,1,5,9,M,5
86,2,3,6,M,1
87,1,3,9,M,5
87,2,2,5,M,1
88,1,6,7,M,5
88,2,1,1,M,1
89,1,6,5,M,5
89,2,5,8,M,1
90,1,2,2,H,4
90,2,0,0,M,1
91,1,5,4,H,3
91,2,4,2,M,1
92,1,5,6,H,2
92,2,4,0,M,1
93,1,4,3,M,2
93,2,1,7,M,1
94,1,4,8,M,2
94,2,0,4,M,1
95,1,7,6,M,2
95,2,2,7,M,1
96,1,9,7,M,2
96,2,8,4,M,1
97,1,3,6,M,2
97,2,3,4,M,1
98,1,8,2,M,2
98,2,3,1,M,1
99,1,4,2,H,1
99,2,9,8,H,0
100,1,5,3,H,0
100,2,8,2,M,0
