Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,2,0,M,17
1,2,3,3,M,17
2,1,6,6,M,17
2,2,1,4,M,17
3,1,3,2,M,17
3,2,2,6,H,16
4,1,1,2,M,17
4,2,4,8,M,16
5,1,3,1,M,17
5,2,9,2,M,16
6,1,7,2,M,17
6,2,0,1,M,16
7,1,7,6,H,16
7,2,8,1,H,15
8,1,5,4,M,16
8,2,2,1,M,15
9,1,0,3,M,16
9,2,4,0,M,15
10,1,2,4,M,16
10,2,4,7,M,15
11,1,5,3,M,16
11,2,9,7,M,15
12,1,8,0,M,16
12,2,7,7,M,15
13,1,9,5,M,16
13,2,8,7,M,15
14,1,8,4,H,15
14,2,2,5,M,15
15,1,4,4,M,15
15,2,6,0,M,15
16,1,3,8,H,14
16,2,9,9,M,15
17,1,9,7,M,14
17,2,3,1,M,15
18,1,7,8,H,13
18,2,2,2,M,15
19,1,9,1,M,13
19,2,9,4,M,15
20,1,9,9,M,13
20,2,3,4,M,15
21,1,5,2,M,13
21,2,3,6,H,14
22,1,2,1,M,13
22,2,5,2,M,14
23,1,9,8,M,13
23,2,1,3,M,14
24,1,8,2,H,12
24,2,2,3,M,14
25,1,2,2,M,12
25,2,4,9,M,14
26,1,3,4,H,11
26,2,5,6,H,13
27,1,5,6,M,11
27,2,1,2,M,13
28,1,3,3,H,10
28,2,8,2,H,12
29,1,6,8,M,10
29,2,7,6,M,12
30,1,2,8,H,9
30,2,6,7,M,12
31,1,0,4,M,9
31,2,3,2,M,12
32,1,9,0,M,9
32,2,2,4,M,12
33,1,2,6,M,9
33,2,8,6,M,12
34,1,6,9,M,9
34,2,7,9,M,12
35,1,3,7,H,8
35,2,0,2,M,12
36,1,9,6,M,8
36,2,5,8,H,11
37,1,3,6,H,7
37,2,1,0,M,11
38,1,8,3,H,6
38,2,6,8,H,10
39,1,7,3,M,6
39,2,9,6,M,10
40,1,9,3,M,6
40,2,3,0,M,10
41,1,0,1,M,6
41,2,8,8,H,9
42,1,5,5,M,6
42,2,1,6,M,9
43,1,4,3,M,6
43,2,9,0,M,9
44,1,9,2,M,6
44,2,0,3,M,9
45,1,7,7,H,5
45,2,8,9,M,9
46,1,8,6,M,5
46,2,1,8,M,9
47,1,8,1,M,5
47,2,4,5,M,9
48,1,8,7,M,5
48,2,6,2,M,9
49,1,8,9,M,5
49,2,6,5,M,9
50,1,4,1,M,5
50,2,5,3,M,9
51,1,4,7,M,5
51,2,8,0,M,9
52,1,1,4,M,5
52,2,7,4,M,9
53,1,2,7,M,5
53,2,7,1,H,8
54,1,9,4,M,5
54,2,1,5,M,8
55,1,4,5,M,5
55,2,9,8,H,7
56,1,4,8,M,5
56,2,3,9,H,6
57,1,6,7,M,5
57,2,6,6,M,6
58,1,6,4,M,5
58,2,8,4,M,6
59,1,0,7,M,5
59,2,0,5,M,6
60,1,5,8,M,5
60,2,1,1,M,6
61,1,2,3,M,5
61,2,3,5,M,6
62,1,1,0,M,5
62,2,6,9,M,6
63,1,0,6,M,5
63,2,3,7,H,5
64,1,4,2,M,5
64,2,2,7,M,5
65,1,1,9,M,5
65,2,7,0,M,5
66,1,1,8,H,4
66,2,4,6,H,4
67,1,7,5,H,3
67,2,7,8,H,3
68,1,3,0,M,3
68,2,0,0,M,3
69,1,1,5,M,3
69,2,7,5,M,3
70,1,0,9,M,3
70,2,2,8,M,3
71,1,0,8,M,3
71,2,1,7,M,3
72,1,5,1,M,3
72,2,7,3,H,2
73,1,7,9,M,3
73,2,9,1,M,2
74,1,0,0,M,3
74,2,0,6,M,2
75,1,5,0,M,3
75,2,0,8,M,2
76,1,1,3,M,3
76,2,7,2,H,1
77,1,1,6,M,3
77,2,2,0,M,1
78,1,6,5,M,3
78,2,5,7,M,1
79,1,3,5,H,2
79,2,8,5,M,1
80,1,8,5,H,1
80,2,9,5,M,1
81,1,4,9,M,1
81,2,5,4,M,1
82,1,1,7,M,1
82,2,5,0,M,1
83,1,1,1,M,1
83,2,4,1,M,1
84,1,6,3,M,1
84,2,5,5,M,1
85,1,2,5,M,1
85,2,4,3,M,1
86,1,0,2,M,1
86,2,8,3,M,1
87,1,7,1,M,1
87,2,4,4,M,1
88,1,8,8,M,1
88,2,0,9,M,1
89,1,3,9,M,1
89,2,4,2,M,1
90,1,4,6,M,1
90,2,5,9,M,1
91,1,7,0,M,1
91,2,9,3,M,1
92,1,6,0,M,1
92,2,1,9,M,1
93,1,5,9,M,1
93,2,3,8,H,0
94,1,7,4,H,0
94,2,6,4,M,0
