Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,0,7,M,17
1,2,0,5,M,17
2,1,3,5,M,17
2,2,5,1,M,17
3,1,1,8,M,17
3,2,6,6,M,17
4,1,2,4,M,17
4,2,4,7,M,17
5,1,9,8,M,17
5,2,3,6,M,17
6,1,5,0,M,17
6,2,8,1,M,17
7,1,3,0,M,17
7,2,1,0,M,17
8,1,7,4,H,16
8,2,6,2,M,17
9,1,2,6,M,16
9,2,0,9,M,17
10,1,8,0,M,16
10,2,3,1,M,17
11,1,1,2,M,16
11,2,2,0,M,17
12,1,0,4,M,16
12,2,2,4,H,16
13,1,7,5,M,16
13,2,5,5,M,16
14,1,8,5,M,16
14,2,7,4,M,16
15,1,4,3,M,16
15,2,7,6,M,16
16,1,1,5,M,16
16,2,0,8,M,16
17,1,0,1,M,16
17,2,2,2,M,16
18,1,9,7,M,16
18,2,2,9,H,15
19,1,3,3,H,15
19,2,9,6,H,14
20,1,6,0,M,15
20,2,9,9,M,14
21,1,5,9,M,15
21,2,8,8,H,13
22,1,2,5,M,15
22,2,8,7,H,12
23,1,4,1,M,15
23,2,3,4,M,12
24,1,6,7,M,15
24,2,5,2,M,12
25,1,0,9,M,15
25,2,1,7,M,12
26,1,3,1,M,15
26,2,2,5,M,12
27,1,1,6,M,15
27,2,5,4,M,12
28,1,9,0,M,15
28,2,5,8,M,12
29,1,1,0,M,15
29,2,2,1,M,12
30,1,8,8,M,15
30,2,7,9,M,12
31,1,7,9,M,15
31,2,2,8,M,12
32,1,5,3,H,14
32,2,7,7,M,12
33,1,7,1,M,14
33,2,1,6,M,12
34,1,7,7,M,14
34,2,0,3,M,12
35,1,1,7,M,14
35,2,0,7,M,12
36,1,8,9,M,14
36,2,7,5,M,12
37,1,2,0,M,14
37,2,8,5,H,11
38,1,4,2,M,14
38,2,1,1,M,11
39,1,3,4,M,14
39,2,9,3,H,10
40,1,3,8,M,14
40,2,1,9,H,9
41,1,3,9,M,14
41,2,1,4,H,8
42,1,6,6,M,14
42,2,6,0,M,8
43,1,9,2,H,13
43,2,8,6,H,7
44,1,9,9,M,13
44,2,2,3,M,7
45,1,5,4,H,12
45,2,5,3,M,7
46,1,7,8,M,12
46,2,3,0,M,7
47,1,4,5,M,12
47,2,7,0,M,7
48,1,8,2,H,11
48,2,2,7,M,7
49,1,8,1,M,11
49,2,0,6,M,7
50,1,9,3,M,11
50,2,0,0,M,7
51,1,1,1,M,11
51,2,7,3,M,7
52,1,8,4,H,10
52,2,6,8,M,7
53,1,8,7,M,10
53,2,9,2,M,7
54,1,4,7,M,10
54,2,8,0,M,7
55,1,7,3,H,9
55,2,6,7,M,7
56,1,0,0,M,9
56,2,1,2,M,7
57,1,2,8,H,8
57,2,8,3,M,7
58,1,9,6,M,8
58,2,4,4,H,6
59,1,5,5,M,8
59,2,0,1,M,6
60,1,5,2,H,7
60,2,6,3,M,6
61,1,3,7,M,7
61,2,7,1,M,6
62,1,9,1,M,7
62,2,3,7,M,6
63,1,6,1,M,7
63,2,1,3,M,6
64,1,5,8,M,7
64,2,4,6,M,6
65,1,0,6,M,7
65,2,3,5,M,6
66,1,3,6,M,7
66,2,3,9,H,5
67,1,3,2,M,7
67,2,6,5,M,5
68,1,4,6,M,7
68,2,3,3,M,5
69,1,5,6,M,7
69,2,5,6,M,5
70,1,7,0,M,7
70,2,8,4,H,4
71,1,5,1,M,7
71,2,6,1,M,4
72,1,0,2,M,7
72,2,5,9,M,4
73,1,1,3,M,7
73,2,4,0,M,4
74,1,0,3,M,7
74,2,4,8,M,4
75,1,2,3,H,6
75,2,0,2,M,4
76,1,6,2,H,5
76,2,1,5,M,4
77,1,4,9,M,5
77,2,4,3,H,3
78,1,0,8,M,5
78,2,9,0,M,3
79,1,8,3,M,5
79,2,3,8,M,3
80,1,6,8,M,5
80,2,4,9,M,3
81,1,1,4,M,5
81,2,6,4,M,3
82,1,6,3,H,4
82,2,4,1,M,3
83,1,0,5,M,4
83,2,4,2,M,3
84,1,4,0,M,4
84,2,7,2,M,3
85,1,6,4,H,3
85,2,0,4,H,2
86,1,2,7,H,2
86,2,5,7,M,2
87,1,2,1,M,2
87,2,9,7,M,2
88,1,5,7,M,2
88,2,3,2,M,2
89,1,2,9,H,1
89,2,9,5,H,1
90,1,6,9,M,1
90,2,2,6,M,1
91,1,8,6,M,1
91,2,1,8,M,1
92,1,2,2,M,1
92,2,7,8,M,1
93,1,6,5,M,1
93,2,8,9,M,1
94,1,4,4,M,1
94,2,9,8,M,1
95,1,7,2,H,0
95,2,6,9,M,1
96,1,9,4,M,0
96,2,5,0,M,1
97,1,7,6,M,0
97,2,9,1,M,1
98,1,4,8,M,0
98,2,4,5,M,1
99,1,9,5,M,0
99,2,9,4,H,0
