Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,5,3,M,17
1,2,8,6,M,17
2,1,7,5,M,17
2,2,2,3,M,17
3,1,5,7,M,17
3,2,1,0,M,17
4,1,5,4,H,16
4,2,5,5,M,17
5,1,5,0,H,15
5,2,7,1,M,17
6,1,1,3,H,14
6,2,1,6,M,17
7,1,7,9,M,14
7,2,0,2,H,16
8,1,0,7,M,14
8,2,6,4,M,16
9,1,5,9,M,14
9,2,8,1,M,16
10,1,3,3,M,14
10,2,5,4,M,16
11,1,0,3,H,13
11,2,3,5,M,16
12,1,6,8,M,13
12,2,2,9,M,16
13,1,0,6,M,13
13,2,3,9,M,16
14,1,4,6,M,13
14,2,9,4,M,16
15,1,9,3,M,13
15,2,9,7,M,16
16,1,6,7,M,13
16,2,6,2,M,16
17,1,7,2,M,13
17,2,4,5,M,16
18,1,7,3,M,13
18,2,0,7,M,16
19,1,9,1,M,13
19,2,2,6,H,15
20,1,9,7,M,13
20,2,7,4,M,15
21,1,4,7,M,13
21,2,2,7,M,15
22,1,1,4,M,13
22,2,7,0,M,15
23,1,0,5,M,13
23,2,7,6,M,15
24,1,2,0,H,12
24,2,5,8,H,14
25,1,3,7,M,12
25,2,8,2,M,14
26,1,9,4,M,12
26,2,9,2,M,14
27,1,3,2,M,12
27,2,7,9,H,13
28,1,6,1,M,12
28,2,3,3,H,12
29,1,7,4,M,12
29,2,6,6,H,11
30,1,7,0,M,12
30,2,3,8,M,11
31,1,9,5,M,12
31,2,9,1,M,11
32,1,8,5,H,11
32,2,9,9,M,11
33,1,0,4,M,11
33,2,3,2,H,10
34,1,2,4,M,11
34,2,0,0,H,9
35,1,8,4,H,10
35,2,1,4,M,9
36,1,5,8,M,10
36,2,5,3,M,9
37,1,2,8,M,10
37,2,9,8,M,9
38,1,4,3,M,10
38,2,9,3,M,9
39,1,6,2,M,10
39,2,4,3,M,9
40,1,7,8,M,10
40,2,3,6,H,8
41,1,8,6,H,9
41,2,2,0,M,8
42,1,6,3,M,9
42,2,2,1,M,8
43,1,2,5,M,9
43,2,7,7,M,8
44,1,8,0,M,9
44,2,7,3,M,8
45,1,1,7,M,9
45,2,4,1,M,8
46,1,8,7,H,8
46,2,7,5,M,8
47,1,7,1,M,8
47,2,5,6,H,7
48,1,0,8,M,8
48,2,7,8,H,6
49,1,4,1,M,8
49,2,0,5,M,6
50,1,4,0,H,7
50,2,4,8,M,6
51,1,8,2,M,7
51,2,5,9,M,6
52,1,8,1,M,7
52,2,3,1,H,5
53,1,4,4,H,6
53,2,0,9,M,5
54,1,7,6,M,6
54,2,1,1,M,5
55,1,3,1,M,6
55,2,4,4,M,5
56,1,9,6,M,6
56,2,3,4,M,5
57,1,6,0,M,6
57,2,5,2,M,5
58,1,1,9,M,6
58,2,6,0,M,5
59,1,2,9,M,6
59,2,7,2,M,5
60,1,2,2,M,6
60,2,1,7,M,5
61,1,1,1,M,6
61,2,9,5,M,5
62,1,4,5,M,6
62,2,4,0,M,5
63,1,6,6,M,6
63,2,2,8,M,5
64,1,8,9,M,6
64,2,8,7,M,5
65,1,0,9,M,6
65,2,6,1,M,5
66,1,2,1,M,6
66,2,1,2,M,5
67,1,2,3,H,5
67,2,0,6,M,5
68,1,9,9,M,5
68,2,3,0,M,5
69,1,2,6,M,5
69,2,6,5,M,5
70,1,4,8,M,5
70,2,8,8,H,4
71,1,4,9,M,5
71,2,1,9,M,4
72,1,0,2,M,5
72,2,4,7,M,4
73,1,8,8,H,4
73,2,8,4,M,4
74,1,3,9,M,4
74,2,8,5,M,4
75,1,9,2,M,4
75,2,8,9,M,4
76,1,7,7,M,4
76,2,0,3,M,4
77,1,5,6,M,4
77,2,2,5,M,4
78,1,3,6,M,4
78,2,8,0,M,4
79,1,3,4,H,3
79,2,3,7,M,4
80,1,3,5,M,3
80,2,4,2,M,4
81,1,9,8,M,3
81,2,5,1,M,4
82,1,5,1,H,2
82,2,1,8,M,4
83,1,1,5,M,2
83,2,4,9,M,4
84,1,1,0,M,2
84,2,6,8,H,3
85,1,1,8,M,2
85,2,9,6,M,3
86,1,2,7,M,2
86,2,0,4,M,3
87,1,0,0,M,2
87,2,1,5,M,3
88,1,3,8,M,2
88,2,6,9,H,2
89,1,0,1,M,2
89,2,1,3,M,2
90,1,9,0,M,2
90,2,5,7,M,2
91,1,8,3,M,2
91,2,6,7,M,2
92,1,1,6,M,2
92,2,9,0,M,2
93,1,5,2,H,1
93,2,5,0,M,2
94,1,6,4,M,1
94,2,6,3,M,2
95,1,6,5,M,1
95,2,0,1,H,1
96,1,4,2,M,1
96,2,0,8,M,1
97,1,5,5,M,1
97,2,4,6,H,0
98,1,6,9,M,1
98,2,2,2,M,0
99,1,3,0,H,0
99,2,8,3,M,0
