Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,3,7,M,17
1,2,8,1,M,17
2,1,5,4,H,16
2,2,2,1,M,17
3,1,0,6,M,16
3,2,8,4,M,17
4,1,4,9,M,16
4,2,1,3,M,17
5,1,1,8,M,16
5,2,6,0,M,17
6,1,4,5,M,16
6,2,9,4,M,17
7,1,3,5,M,16
7,2,6,6,H,16
8,1,3,0,M,16
8,2,2,3,M,16
9,1,1,0,M,16
9,2,9,5,M,16
10,1,3,8,M,16
10,2,5,8,H,15
11,1,5,6,M,16
11,2,7,2,M,15
12,1,0,0,M,16
12,2,8,0,M,15
13,1,7,3,M,16
13,2,1,2,M,15
14,1,3,2,M,16
14,2,7,8,M,15
15,1,9,3,M,16
15,2,5,9,M,15
16,1,2,4,M,16
16,2,0,4,M,15
17,1,1,6,M,16
17,2,3,7,H,14
18,1,1,1,M,16
18,2,7,5,M,14
19,1,3,9,M,16
19,2,1,6,M,14
20,1,5,3,H,15
20,2,3,8,M,14
21,1,4,7,M,15
21,2,7,6,M,14
22,1,8,4,H,14
22,2,1,1,H,13
23,1,0,2,M,14
23,2,2,0,H,12
24,1,7,9,M,14
24,2,8,8,M,12
25,1,8,8,M,14
25,2,8,6,M,12
26,1,2,0,M,14
26,2,1,5,M,12
27,1,4,0,M,14
27,2,3,0,H,11
28,1,9,2,M,14
28,2,5,0,M,11
29,1,6,0,H,13
29,2,7,4,M,11
30,1,8,9,M,13
30,2,4,9,M,11
31,1,5,1,H,12
31,2,9,1,M,11
32,1,8,7,M,12
32,2,2,7,H,10
33,1,6,8,M,12
33,2,8,3,M,10
34,1,6,9,M,12
34,2,7,1,M,10
35,1,3,1,M,12
35,2,2,4,M,10
36,1,1,7,M,12
36,2,7,7,M,10
37,1,3,6,M,12
37,2,4,7,H,9
38,1,0,4,M,12
38,2,3,1,M,9
39,1,4,1,M,12
39,2,0,9,M,9
40,1,2,6,M,12
40,2,9,9,M,9
41,1,1,9,M,12
41,2,4,3,M,9
42,1,7,0,M,12
42,2,4,6,M,9
43,1,1,5,M,12
43,2,5,3,M,9
44,1,9,6,M,12
44,2,0,1,M,9
45,1,2,5,M,12
45,2,6,5,H,8
46,1,1,2,H,11
46,2,5,7,H,7
47,1,2,7,M,11
47,2,7,3,M,7
48,1,5,5,M,11
48,2,8,5,M,7
49,1,4,2,M,11
49,2,4,4,M,7
50,1,8,5,H,10
50,2,9,8,M,7
51,1,5,8,M,10
51,2,0,7,M,7
52,1,2,8,M,10
52,2,3,3,M,7
53,1,6,3,H,9
53,2,1,0,H,6
54,1,1,4,H,8
54,2,1,8,M,6
55,1,9,7,M,8
55,2,2,8,M,6
56,1,6,6,M,8
56,2,4,5,M,6
57,1,7,5,M,8
57,2,0,8,M,6
58,1,0,9,M,8
58,2,4,8,M,6
59,1,8,1,M,8
59,2,1,9,M,6
60,1,6,7,M,8
60,2,2,5,M,6
61,1,4,3,M,8
61,2,2,2,M,6
62,1,0,1,M,8
62,2,1,4,M,6
63,1,2,3,M,8
63,2,4,2,M,6
64,1,5,2,H,7
64,2,0,0,M,6
65,1,5,0,M,7
65,2,5,1,M,6
66,1,9,0,M,7
66,2,8,7,M,6
67,1,9,1,M,7
67,2,8,2,M,6
68,1,3,4,H,6
68,2,9,7,M,6
69,1,2,2,M,6
69,2,0,6,M,6
70,1,0,8,M,6
70,2,2,9,M,6
71,1,2,1,M,6
71,2,0,2,M,6
72,1,9,9,M,6
72,2,0,5,M,6
73,1,5,9,M,6
73,2,6,7,M,6
74,1,0,7,M,6
74,2,6,2,M,6
75,1,6,1,H,5
75,2,5,5,H,5
76,1,8,6,H,4
76,2,6,8,M,5
77,1,7,1,M,4
77,2,4,0,H,4
78,1,2,9,M,4
78,2,0,3,M,4
79,1,5,7,M,4
79,2,5,6,H,3
80,1,0,5,M,4
80,2,9,0,M,3
81,1,0,3,M,4
81,2,4,1,M,3
82,1,4,8,M,4
82,2,3,4,M,3
83,1,3,3,M,4
83,2,9,2,M,3
84,1,6,2,H,3
84,2,6,9,M,3
85,1,9,4,M,3
85,2,8,9,M,3
86,1,8,0,M,3
86,2,3,9,M,3
87,1,7,6,M,3
87,2,3,2,M,3
88,1,4,4,H,2
88,2,9,3,M,3
89,1,8,2,M,2
89,2,1,7,M,3
90,1,6,4,H,1
90,2,9,6,M,3
91,1,7,2,M,1
91,2,6,1,M,3
92,1,8,3,M,1
92,2,3,5,M,3
93,1,1,3,H,0
93,2,2,6,M,3
94,1,7,8,M,0
94,2,6,4,H,2
95,1,9,8,M,0
95,2,3,6,M,2
96,1,6,5,M,0
96,2,7,0,M,2
97,1,7,7,M,0
97,2,7,9,M,2
98,1,4,6,M,0
98,2,5,2,M,2
99,1,7,4,M,0
99,2,5,4,H,1
100,1,9,5,M,0
100,2,6,3,H,0
