Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,1,0,M,17
1,2,8,9,M,17
2,1,6,1,M,17
2,2,5,6,H,16
3,1,6,2,M,17
3,2,2,1,M,16
4,1,2,2,H,16
4,2,7,4,H,15
5,1,4,3,M,16
5,2,0,6,H,14
6,1,9,1,M,16
6,2,3,4,M,14
7,1,6,9,M,16
7,2,3,7,M,14
8,1,5,3,M,16
8,2,0,2,M,14
9,1,4,5,M,16
9,2,0,9,M,14
10,1,1,6,M,16
10,2,8,6,M,14
11,1,2,7,H,15
11,2,5,3,M,14
12,1,3,6,M,15
12,2,4,7,M,14
13,1,8,8,M,15
13,2,6,8,M,14
14,1,2,5,H,14
14,2,5,9,M,14
15,1,6,6,M,14
15,2,5,0,M,14
16,1,9,3,M,14
16,2,6,6,M,14
17,1,6,8,M,14
17,2,5,7,M,14
18,1,6,7,M,14
18,2,1,8,M,14
19,1,8,4,H,13
19,2,3,9,M,14
20,1,0,8,M,13
20,2,4,0,M,14
21,1,3,7,M,13
21,2,0,3,H,13
22,1,6,3,M,13
22,2,9,1,M,13
23,1,4,0,M,13
23,2,5,4,M,13
24,1,3,2,H,12
24,2,9,7,M,13
25,1,2,6,H,11
25,2,5,1,H,12
26,1,9,2,M,11
26,2,9,6,M,12
27,1,7,6,M,11
27,2,1,2,M,12
28,1,7,5,M,11
28,2,3,8,M,12
29,1,1,8,M,11
29,2,2,8,M,12
30,1,6,5,M,11
30,2,1,4,M,12
31,1,5,8,H,10
31,2,3,0,M,12
32,1,2,9,H,9
32,2,9,0,M,12
33,1,8,0,M,9
33,2,6,7,H,11
34,1,5,9,M,9
34,2,8,5,M,11
35,1,8,7,H,8
35,2,6,0,M,11
36,1,9,6,M,8
36,2,0,7,H,10
37,1,7,2,M,8
37,2,7,9,M,10
38,1,3,1,M,8
38,2,8,0,M,10
39,1,8,1,M,8
39,2,7,0,M,10
40,1,7,0,M,8
40,2,3,3,M,10
41,1,7,1,M,8
41,2,0,8,M,10
42,1,4,2,H,7
42,2,6,2,M,10
43,1,3,8,M,7
43,2,6,9,M,10
44,1,0,1,M,7
44,2,8,7,H,9
45,1,1,1,M,7
45,2,1,7,M,9
46,1,7,8,M,7
46,2,6,4,M,9
47,1,1,2,H,6
47,2,8,2,M,9
48,1,3,9,M,6
48,2,2,4,M,9
49,1,0,9,M,6
49,2,4,4,M,9
50,1,3,0,M,6
50,2,7,5,H,8
51,1,2,3,M,6
51,2,8,3,M,8
52,1,6,4,M,6
52,2,7,2,H,7
53,1,1,9,M,6
53,2,6,5,M,7
54,1,0,3,M,6
54,2,1,1,M,7
55,1,6,0,M,6
55,2,1,3,M,7
56,1,0,4,M,6
56,2,2,5,M,7
57,1,0,7,M,6
57,2,1,9,M,7
58,1,5,6,H,5
58,2,9,2,M,7
59,1,9,8,M,5
59,2,4,5,M,7
60,1,1,3,M,5
60,2,8,4,M,7
61,1,9,9,M,5
61,2,7,7,H,6
62,1,0,6,M,5
62,2,8,1,M,6
63,1,4,1,M,5
63,2,7,3,H,5
64,1,7,4,M,5
64,2,1,6,M,5
65,1,4,7,M,5
65,2,2,9,M,5
66,1,9,0,M,5
66,2,0,4,H,4
67,1,8,3,H,4
67,2,9,8,M,4
68,1,8,6,M,4
68,2,2,3,M,4
69,1,9,4,M,4
69,2,6,1,H,3
70,1,4,9,M,4
70,2,4,1,H,2
71,1,3,5,M,4
71,2,4,6,H,1
72,1,2,4,M,4
72,2,8,8,M,1
73,1,1,4,M,4
73,2,9,5,M,1
74,1,5,2,M,4
74,2,2,2,M,1
75,1,0,2,M,4
75,2,5,2,M,1
76,1,0,5,M,4
76,2,4,8,M,1
77,1,7,3,M,4
77,2,6,3,M,1
78,1,2,8,H,3
78,2,2,0,M,1
79,1,7,9,M,3
79,2,4,9,M,1
80,1,8,5,H,2
80,2,7,8,M,1
81,1,8,2,M,2
81,2,9,9,M,1
82,1,5,0,M,2
82,2,9,3,M,1
83,1,5,4,M,2
83,2,1,5,M,1
84,1,3,3,M,2
84,2,0,1,M,1
85,1,1,5,M,2
85,2,7,6,M,1
86,1,2,0,M,2
86,2,3,6,M,1
87,1,2,1,M,2
87,2,4,3,M,1
88,1,9,7,M,2
88,2,9,4,M,1
89,1,5,1,M,2
89,2,0,0,M,1
90,1,0,0,M,2
90,2,2,6,M,1
91,1,4,4,M,2
91,2,3,1,M,1
92,1,3,4,M,2
92,2,5,8,M,1
93,1,5,7,H,1
93,2,3,2,M,1
94,1,9,5,M,1
94,2,7,1,M,1
95,1,4,8,M,1
95,2,2,7,M,1
96,1,4,6,M,1
96,2,1,0,M,1
97,1,1,7,M,1
97,2,0,5,H,0
98,1,5,5,M,1
98,2,3,5,M,0
99,1,7,7,H,0
99,2,5,5,M,0
