Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,5,2,M,17
1,2,7,8,M,17
2,1,8,5,H,16
2,2,4,8,H,16
3,1,8,6,H,15
3,2,6,5,M,16
4,1,9,3,M,15
4,2,0,6,M,16
5,1,3,0,M,15
5,2,2,9,M,16
6,1,5,6,M,15
6,2,1,2,M,16
7,1,7,7,M,15
7,2,7,1,H,15
8,1,0,4,M,15
8,2,1,1,H,14
9,1,9,7,M,15
9,2,5,7,M,14
10,1,9,1,M,15
10,2,4,4,M,14
11,1,3,8,M,15
11,2,0,9,M,14
12,1,2,2,M,15
12,2,6,4,M,14
13,1,1,3,M,15
13,2,2,5,M,14
14,1,1,5,M,15
14,2,0,4,M,14
15,1,4,7,H,14
15,2,0,1,H,13
16,1,8,4,H,13
16,2,3,2,M,13
17,1,3,9,M,13
17,2,6,3,M,13
18,1,6,8,M,13
18,2,8,3,M,13
19,1,4,1,M,13
19,2,7,7,M,13
20,1,1,7,M,13
20,2,4,9,M,13
21,1,2,7,M,13
21,2,8,2,M,13
22,1,3,7,M,13
22,2,9,0,M,13
23,1,9,9,M,13
23,2,6,2,M,13
24,1,6,2,M,13
24,2,4,5,M,13
25,1,4,5,M,13
25,2,9,4,M,13
26,1,5,5,M,13
26,2,3,3,H,12
27,1,5,1,M,13
27,2,5,1,M,12
28,1,0,3,M,13
28,2,0,7,M,12
29,1,3,2,M,13
29,2,4,7,M,12
30,1,7,3,M,13
30,2,8,5,M,12
31,1,0,8,M,13
31,2,9,5,M,12
32,1,2,5,M,13
32,2,3,6,H,11
33,1,8,9,M,13
33,2,6,1,M,11
34,1,8,3,H,12
34,2,8,1,M,11
35,1,9,2,M,12
35,2,6,0,M,11
36,1,3,3,H,11
36,2,8,0,M,11
37,1,0,9,M,11
37,2,6,6,M,11
38,1,0,0,M,11
38,2,5,2,M,11
39,1,7,1,M,11
39,2,9,2,M,11
40,1,1,8,M,11
40,2,3,7,H,10
41,1,7,2,M,11
41,2,3,0,M,10
42,1,0,2,M,11
42,2,5,5,M,10
43,1,0,7,M,11
43,2,9,9,M,10
44,1,6,7,H,10
44,2,8,7,M,10
45,1,1,1,H,9
45,2,9,8,M,10
46,1,2,1,H,8
46,2,4,3,M,10
47,1,2,3,H,7
47,2,2,4,M,10
48,1,3,6,M,7
48,2,9,3,M,10
49,1,7,6,M,7
49,2,1,3,H,9
50,1,3,4,M,7
50,2,2,7,M,9
51,1,9,0,M,7
51,2,3,4,H,8
52,1,6,6,M,7
52,2,9,7,M,8
53,1,7,4,M,7
53,2,0,5,M,8
54,1,6,1,M,7
54,2,5,4,M,8
55,1,7,5,M,7
55,2,5,0,M,8
56,1,2,8,M,7
56,2,7,0,M,8
57,1,5,0,M,7
57,2,6,8,M,8
58,1,1,6,M,7
58,2,5,8,M,8
59,1,2,0,M,7
59,2,2,1,M,8
60,1,4,4,M,7
60,2,1,6,M,8
61,1,8,1,H,6
61,2,3,8,H,7
62,1,1,4,M,6
62,2,0,2,M,7
63,1,0,1,M,6
63,2,4,0,M,7
64,1,3,5,M,6
64,2,6,7,M,7
65,1,5,9,M,6
65,2,0,0,M,7
66,1,2,6,M,6
66,2,1,9,M,7
67,1,8,0,H,5
67,2,0,8,M,7
68,1,9,6,M,5
68,2,8,4,M,7
69,1,3,1,M,5
69,2,3,5,H,6
70,1,1,9,M,5
70,2,5,9,M,6
71,1,0,6,M,5
71,2,4,2,M,6
72,1,7,8,M,5
72,2,4,1,M,6
73,1,7,9,M,5
73,2,0,3,H,5
74,1,2,9,M,5
74,2,1,5,M,5
75,1,6,5,M,5
75,2,1,0,M,5
76,1,4,6,M,5
76,2,4,6,M,5
77,1,1,2,M,5
77,2,7,2,H,4
78,1,0,5,M,5
78,2,8,9,M,4
79,1,5,4,M,5
79,2,7,9,M,4
80,1,8,8,M,5
80,2,7,6,M,4
81,1,5,7,H,4
81,2,2,0,M,4
82,1,1,0,M,4
82,2,7,4,M,4
83,1,4,8,M,4
83,2,8,6,M,4
84,1,9,8,M,4
84,2,5,6,M,4
85,1,6,0,M,4
85,2,3,1,M,4
86,1,9,4,M,4
86,2,9,1,M,4
87,1,4,3,H,3
87,2,2,2,M,4
88,1,6,3,H,2
88,2,5,3,M,4
89,1,8,7,M,2
89,2,3,9,M,4
90,1,6,9,M,2
90,2,6,9,M,4
91,1,4,0,M,2
91,2,9,6,M,4
92,1,8,2,H,1
92,2,2,8,H,3
93,1,2,4,M,1
93,2,1,4,M,3
94,1,9,5,M,1
94,2,1,7,M,3
95,1,4,2,M,1
95,2,2,6,M,3
96,1,5,8,M,1
96,2,7,3,H,2
97,1,5,3,H,0
97,2,7,5,M,2
98,1,6,4,M,0
98,2,8,8,M,2
99,1,4,9,M,0
99,2,2,3,H,1
100,1,7,0,M,0
100,2,1,8,H,0
