Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,6,7,M,17
1,2,4,9,M,17
2,1,3,1,M,17
2,2,7,4,M,17
3,1,3,8,H,16
3,2,0,3,M,17
4,1,5,2,H,15
4,2,3,6,M,17
5,1,2,7,M,15
5,2,5,8,M,17
6,1,6,3,M,15
6,2,4,5,M,17
7,1,4,2,M,15
7,2,1,0,M,17
8,1,2,3,M,15
8,2,6,0,M,17
9,1,3,5,M,15
9,2,0,1,M,17
10,1,8,1,M,15
10,2,9,0,M,17
11,1,3,7,M,15
11,2,6,9,M,17
12,1,8,0,H,14
12,2,7,6,M,17
13,1,5,1,M,14
13,2,2,1,M,17
14,1,1,5,M,14
14,2,2,8,M,17
15,1,8,7,M,14
15,2,9,7,M,17
16,1,5,9,M,14
16,2,1,5,M,17
17,1,5,0,M,14
17,2,0,2,M,17
18,1,6,4,M,14
18,2,6,3,M,17
19,1,2,5,M,14
19,2,2,2,M,17
20,1,3,3,M,14
20,2,2,3,M,17
21,1,5,6,M,14
21,2,3,3,M,17
22,1,5,3,H,13
22,2,3,2,M,17
23,1,0,5,M,13
23,2,6,5,M,17
24,1,7,3,M,13
24,2,9,4,M,17
25,1,4,4,M,13
25,2,4,7,H,16
26,1,3,6,M,13
26,2,8,8,M,16
27,1,0,1,M,13
27,2,7,5,M,16
28,1,0,9,M,13
28,2,8,9,M,16
29,1,8,8,M,13
29,2,8,1,M,16
30,1,2,1,M,13
30,2,3,4,H,15
31,1,6,9,M,13
31,2,7,8,M,15
32,1,1,4,M,13
32,2,8,2,M,15
33,1,1,2,M,13
33,2,6,6,M,15
34,1,8,3,H,12
34,2,2,9,H,14
35,1,6,5,M,12
35,2,8,0,M,14
36,1,7,2,H,11
36,2,6,4,M,14
37,1,3,2,M,11
37,2,8,7,H,13
38,1,5,5,H,10
38,2,5,4,M,13
39,1,8,9,M,10
39,2,0,4,H,12
40,1,9,6,M,10
40,2,9,2,M,12
41,1,2,4,M,10
41,2,2,5,M,12
42,1,7,1,M,10
42,2,5,9,M,12
43,1,9,5,M,10
43,2,4,8,M,12
44,1,4,3,M,10
44,2,3,5,M,12
45,1,0,6,M,10
45,2,0,5,M,12
46,1,0,3,M,10
46,2,0,8,M,12
47,1,0,0,M,10
47,2,8,4,H,11
48,1,7,6,M,10
48,2,5,2,M,11
49,1,1,6,M,10
49,2,1,3,M,11
50,1,2,9,M,10
50,2,6,7,M,11
51,1,7,8,M,10
51,2,5,6,M,11
52,1,8,4,M,10
52,2,0,6,M,11
53,1,0,8,M,10
53,2,1,6,M,11
54,1,4,7,M,10
54,2,7,0,M,11
55,1,9,1,M,10
55,2,0,7,M,11
56,1,1,9,M,10
56,2,8,3,H,10
57,1,4,1,M,10
57,2,6,1,H,9
58,1,2,8,M,10
58,2,0,9,M,9
59,1,1,1,M,10
59,2,5,5,M,9
60,1,7,7,M,10
60,2,9,1,M,9
61,1,6,1,M,10
61,2,5,7,M,9
62,1,5,8,H,9
62,2,2,6,M,9
63,1,2,0,M,9
63,2,2,7,H,8
64,1,8,2,H,8
64,2,9,6,M,8
65,1,4,6,M,8
65,2,8,6,H,7
66,1,8,6,M,8
66,2,8,5,H,6
67,1,8,5,M,8
67,2,1,4,H,5
68,1,3,9,M,8
68,2,3,9,H,4
69,1,1,8,M,8
69,2,4,0,M,4
70,1,7,0,H,7
70,2,7,2,M,4
71,1,4,8,H,6
71,2,4,4,M,4
72,1,1,3,M,6
72,2,1,7,M,4
73,1,3,4,M,6
73,2,4,1,H,3
74,1,0,2,M,6
74,2,7,3,M,3
75,1,9,9,M,6
75,2,3,8,M,3
76,1,3,0,M,6
76,2,9,5,M,3
77,1,4,0,M,6
77,2,9,3,M,3
78,1,6,6,M,6
78,2,4,3,M,3
79,1,7,4,M,6
79,2,1,2,M,3
80,1,4,5,M,6
80,2,2,4,H,2
81,1,1,7,M,6
81,2,5,1,H,1
82,1,2,6,M,6
82,2,4,2,M,1
83,1,9,0,H,5
83,2,3,1,M,1
84,1,9,3,H,4
84,2,2,0,M,1
85,1,9,8,M,4
85,2,3,7,H,0
86,1,1,0,M,4
86,2,1,1,M,0
87,1,5,4,H,3
87,2,7,9,M,0
88,1,7,9,M,3
88,2,4,6,M,0
89,1,4,9,M,3
89,2,7,1,M,0
90,1,2,2,M,3
90,2,0,0,M,0
91,1,6,0,M,3
91,2,9,9,M,0
92,1,0,4,M,3
92,2,1,9,M,0
93,1,7,5,M,3
93,2,5,3,M,0
94,1,9,4,M,3
94,2,6,8,M,0
95,1,6,2,H,2
95,2,6,2,M,0
96,1,5,7,M,2
96,2,5,0,M,0
97,1,6,8,H,1
97,2,9,8,M,0
98,1,9,2,H,0
98,2,1,8,M,0
