Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,6,2,M,17
1,2,9,7,M,17
2,1,1,7,M,17
2,2,6,8,M,17
3,1,2,6,M,17
3,2,1,6,M,17
4,1,4,6,M,17
4,2,2,0,M,17
5,1,1,4,M,17
5,2,4,5,M,17
6,1,9,1,M,17
6,2,7,9,M,17
7,1,8,1,M,17
7,2,7,7,M,17
8,1,5,0,M,17
8,2,0,4,M,17
9,1,3,1,M,17
9,2,1,9,M,17
10,1,3,0,M,17
10,2,5,1,M,17
11,1,2,9,H,16
11,2,0,1,M,17
12,1,6,6,M,16
12,2,8,1,M,17
13,1,4,2,M,16
13,2,5,6,M,17
14,1,3,3,M,16
14,2,7,6,M,17
15,1,9,7,M,16
15,2,0,8,M,17
16,1,8,0,M,16
16,2,7,2,M,17
17,1,0,6,M,16
17,2,0,7,M,17
18,1,4,1,M,16
18,2,3,5,M,17
19,1,3,2,M,16
19,2,9,5,M,17
20,1,5,4,M,16
20,2,4,1,M,17
21,1,9,4,M,16
21,2,1,1,M,17
22,1,8,5,H,15
22,2,6,7,M,17
23,1,9,5,M,15
23,2,6,1,M,17
24,1,5,9,M,15
24,2,9,9,M,17
25,1,4,0,M,15
25,2,4,9,H,16
26,1,3,9,M,15
26,2,0,2,M,16
27,1,3,7,M,15
27,2,9,2,M,16
28,1,0,2,M,15
28,2,9,3,M,16
29,1,0,9,M,15
29,2,9,6,M,16
30,1,4,8,M,15
30,2,8,5,H,15
31,1,4,9,M,15
31,2,6,0,M,15
32,1,5,3,H,14
32,2,2,3,M,15
33,1,2,7,H,13
33,2,4,2,M,15
34,1,3,6,M,13
34,2,7,1,M,15
35,1,4,3,M,13
35,2,2,6,M,15
36,1,0,0,M,13
36,2,3,0,H,14
37,1,8,8,M,13
37,2,5,3,H,13
38,1,5,5,M,13
38,2,6,5,M,13
39,1,3,5,H,12
39,2,2,7,M,13
40,1,1,9,M,12
40,2,9,1,M,13
41,1,7,0,M,12
41,2,5,0,M,13
42,1,1,8,M,12
42,2,6,4,M,13
43,1,7,8,M,12
43,2,0,6,M,13
44,1,2,1,M,12
44,2,8,3,H,12
45,1,1,5,H,11
45,2,5,9,H,11
46,1,6,1,M,11
46,2,8,7,M,11
47,1,9,0,M,11
47,2,7,8,H,10
48,1,6,3,M,11
48,2,7,5,M,10
49,1,5,6,M,11
49,2,2,2,M,10
50,1,4,5,M,11
50,2,8,6,M,10
51,1,5,1,M,11
51,2,1,8,M,10
52,1,7,1,M,11
52,2,3,6,M,10
53,1,0,8,M,11
53,2,7,4,M,10
54,1,0,7,M,11
54,2,0,0,M,10
55,1,7,2,M,11
55,2,5,7,M,10
56,1,6,8,M,11
56,2,0,9,M,10
57,1,5,2,H,10
57,2,9,4,M,10
58,1,9,2,M,10
58,2,2,9,H,9
59,1,2,4,M,10
59,2,8,9,M,9
60,1,1,3,M,10
60,2,5,5,M,9
61,1,0,5,M,10
61,2,8,2,M,9
62,1,9,3,M,10
62,2,7,3,M,9
63,1,8,4,H,9
63,2,5,4,H,8
64,1,6,9,M,9
64,2,4,0,M,8
65,1,3,8,M,9
65,2,1,3,M,8
66,1,8,6,H,8
66,2,5,2,H,7
67,1,0,1,M,8
67,2,4,7,M,7
68,1,7,4,H,7
68,2,4,8,M,7
69,1,2,2,M,7
69,2,3,7,M,7
70,1,2,3,M,7
70,2,4,3,M,7
71,1,3,4,M,7
71,2,1,5,M,7
72,1,0,3,M,7
72,2,3,8,M,7
73,1,7,6,H,6
73,2,7,0,M,7
74,1,2,0,M,6
74,2,6,6,M,7
75,1,4,4,M,6
75,2,4,4,M,7
76,1,2,8,H,5
76,2,9,8,M,7
77,1,6,7,M,5
77,2,2,4,M,7
78,1,7,5,H,4
78,2,4,6,M,7
79,1,6,5,M,4
79,2,3,4,H,6
80,1,9,9,M,4
80,2,3,3,H,5
81,1,0,4,M,4
81,2,9,0,M,5
82,1,8,7,M,4
82,2,8,4,H,4
83,1,1,6,M,4
83,2,8,8,H,3
84,1,7,9,M,4
84,2,3,2,H,2
85,1,6,0,M,4
85,2,1,7,M,2
86,1,1,1,M,4
86,2,3,1,H,1
87,1,5,8,M,4
87,2,6,3,M,1
88,1,2,5,H,3
88,2,2,1,M,1
89,1,6,4,M,3
89,2,6,2,M,1
90,1,1,0,M,3
90,2,2,8,M,1
91,1,5,7,M,3
91,2,6,9,M,1
92,1,4,7,M,3
92,2,2,5,M,1
93,1,9,8,M,3
93,2,1,2,M,1
94,1,8,9,M,3
94,2,1,4,M,1
95,1,9,6,M,3
95,2,0,5,M,1
96,1,7,7,H,2
96,2,5,8,M,1
97,1,8,3,H,1
97,2,8,0,M,1
98,1,7,3,M,1
98,2,1,0,M,1
99,1,8,2,H,0
99,2,3,9,H,0
