Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,6,0,M,17
1,2,1,8,M,17
2,1,0,9,M,17
2,2,6,4,M,17
3,1,0,0,M,17
3,2,2,1,H,16
4,1,3,8,M,17
4,2,0,8,M,16
5,1,6,9,M,17
5,2,9,8,M,16
6,1,4,3,M,17
6,2,3,9,M,16
7,1,8,2,M,17
7,2,7,5,M,16
8,1,2,2,M,17
8,2,9,0,M,16
9,1,8,3,M,17
9,2,8,0,H,15
10,1,9,2,M,17
10,2,8,5,M,15
11,1,6,2,M,17
11,2,0,7,M,15
12,1,5,9,M,17
12,2,6,5,M,15
13,1,5,6,M,17
13,2,3,1,M,15
14,1,4,9,H,16
14,2,4,4,M,15
15,1,5,0,M,16
15,2,5,1,M,15
16,1,6,4,M,16
16,2,3,7,H,14
17,1,4,0,M,16
17,2,4,8,M,14
18,1,2,8,M,16
18,2,7,0,H,13
19,1,6,6,M,16
19,2,8,6,M,13
20,1,1,1,M,16
20,2,6,7,M,13
21,1,0,5,H,15
21,2,3,3,M,13
22,1,0,7,H,14
22,2,6,0,H,12
23,1,1,0,M,14
23,2,7,6,M,12
24,1,6,8,M,14
24,2,0,4,H,11
25,1,7,7,M,14
25,2,5,0,M,11
26,1,8,0,M,14
26,2,1,0,M,11
27,1,0,3,M,14
27,2,3,0,M,11
28,1,2,5,M,14
28,2,6,8,M,11
29,1,7,1,M,14
29,2,8,7,M,11
30,1,3,5,M,14
30,2,7,9,M,11
31,1,9,9,M,14
31,2,1,5,M,11
32,1,3,2,M,14
32,2,7,4,M,11
33,1,4,6,H,13
33,2,4,6,M,11
34,1,0,4,H,12
34,2,8,4,M,11
35,1,1,5,M,12
35,2,4,1,M,11
36,1,8,1,M,12
36,2,6,6,M,11
37,1,1,3,H,11
37,2,1,6,M,11
38,1,9,8,M,11
38,2,4,9,M,11
39,1,3,9,M,11
39,2,5,7,H,10
40,1,9,4,M,11
40,2,2,6,M,10
41,1,3,4,M,11
41,2,0,1,H,9
42,1,9,1,M,11
42,2,0,0,H,8
43,1,2,1,M,11
43,2,5,2,M,8
44,1,4,8,H,10
44,2,9,2,M,8
45,1,9,7,M,10
45,2,2,4,M,8
46,1,9,6,M,10
46,2,0,2,H,7
47,1,8,7,M,10
47,2,8,2,M,7
48,1,7,4,M,10
48,2,6,9,M,7
49,1,0,6,H,9
49,2,9,1,M,7
50,1,6,1,M,9
50,2,1,2,M,7
51,1,4,7,M,9
51,2,4,3,M,7
52,1,8,5,M,9
52,2,1,1,M,7
53,1,5,2,H,8
53,2,9,3,M,7
54,1,9,5,M,8
54,2,7,8,M,7
55,1,2,0,M,8
55,2,5,5,M,7
56,1,7,2,M,8
56,2,0,6,M,7
57,1,1,8,M,8
57,2,9,6,M,7
58,1,7,3,M,8
58,2,5,4,H,6
59,1,5,7,M,8
59,2,0,5,M,6
60,1,8,4,M,8
60,2,5,3,H,5
61,1,7,0,M,8
61,2,3,4,M,5
62,1,2,4,M,8
62,2,2,9,M,5
63,1,0,8,M,8
63,2,9,4,M,5
64,1,2,7,M,8
64,2,0,9,M,5
65,1,5,1,H,7
65,2,1,3,M,5
66,1,9,3,M,7
66,2,7,2,M,5
67,1,8,8,M,7
67,2,9,9,M,5
68,1,6,5,M,7
68,2,2,2,H,4
69,1,3,3,H,6
69,2,4,7,H,3
70,1,5,3,H,5
70,2,4,2,M,3
71,1,5,4,H,4
71,2,2,5,M,3
72,1,1,6,M,4
72,2,9,7,M,3
73,1,4,5,H,3
73,2,8,8,M,3
74,1,1,9,M,3
74,2,2,0,M,3
75,1,9,0,M,3
75,2,7,3,M,3
76,1,3,1,M,3
76,2,1,9,M,3
77,1,4,1,M,3
77,2,3,2,M,3
78,1,7,9,M,3
78,2,8,3,M,3
79,1,6,3,M,3
79,2,6,2,M,3
80,1,7,5,M,3
80,2,7,1,M,3
81,1,3,6,M,3
81,2,2,8,M,3
82,1,7,8,M,3
82,2,7,7,M,3
83,1,3,0,M,3
83,2,2,7,H,2
84,1,2,3,H,2
84,2,1,4,M,2
85,1,2,6,M,2
85,2,5,8,M,2
86,1,0,2,M,2
86,2,0,3,H,1
87,1,0,1,M,2
87,2,4,5,M,1
88,1,7,6,M,2
88,2,8,1,M,1
89,1,8,9,M,2
89,2,3,5,M,1
90,1,2,9,M,2
90,2,2,3,H,0
91,1,6,7,M,2
91,2,8,9,M,0
92,1,8,6,M,2
92,2,6,3,M,0
93,1,5,5,H,1
93,2,6,1,M,0
94,1,3,7,M,1
94,2,1,7,M,0
95,1,1,4,M,1
95,2,5,9,M,0
96,1,4,2,M,1
96,2,5,6,M,0
97,1,1,7,M,1
97,2,9,5,M,0
98,1,4,4,H,0
98,2,3,6,M,0
