Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,1,0,M,17
1,2,2,1,M,17
2,1,5,0,M,17
2,2,3,4,M,17
3,1,7,7,M,17
3,2,7,0,M,17
4,1,6,2,H,16
4,2,6,3,M,17
5,1,4,5,H,15
5,2,1,4,M,17
6,1,1,6,M,15
6,2,5,6,M,17
7,1,7,8,M,15
7,2,3,7,H,16
8,1,0,2,M,15
8,2,7,1,M,16
9,1,2,4,M,15
9,2,4,1,M,16
10,1,8,8,M,15
10,2,2,0,M,16
11,1,4,4,H,14
11,2,9,5,M,16
12,1,1,3,M,14
12,2,4,4,M,16
13,1,0,9,M,14
13,2,7,7,M,16
14,1,8,7,M,14
14,2,5,0,M,16
15,1,3,0,M,14
15,2,8,5,M,16
16,1,0,8,M,14
16,2,0,3,M,16
17,1,0,7,M,14
17,2,1,3,M,16
18,1,2,6,M,14
18,2,3,3,M,16
19,1,7,9,M,14
19,2,0,6,M,16
20,1,1,1,M,14
20,2,5,9,H,15
21,1,7,2,M,14
21,2,2,5,H,14
22,1,9,6,M,14
22,2,3,9,H,13
23,1,9,2,M,14
23,2,1,2,M,13
24,1,1,4,M,14
24,2,7,3,M,13
25,1,6,7,M,14
25,2,9,1,M,13
26,1,6,1,M,14
26,2,2,7,H,12
27,1,6,0,M,14
27,2,5,8,M,12
28,1,5,8,M,14
28,2,8,4,M,12
29,1,6,6,M,14
29,2,1,5,M,12
30,1,6,3,H,13
30,2,1,8,M,12
31,1,4,6,H,12
31,2,3,6,M,12
32,1,2,9,M,12
32,2,2,6,H,11
33,1,4,8,H,11
33,2,8,8,M,11
34,1,1,2,M,11
34,2,8,2,M,11
35,1,5,1,M,11
35,2,7,9,H,10
36,1,3,7,M,11
36,2,4,2,H,9
37,1,4,3,H,10
37,2,2,3,M,9
38,1,0,1,M,10
38,2,4,6,M,9
39,1,5,3,M,10
39,2,4,0,M,9
40,1,2,2,M,10
40,2,2,2,M,9
41,1,7,1,M,10
41,2,1,1,M,9
42,1,0,5,M,10
42,2,1,0,M,9
43,1,1,8,M,10
43,2,2,4,M,9
44,1,3,3,H,9
44,2,0,1,M,9
45,1,4,0,M,9
45,2,6,5,M,9
46,1,4,1,M,9
46,2,3,8,M,9
47,1,8,4,M,9
47,2,2,8,M,9
48,1,3,6,M,9
48,2,7,4,M,9
49,1,8,1,M,9
49,2,8,9,M,9
50,1,8,6,M,9
50,2,8,7,M,9
51,1,3,9,M,9
51,2,9,3,M,9
52,1,8,5,H,8
52,2,4,5,H,8
53,1,4,9,M,8
53,2,0,4,M,8
54,1,8,3,H,7
54,2,7,6,M,8
55,1,7,6,M,7
55,2,1,9,M,8
56,1,5,2,H,6
56,2,8,3,M,8
57,1,3,1,M,6
57,2,6,6,M,8
58,1,1,7,M,6
58,2,5,1,M,8
59,1,5,7,M,6
59,2,3,2,M,8
60,1,3,4,M,6
60,2,7,5,M,8
61,1,2,8,M,6
61,2,4,7,H,7
62,1,8,9,M,6
62,2,0,7,M,7
63,1,2,7,M,6
63,2,0,9,M,7
64,1,5,9,M,6
64,2,6,4,M,7
65,1,9,3,H,5
65,2,3,1,M,7
66,1,0,0,M,5
66,2,5,3,M,7
67,1,9,1,M,5
67,2,4,8,M,7
68,1,2,0,M,5
68,2,9,8,M,7
69,1,7,0,M,5
69,2,6,2,H,6
70,1,2,3,M,5
70,2,9,7,M,6
71,1,5,5,M,5
71,2,1,7,M,6
72,1,7,5,H,4
72,2,5,2,H,5
73,1,0,6,M,4
73,2,0,8,M,5
74,1,9,7,M,4
74,2,0,0,M,5
75,1,9,5,M,4
75,2,9,2,M,5
76,1,5,4,M,4
76,2,1,6,M,5
77,1,8,2,M,4
77,2,9,0,M,5
78,1,6,8,M,4
78,2,4,9,H,4
79,1,4,2,H,3
79,2,3,0,M,4
80,1,9,4,M,3
80,2,5,7,H,3
81,1,6,9,M,3
81,2,9,9,M,3
82,1,7,3,H,2
82,2,9,4,M,3
83,1,0,3,M,2
83,2,6,9,H,2
84,1,8,0,M,2
84,2,3,5,H,1
85,1,9,8,M,2
85,2,8,0,M,1
86,1,2,1,M,2
86,2,6,8,M,1
87,1,6,4,M,2
87,2,5,5,H,0
88,1,0,4,M,2
88,2,6,7,M,0
89,1,3,5,M,2
89,2,0,2,M,0
90,1,7,4,M,2
90,2,7,8,M,0
91,1,3,2,M,2
91,2,6,0,M,0
92,1,3,8,M,2
92,2,0,5,M,0
93,1,1,5,M,2
93,2,7,2,M,0
94,1,9,9,M,2
94,2,8,1,M,0
95,1,5,6,M,2
95,2,2,9,M,0
96,1,1,9,M,2
96,2,8,6,M,0
97,1,6,5,H,1
97,2,4,3,M,0
98,1,2,5,M,1
98,2,6,1,M,0
99,1,9,0,M,1
99,2,9,6,M,0
100,1,4,7,H,0
100,2,5,4,M,0
