Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,9,7,M,17
1,2,5,3,M,17
2,1,1,7,H,16
2,2,9,3,M,17
3,1,1,3,M,16
3,2,7,9,M,17
4,1,2,7,H,15
4,2,3,7,M,17
5,1,8,4,H,14
5,2,4,4,M,17
6,1,0,3,M,14
6,2,5,8,M,17
7,1,1,8,M,14
7,2,6,7,M,17
8,1,6,5,H,13
8,2,8,0,M,17
9,1,8,9,H,12
9,2,2,4,M,17
10,1,6,1,M,12
10,2,3,3,H,16
11,1,5,9,M,12
11,2,4,8,M,16
12,1,8,7,M,12
12,2,0,5,M,16
13,1,4,2,M,12
13,2,5,4,M,16
14,1,3,1,M,12
14,2,4,1,H,15
15,1,4,9,M,12
15,2,3,4,H,14
16,1,3,8,H,11
16,2,2,8,H,13
17,1,5,3,M,11
17,2,3,9,M,13
18,1,8,5,M,11
18,2,1,6,M,13
19,1,6,3,M,11
19,2,9,4,H,12
20,1,6,7,H,10
20,2,0,8,M,12
21,1,5,0,M,10
21,2,1,1,H,11
22,1,8,6,M,10
22,2,3,0,M,11
23,1,2,9,M,10
23,2,8,5,M,11
24,1,6,2,M,10
24,2,7,1,M,11
25,1,7,8,M,10
25,2,9,0,M,11
26,1,6,8,M,10
26,2,8,3,M,11
27,1,4,1,M,10
27,2,3,2,H,10
28,1,5,1,M,10
28,2,5,0,M,10
29,1,1,0,M,10
29,2,0,7,M,10
30,1,0,0,M,10
30,2,4,2,M,10
31,1,4,3,M,10
31,2,1,3,M,10
32,1,8,0,M,10
32,2,2,2,M,10
33,1,2,3,M,10
33,2,5,2,M,10
34,1,0,9,M,10
34,2,1,4,M,10
35,1,4,4,M,10
35,2,4,3,M,10
36,1,1,1,M,10
36,2,0,4,M,10
37,1,0,6,M,10
37,2,6,1,M,10
38,1,3,6,M,10
38,2,7,3,M,10
39,1,3,4,M,10
39,2,9,2,M,10
40,1,0,8,M,10
40,2,8,7,M,10
41,1,3,0,M,10
41,2,7,4,M,10
42,1,9,9,M,10
42,2,1,2,M,10
43,1,1,6,M,10
43,2,5,6,H,9
44,1,9,6,M,10
44,2,0,9,M,9
45,1,4,7,M,10
45,2,1,8,M,9
46,1,9,5,M,10
46,2,8,1,M,9
47,1,0,5,M,10
47,2,4,7,M,9
48,1,5,2,M,10
48,2,4,5,M,9
49,1,8,3,M,10
49,2,2,9,M,9
50,1,2,2,M,10
50,2,0,0,M,9
51,1,5,7,M,10
51,2,7,8,M,9
52,1,6,4,H,9
52,2,6,8,M,9
53,1,2,6,M,9
53,2,4,0,M,9
54,1,2,5,M,9
54,2,9,1,M,9
55,1,1,9,M,9
55,2,1,9,M,9
56,1,6,6,H,8
56,2,7,7,M,9
57,1,3,7,H,7
57,2,7,6,H,8
58,1,0,4,M,7
58,2,2,6,M,8
59,1,1,2,M,7
59,2,7,0,M,8
60,1,2,1,M,7
60,2,6,2,M,8
61,1,7,6,M,7
61,2,0,2,M,8
62,1,8,1,M,7
62,2,8,8,M,8
63,1,3,3,M,7
63,2,6,5,M,8
64,1,4,6,M,7
64,2,7,2,M,8
65,1,9,3,M,7
65,2,8,4,M,8
66,1,5,4,H,6
66,2,1,0,M,8
67,1,8,2,M,6
67,2,0,1,H,7
68,1,3,9,M,6
68,2,9,7,M,7
69,1,0,2,M,6
69,2,8,2,M,7
70,1,9,8,M,6
70,2,5,7,M,7
71,1,2,8,M,6
71,2,2,1,H,6
72,1,2,4,M,6
72,2,2,5,M,6
73,1,7,4,H,5
73,2,2,7,M,6
74,1,7,9,H,4
74,2,7,5,M,6
75,1,4,5,M,4
75,2,6,0,M,6
76,1,9,4,H,3
76,2,3,8,H,5
77,1,8,8,M,3
77,2,4,9,M,5
78,1,7,0,M,3
78,2,9,6,H,4
79,1,7,7,M,3
79,2,6,3,M,4
80,1,5,5,M,3
80,2,8,6,H,3
81,1,6,0,M,3
81,2,6,6,H,2
82,1,5,6,M,3
82,2,2,0,M,2
83,1,1,4,M,3
83,2,8,9,M,2
84,1,6,9,M,3
84,2,5,1,M,2
85,1,7,1,M,3
85,2,0,3,M,2
86,1,0,7,H,2
86,2,3,5,M,2
87,1,4,0,M,2
87,2,1,7,M,2
88,1,2,0,M,2
88,2,3,1,H,1
89,1,7,5,M,2
89,2,5,9,M,1
90,1,5,8,H,1
90,2,9,5,H,0
91,1,9,2,M,1
91,2,6,4,M,0
92,1,4,8,H,0
92,2,6,9,M,0
