Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,4,3,H,16
1,2,3,1,M,17
2,1,3,0,M,16
2,2,0,5,H,16
3,1,3,4,M,16
3,2,4,6,M,16
4,1,2,1,M,16
4,2,8,5,M,16
5,1,6,9,M,16
5,2,1,4,M,16
6,1,1,2,M,16
6,2,7,5,M,16
7,1,4,5,M,16
7,2,4,3,H,15
8,1,1,8,M,16
8,2,3,0,M,15
9,1,2,5,H,15
9,2,6,3,H,14
10,1,4,6,M,15
10,2,5,6,M,14
11,1,6,7,M,15
11,2,2,3,M,14
12,1,3,7,M,15
12,2,7,7,M,14
13,1,0,2,M,15
13,2,4,5,M,14
14,1,1,7,M,15
14,2,0,6,H,13
15,1,6,5,M,15
15,2,0,7,M,13
16,1,6,3,M,15
16,2,9,6,M,13
17,1,0,6,M,15
17,2,9,4,M,13
18,1,4,7,M,15
18,2,1,8,H,12
19,1,0,5,M,15
19,2,9,5,M,12
20,1,5,8,M,15
20,2,9,8,M,12
21,1,7,5,M,15
21,2,2,4,M,12
22,1,1,9,M,15
22,2,8,6,M,12
23,1,0,3,M,15
23,2,0,3,H,11
24,1,4,2,H,14
24,2,0,1,M,11
25,1,7,6,H,13
25,2,9,3,M,11
26,1,1,0,M,13
26,2,4,4,M,11
27,1,5,3,M,13
27,2,2,6,M,11
28,1,9,2,M,13
28,2,9,0,M,11
29,1,8,6,M,13
29,2,5,5,M,11
30,1,2,3,M,13
30,2,3,3,M,11
31,1,1,1,M,13
31,2,2,7,M,11
32,1,1,6,M,13
32,2,7,6,M,11
33,1,7,4,H,12
33,2,9,2,M,11
34,1,4,9,M,12
34,2,7,1,M,11
35,1,9,6,M,12
35,2,6,4,M,11
36,1,7,0,M,12
36,2,9,7,M,11
37,1,8,1,M,12
37,2,2,0,M,11
38,1,9,8,M,12
38,2,7,3,H,10
39,1,0,7,M,12
39,2,6,0,M,10
40,1,6,8,M,12
40,2,6,1,M,10
41,1,5,2,M,12
41,2,8,1,M,10
42,1,2,7,H,11
42,2,3,8,H,9
43,1,6,0,M,11
43,2,9,1,M,9
44,1,7,1,M,11
44,2,5,7,M,9
45,1,5,6,M,11
45,2,5,3,H,8
46,1,3,2,M,11
46,2,6,5,M,8
47,1,1,3,M,11
47,2,7,8,M,8
48,1,9,0,M,11
48,2,1,1,M,8
49,1,2,4,H,10
49,2,2,2,M,8
50,1,5,7,M,10
50,2,6,7,H,7
51,1,6,6,M,10
51,2,0,2,M,7
52,1,8,9,M,10
52,2,5,2,M,7
53,1,7,9,M,10
53,2,3,7,M,7
54,1,0,1,M,10
54,2,3,5,M,7
55,1,1,4,M,10
55,2,2,9,M,7
56,1,6,1,M,10
56,2,0,0,M,7
57,1,3,3,M,10
57,2,6,2,M,7
58,1,0,0,M,10
58,2,0,9,M,7
59,1,7,3,M,10
59,2,5,8,M,7
60,1,4,0,M,10
60,2,7,0,M,7
61,1,5,4,H,9
61,2,2,1,M,7
62,1,4,4,H,8
62,2,0,4,H,6
63,1,2,8,H,7
63,2,1,9,M,6
64,1,0,8,M,7
64,2,6,6,H,5
65,1,1,5,M,7
65,2,1,0,M,5
66,1,5,0,M,7
66,2,1,2,M,5
67,1,8,7,M,7
67,2,4,9,M,5
68,1,9,1,M,7
68,2,2,5,M,5
69,1,8,4,H,6
69,2,7,2,M,5
70,1,3,5,M,6
70,2,3,9,M,5
71,1,3,9,M,6
71,2,8,4,M,5
72,1,5,1,M,6
72,2,7,9,M,5
73,1,9,5,M,6
73,2,8,7,M,5
74,1,4,1,M,6
74,2,8,0,M,5
75,1,7,7,H,5
75,2,3,4,M,5
76,1,5,9,M,5
76,2,9,9,M,5
77,1,0,9,M,5
77,2,2,8,H,4
78,1,7,8,M,5
78,2,1,6,M,4
79,1,8,5,M,5
79,2,1,3,M,4
80,1,3,6,M,5
80,2,8,2,M,4
81,1,9,9,M,5
81,2,8,9,M,4
82,1,9,4,M,5
82,2,3,2,M,4
83,1,7,2,H,4
83,2,5,1,M,4
84,1,0,4,M,4
84,2,6,9,H,3
85,1,8,0,M,4
85,2,1,7,M,3
86,1,3,8,M,4
86,2,5,4,M,3
87,1,9,3,M,4
87,2,5,9,H,2
88,1,2,0,M,4
88,2,8,3,H,1
89,1,3,1,M,4
89,2,7,4,M,1
90,1,4,8,M,4
90,2,4,2,M,1
91,1,6,2,H,3
91,2,8,8,M,1
92,1,8,2,H,2
92,2,1,5,M,1
93,1,5,5,M,2
93,2,4,8,M,1
94,1,8,3,M,2
94,2,3,6,M,1
95,1,8,8,M,2
95,2,6,8,H,0
96,1,6,4,H,1
96,2,4,0,M,0
97,1,2,2,M,1
97,2,4,7,M,0
98,1,2,9,M,1
98,2,0,8,M,0
99,1,9,7,M,1
99,2,4,1,M,0
100,1,2,6,H,0
100,2,5,0,M,0
