Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,1,7,M,17
1,2,8,5,M,17
2,1,8,2,M,17
2,2,4,1,M,17
3,1,8,6,M,17
3,2,8,1,M,17
4,1,7,2,M,17
4,2,2,8,M,17
5,1,4,1,M,17
5,2,5,3,M,17
6,1,1,1,M,17
6,2,2,5,M,17
7,1,9,9,M,17
7,2,8,7,M,17
8,1,7,1,M,17
8,2,7,3,M,17
9,1,3,1,H,16
9,2,1,9,M,17
10,1,9,3,M,16
10,2,2,6,H,16
11,1,4,7,M,16
11,2,7,7,M,16
12,1,0,5,M,16
12,2,9,7,M,16
13,1,0,7,M,16
13,2,2,9,M,16
14,1,9,5,M,16
14,2,9,2,M,16
15,1,0,6,M,16
15,2,6,6,M,16
16,1,5,3,M,16
16,2,9,9,M,16
17,1,2,2,H,15
17,2,1,5,M,16
18,1,3,4,M,15
18,2,5,9,M,16
19,1,5,2,M,15
19,2,8,3,M,16
20,1,7,4,M,15
20,2,5,2,M,16
21,1,1,5,M,15
21,2,3,9,M,16
22,1,3,0,M,15
22,2,5,5,M,16
23,1,5,5,M,15
23,2,2,3,M,16
24,1,6,2,M,15
24,2,6,8,H,15
25,1,9,1,M,15
25,2,0,0,M,15
26,1,1,3,M,15
26,2,2,2,M,15
27,1,7,6,M,15
27,2,0,6,H,14
28,1,7,3,M,15
28,2,0,5,M,14
29,1,0,1,M,15
29,2,2,1,M,14
30,1,4,0,M,15
30,2,3,0,H,13
31,1,7,8,M,15
31,2,2,0,M,13
32,1,3,6,M,15
32,2,3,2,M,13
33,1,8,8,H,14
33,2,4,9,H,12
34,1,2,4,H,13
34,2,5,0,H,11
35,1,3,5,M,13
35,2,6,2,M,11
36,1,6,1,M,13
36,2,7,2,M,11
37,1,6,8,M,13
37,2,6,3,M,11
38,1,6,4,M,13
38,2,6,9,M,11
39,1,0,8,M,13
39,2,0,4,M,11
40,1,4,8,M,13
40,2,8,8,M,11
41,1,9,4,M,13
41,2,3,6,H,10
42,1,6,0,M,13
42,2,9,0,M,10
43,1,3,2,M,13
43,2,6,4,M,10
44,1,2,6,H,12
44,2,4,3,M,10
45,1,9,6,M,12
45,2,8,4,M,10
46,1,9,2,M,12
46,2,9,3,M,10
47,1,4,4,H,11
47,2,4,0,H,9
48,1,1,4,M,11
48,2,3,8,M,9
49,1,9,7,M,11
49,2,0,8,M,9
50,1,1,2,M,11
50,2,5,7,H,8
51,1,1,0,M,11
51,2,4,8,H,7
52,1,8,4,M,11
52,2,1,3,M,7
53,1,0,2,M,11
53,2,7,8,H,6
54,1,7,7,M,11
54,2,1,0,M,6
55,1,4,2,H,10
55,2,0,3,M,6
56,1,8,7,H,9
56,2,9,6,M,6
57,1,8,5,M,9
57,2,1,2,M,6
58,1,7,0,M,9
58,2,4,4,M,6
59,1,7,5,M,9
59,2,1,4,M,6
60,1,1,9,M,9
60,2,6,1,M,6
61,1,3,8,M,9
61,2,0,2,M,6
62,1,9,8,M,9
62,2,8,9,M,6
63,1,8,9,H,8
63,2,3,7,H,5
64,1,1,8,M,8
64,2,6,0,H,4
65,1,8,0,M,8
65,2,3,1,M,4
66,1,3,3,M,8
66,2,8,2,M,4
67,1,0,3,M,8
67,2,0,1,M,4
68,1,2,1,H,7
68,2,3,5,M,4
69,1,8,3,M,7
69,2,5,6,M,4
70,1,5,6,M,7
70,2,4,6,H,3
71,1,6,3,M,7
71,2,7,6,M,3
72,1,4,3,H,6
72,2,1,6,H,2
73,1,3,9,M,6
73,2,0,7,M,2
74,1,0,0,M,6
74,2,7,5,M,2
75,1,6,6,M,6
75,2,7,0,M,2
76,1,1,6,M,6
76,2,6,5,M,2
77,1,6,7,M,6
77,2,3,4,M,2
78,1,5,9,M,6
78,2,8,6,M,2
79,1,2,8,H,5
79,2,1,8,M,2
80,1,6,5,M,5
80,2,7,1,M,2
81,1,4,9,M,5
81,2,9,8,M,2
82,1,5,4,M,5
82,2,2,4,M,2
83,1,2,3,H,4
83,2,5,4,M,2
84,1,2,7,H,3
84,2,9,5,M,2
85,1,2,9,H,2
85,2,1,7,M,2
86,1,0,4,M,2
86,2,0,9,M,2
87,1,4,6,M,2
87,2,7,4,M,2
88,1,6,9,M,2
88,2,4,2,M,2
89,1,8,1,M,2
89,2,5,8,H,1
90,1,0,9,M,2
90,2,9,4,M,1
91,1,5,8,M,2
91,2,9,1,M,1
92,1,5,0,M,2
92,2,2,7,M,1
93,1,5,7,M,2
93,2,7,9,M,1
94,1,7,9,M,2
94,2,8,0,M,1
95,1,4,5,H,1
95,2,3,3,M,1
96,1,3,7,M,1
96,2,6,7,M,1
97,1,9,0,M,1
97,2,4,5,M,1
98,1,2,0,M,1
98,2,1,1,M,1
99,1,5,1,M,1
99,2,5,1,M,1
100,1,2,5,H,0
100,2,4,7,H,0
