Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,1,9,M,17
1,2,8,5,H,16
2,1,5,2,H,16
2,2,7,3,M,16
3,1,1,8,M,16
3,2,4,1,M,16
4,1,4,5,M,16
4,2,9,7,M,16
5,1,2,1,M,16
5,2,5,5,H,15
6,1,1,6,M,16
6,2,3,5,H,14
7,1,0,0,M,16
7,2,2,1,M,14
8,1,8,5,M,16
8,2,5,4,M,14
9,1,4,1,M,16
9,2,6,2,M,14
10,1,0,4,M,16
10,2,2,5,M,14
11,1,9,9,M,16
11,2,0,5,M,14
12,1,0,9,M,16
12,2,6,8,M,14
13,1,0,2,M,16
13,2,5,2,M,14
14,1,3,6,M,16
14,2,6,3,M,14
15,1,8,0,M,16
15,2,3,7,H,13
16,1,7,8,M,16
16,2,1,2,H,12
17,1,5,3,M,16
17,2,0,2,H,11
18,1,6,8,M,16
18,2,2,4,M,11
19,1,4,3,M,16
19,2,7,8,M,11
20,1,6,1,M,16
20,2,1,8,M,11
21,1,7,9,H,15
21,2,6,0,M,11
22,1,1,1,M,15
22,2,7,9,M,11
23,1,3,8,M,15
23,2,8,0,M,11
24,1,7,7,M,15
24,2,2,9,M,11
25,1,5,1,M,15
25,2,7,6,M,11
26,1,8,2,M,15
26,2,3,2,H,10
27,1,0,3,M,15
27,2,6,1,M,10
28,1,1,5,M,15
28,2,6,5,M,10
29,1,3,5,M,15
29,2,8,1,M,10
30,1,4,7,M,15
30,2,7,2,M,10
31,1,6,5,H,14
31,2,0,8,M,10
32,1,5,0,M,14
32,2,1,1,M,10
33,1,9,1,M,14
33,2,3,0,M,10
34,1,9,0,M,14
34,2,9,0,M,10
35,1,2,2,M,14
35,2,4,5,H,9
36,1,6,9,H,13
36,2,4,8,M,9
37,1,8,7,M,13
37,2,2,0,M,9
38,1,2,3,M,13
38,2,7,0,M,9
39,1,9,7,M,13
39,2,1,7,M,9
40,1,9,3,M,13
40,2,4,9,M,9
41,1,1,4,M,13
41,2,5,7,M,9
42,1,3,1,M,13
42,2,9,9,M,9
43,1,0,5,M,13
43,2,3,3,M,9
44,1,5,8,H,12
44,2,8,6,H,8
45,1,1,7,M,12
45,2,8,2,M,8
46,1,7,4,M,12
46,2,1,5,M,8
47,1,3,3,H,11
47,2,3,4,H,7
48,1,8,6,M,11
48,2,5,1,M,7
49,1,5,9,H,10
49,2,9,4,M,7
50,1,3,9,M,10
50,2,6,9,M,7
51,1,2,6,M,10
51,2,2,2,H,6
52,1,8,4,M,10
52,2,9,2,M,6
53,1,9,2,M,10
53,2,4,0,M,6
54,1,9,4,M,10
54,2,9,5,M,6
55,1,7,6,M,10
55,2,6,7,M,6
56,1,4,6,M,10
56,2,0,3,M,6
57,1,4,9,H,9
57,2,8,4,M,6
58,1,7,5,M,9
58,2,5,9,M,6
59,1,1,2,M,9
59,2,6,6,M,6
60,1,8,9,H,8
60,2,0,4,M,6
61,1,9,6,M,8
61,2,9,3,M,6
62,1,4,2,H,7
62,2,5,3,M,6
63,1,4,8,M,7
63,2,9,8,M,6
64,1,2,0,M,7
64,2,2,8,M,6
65,1,9,5,M,7
65,2,7,1,M,6
66,1,0,7,M,7
66,2,1,0,M,6
67,1,5,7,H,6
67,2,0,7,M,6
68,1,4,0,M,6
68,2,0,6,M,6
69,1,7,2,M,6
69,2,5,6,M,6
70,1,7,3,M,6
70,2,4,7,M,6
71,1,6,4,H,5
71,2,2,6,M,6
72,1,8,3,M,5
72,2,1,4,M,6
73,1,3,7,M,5
73,2,8,3,M,6
74,1,8,8,M,5
74,2,5,8,M,6
75,1,8,1,M,5
75,2,0,1,M,6
76,1,3,4,H,4
76,2,0,0,M,6
77,1,1,3,M,4
77,2,4,2,H,5
78,1,6,6,H,3
78,2,8,7,H,4
79,1,6,2,M,3
79,2,7,4,M,4
80,1,6,7,H,2
80,2,1,9,M,4
81,1,0,1,M,2
81,2,9,1,M,4
82,1,3,2,H,1
82,2,1,3,M,4
83,1,7,0,M,1
83,2,2,3,M,4
84,1,7,1,M,1
84,2,3,9,H,3
85,1,2,4,M,1
85,2,0,9,M,3
86,1,5,5,M,1
86,2,2,7,M,3
87,1,0,8,M,1
87,2,4,4,H,2
88,1,4,4,M,1
88,2,6,4,M,2
89,1,5,4,M,1
89,2,3,6,H,1
90,1,9,8,M,1
90,2,7,5,M,1
91,1,6,3,M,1
91,2,3,8,H,0
92,1,3,0,M,1
92,2,8,9,M,0
93,1,5,6,H,0
93,2,4,3,M,0
