Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,7,9,M,17
1,2,6,0,M,17
2,1,7,1,M,17
2,2,6,1,M,17
3,1,9,7,M,17
3,2,3,0,M,17
4,1,3,9,M,17
4,2,7,9,H,16
5,1,3,1,M,17
5,2,8,5,H,15
6,1,8,3,M,17
6,2,8,3,M,15
7,1,0,9,M,17
7,2,3,9,M,15
8,1,2,3,H,16
8,2,4,8,M,15
9,1,6,1,M,16
9,2,6,3,H,14
10,1,1,5,M,16
10,2,2,1,M,14
11,1,5,1,M,16
11,2,7,1,M,14
12,1,9,6,M,16
12,2,1,7,M,14
13,1,4,9,H,15
13,2,3,7,M,14
14,1,0,3,H,14
14,2,7,4,M,14
15,1,6,3,M,14
15,2,5,0,M,14
16,1,9,1,H,13
16,2,0,6,M,14
17,1,5,7,M,13
17,2,1,0,M,14
18,1,2,9,M,13
18,2,1,1,M,14
19,1,1,3,M,13
19,2,5,9,H,13
20,1,5,6,M,13
20,2,8,4,H,12
21,1,4,5,M,13
21,2,9,8,M,12
22,1,7,0,M,13
22,2,8,7,H,11
23,1,1,7,M,13
23,2,1,4,M,11
24,1,8,1,M,13
24,2,9,9,M,11
25,1,4,8,H,12
25,2,8,1,M,11
26,1,1,1,H,11
26,2,9,2,M,11
27,1,3,3,M,11
27,2,6,2,H,10
28,1,8,7,M,11
28,2,4,4,H,9
29,1,8,5,M,11
29,2,9,0,M,9
30,1,4,3,M,11
30,2,9,1,M,9
31,1,0,2,H,10
31,2,0,3,M,9
32,1,5,0,M,10
32,2,5,6,M,9
33,1,8,2,M,10
33,2,5,3,M,9
34,1,1,2,M,10
34,2,3,6,M,9
35,1,5,5,M,10
35,2,4,7,M,9
36,1,3,2,M,10
36,2,1,6,M,9
37,1,6,8,M,10
37,2,5,8,M,9
38,1,3,5,M,10
38,2,0,2,M,9
39,1,0,6,H,9
39,2,0,1,M,9
40,1,6,4,M,9
40,2,3,5,M,9
41,1,5,2,M,9
41,2,3,1,M,9
42,1,5,4,M,9
42,2,2,7,H,8
43,1,5,9,M,9
43,2,2,5,H,7
44,1,2,5,M,9
44,2,0,8,M,7
45,1,6,2,M,9
45,2,3,8,M,7
46,1,3,0,M,9
46,2,5,1,M,7
47,1,7,5,M,9
47,2,2,3,H,6
48,1,9,9,M,9
48,2,0,7,M,6
49,1,8,8,M,9
49,2,4,3,M,6
50,1,5,3,M,9
50,2,6,9,H,5
51,1,7,8,M,9
51,2,9,4,M,5
52,1,8,4,M,9
52,2,7,5,M,5
53,1,7,3,M,9
53,2,3,2,M,5
54,1,0,7,M,9
54,2,3,4,M,5
55,1,7,4,M,9
55,2,6,4,H,4
56,1,4,7,H,8
56,2,2,6,H,3
57,1,8,6,M,8
57,2,4,9,M,3
58,1,3,4,M,8
58,2,4,5,M,3
59,1,9,5,M,8
59,2,9,7,M,3
60,1,6,9,M,8
60,2,6,7,M,3
61,1,8,9,M,8
61,2,0,0,M,3
62,1,3,8,M,8
62,2,2,8,M,3
63,1,3,7,M,8
63,2,1,2,M,3
64,1,9,2,H,7
64,2,8,0,M,3
65,1,8,0,M,7
65,2,7,0,M,3
66,1,7,2,M,7
66,2,6,6,M,3
67,1,2,6,M,7
67,2,2,4,H,2
68,1,1,9,M,7
68,2,7,7,M,2
69,1,1,4,M,7
69,2,5,2,M,2
70,1,0,0,M,7
70,2,2,0,M,2
71,1,3,6,M,7
71,2,2,9,M,2
72,1,9,3,M,7
72,2,9,3,M,2
73,1,6,6,M,7
73,2,4,1,M,2
74,1,4,6,H,6
74,2,9,5,M,2
75,1,6,7,M,6
75,2,7,6,M,2
76,1,0,1,M,6
76,2,3,3,M,2
77,1,6,5,M,6
77,2,4,6,M,2
78,1,1,6,M,6
78,2,4,2,M,2
79,1,2,8,M,6
79,2,6,8,M,2
80,1,1,0,M,6
80,2,1,5,M,2
81,1,6,0,M,6
81,2,1,9,M,2
82,1,2,1,H,5
82,2,8,9,M,2
83,1,2,0,M,5
83,2,1,8,M,2
84,1,0,5,H,4
84,2,5,4,H,1
85,1,4,0,M,4
85,2,5,7,M,1
86,1,2,2,H,3
86,2,6,5,M,1
87,1,4,2,M,3
87,2,5,5,M,1
88,1,4,1,M,3
88,2,7,2,M,1
89,1,7,7,M,3
89,2,7,8,M,1
90,1,0,8,M,3
90,2,8,6,H,0
91,1,5,8,M,3
91,2,8,2,M,0
92,1,9,4,M,3
92,2,7,3,M,0
93,1,2,4,H,2
93,2,0,5,M,0
94,1,0,4,H,1
94,2,0,9,M,0
95,1,9,0,H,0
95,2,0,4,M,0
