Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,4,1,M,17
1,2,5,7,M,17
2,1,4,5,M,17
2,2,1,9,M,17
3,1,6,8,M,17
3,2,4,7,M,17
4,1,7,3,M,17
4,2,0,9,M,17
5,1,6,3,M,17
5,2,4,2,M,17
6,1,3,3,M,17
6,2,7,9,M,17
7,1,7,7,M,17
7,2,7,1,H,16
8,1,4,7,M,17
8,2,0,7,M,16
9,1,8,0,M,17
9,2,5,1,M,16
10,1,9,2,M,17
10,2,7,0,H,15
11,1,5,6,M,17
11,2,7,8,M,15
12,1,7,1,M,17
12,2,8,1,M,15
13,1,1,4,M,17
13,2,5,0,M,15
14,1,4,0,H,16
14,2,7,5,M,15
15,1,6,5,M,16
15,2,6,6,M,15
16,1,0,8,M,16
16,2,4,9,M,15
17,1,1,5,M,16
17,2,7,3,H,14
18,1,6,6,M,16
18,2,9,2,H,13
19,1,8,5,M,16
19,2,6,7,M,13
20,1,3,9,M,16
20,2,2,8,H,12
21,1,3,1,M,16
21,2,3,7,M,12
22,1,8,2,H,15
22,2,4,3,M,12
23,1,3,0,M,15
23,2,3,4,H,11
24,1,2,4,M,15
24,2,5,3,M,11
25,1,8,1,M,15
25,2,8,8,M,11
26,1,9,4,M,15
26,2,4,4,M,11
27,1,3,6,M,15
27,2,6,4,M,11
28,1,1,1,M,15
28,2,3,3,H,10
29,1,8,6,M,15
29,2,2,4,M,10
30,1,0,9,M,15
30,2,3,1,M,10
31,1,1,9,M,15
31,2,0,6,M,10
32,1,5,8,M,15
32,2,3,0,M,10
33,1,1,7,M,15
33,2,6,0,M,10
34,1,0,1,M,15
34,2,4,0,M,10
35,1,4,2,H,14
35,2,2,3,M,10
36,1,7,9,M,14
36,2,2,1,M,10
37,1,2,2,H,13
37,2,0,4,M,10
38,1,0,2,M,13
38,2,1,6,M,10
39,1,5,4,M,13
39,2,4,6,M,10
40,1,2,7,M,13
40,2,5,2,M,10
41,1,7,0,H,12
41,2,2,5,M,10
42,1,3,8,M,12
42,2,2,9,H,9
43,1,5,7,M,12
43,2,9,0,M,9
44,1,4,3,M,12
44,2,7,6,M,9
45,1,2,3,H,11
45,2,0,5,M,9
46,1,6,0,H,10
46,2,1,4,M,9
47,1,7,6,M,10
47,2,8,6,M,9
48,1,3,2,M,10
48,2,0,8,M,9
49,1,9,7,M,10
49,2,9,6,M,9
50,1,0,0,M,10
50,2,1,1,M,9
51,1,5,0,H,9
51,2,5,9,M,9
52,1,6,9,M,9
52,2,9,8,M,9
53,1,8,4,H,8
53,2,3,6,M,9
54,1,1,2,M,8
54,2,4,5,M,9
55,1,8,7,M,8
55,2,9,7,M,9
56,1,1,6,M,8
56,2,6,5,M,9
57,1,9,1,M,8
57,2,8,4,M,9
58,1,1,0,M,8
58,2,0,1,M,9
59,1,3,5,M,8
59,2,1,0,M,9
60,1,8,3,H,7
60,2,0,3,M,9
61,1,5,2,H,6
61,2,8,3,M,9
62,1,2,8,M,6
62,2,5,4,M,9
63,1,2,6,M,6
63,2,0,2,M,9
64,1,1,3,M,6
64,2,8,0,M,9
65,1,3,4,M,6
65,2,5,6,M,9
66,1,9,5,M,6
66,2,8,5,H,8
67,1,1,8,M,6
67,2,5,5,M,8
68,1,5,1,M,6
68,2,6,2,M,8
69,1,8,8,M,6
69,2,1,3,M,8
70,1,7,8,M,6
70,2,2,0,M,8
71,1,0,7,M,6
71,2,6,3,M,8
72,1,4,4,M,6
72,2,1,2,M,8
73,1,5,3,M,6
73,2,1,8,M,8
74,1,7,5,M,6
74,2,1,5,M,8
75,1,5,5,M,6
75,2,2,2,M,8
76,1,9,3,M,6
76,2,9,5,H,7
77,1,3,7,M,6
77,2,7,4,H,6
78,1,8,9,M,6
78,2,9,1,H,5
79,1,4,9,M,6
79,2,2,7,H,4
80,1,0,6,H,5
80,2,6,9,M,4
81,1,9,6,M,5
81,2,3,9,M,4
82,1,6,4,M,5
82,2,7,2,H,3
83,1,6,1,M,5
83,2,8,9,M,3
84,1,9,8,M,5
84,2,9,9,M,3
85,1,7,2,H,4
85,2,3,5,H,2
86,1,7,4,M,4
86,2,4,8,M,2
87,1,5,9,M,4
87,2,1,7,M,2
88,1,6,2,H,3
88,2,9,4,M,2
89,1,6,7,M,3
89,2,9,3,H,1
90,1,9,0,M,3
90,2,3,8,M,1
91,1,2,9,M,3
91,2,2,6,M,1
92,1,4,6,M,3
92,2,6,8,M,1
93,1,0,4,H,2
93,2,3,2,H,0
94,1,0,5,H,1
94,2,5,8,M,0
95,1,2,1,H,0
95,2,6,1,M,0
