Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,8,1,M,17
1,2,4,2,M,17
2,1,7,1,M,17
2,2,0,6,M,17
3,1,8,2,M,17
3,2,2,6,H,16
4,1,3,0,M,17
4,2,0,0,M,16
5,1,5,8,M,17
5,2,7,1,H,15
6,1,4,6,H,16
6,2,7,7,M,15
7,1,9,3,M,16
7,2,9,0,M,15
8,1,1,3,M,16
8,2,3,0,H,14
9,1,5,1,M,16
9,2,8,7,M,14
10,1,1,0,M,16
10,2,0,4,M,14
11,1,4,5,H,15
11,2,7,2,H,13
12,1,2,1,M,15
12,2,3,6,M,13
13,1,9,9,M,15
13,2,6,6,M,13
14,1,7,5,M,15
14,2,3,9,M,13
15,1,0,9,M,15
15,2,1,7,M,13
16,1,0,2,H,14
16,2,5,8,M,13
17,1,5,6,M,14
17,2,0,7,M,13
18,1,4,2,H,13
18,2,5,0,M,13
19,1,8,3,M,13
19,2,5,4,M,13
20,1,4,4,H,12
20,2,3,1,M,13
21,1,9,7,M,12
21,2,9,7,M,13
22,1,0,7,M,12
22,2,1,3,M,13
23,1,0,4,M,12
23,2,8,0,M,13
24,1,2,9,M,12
24,2,7,8,M,13
25,1,5,0,M,12
25,2,2,5,M,13
26,1,7,3,H,11
26,2,6,0,M,13
27,1,4,0,M,11
27,2,4,0,H,12
28,1,3,2,H,10
28,2,2,9,H,11
29,1,4,3,M,10
29,2,1,6,M,11
30,1,9,1,M,10
30,2,8,9,M,11
31,1,0,3,M,10
31,2,6,7,M,11
32,1,7,0,M,10
32,2,6,5,H,10
33,1,9,5,M,10
33,2,9,3,M,10
34,1,6,1,M,10
34,2,9,5,M,10
35,1,3,5,M,10
35,2,2,2,M,10
36,1,9,0,M,10
36,2,7,0,H,9
37,1,2,6,M,10
37,2,5,9,M,9
38,1,5,5,H,9
38,2,7,4,H,8
39,1,3,6,M,9
39,2,4,1,M,8
40,1,6,7,M,9
40,2,7,6,M,8
41,1,7,4,H,8
41,2,4,9,M,8
42,1,8,8,M,8
42,2,5,7,M,8
43,1,1,8,M,8
43,2,1,0,M,8
44,1,7,6,M,8
44,2,6,9,M,8
45,1,1,7,H,7
45,2,1,2,M,8
46,1,8,9,M,7
46,2,8,5,M,8
47,1,6,9,M,7
47,2,0,2,M,8
48,1,0,6,M,7
48,2,1,5,M,8
49,1,9,6,M,7
49,2,6,8,M,8
50,1,3,4,M,7
50,2,3,4,M,8
51,1,2,4,M,7
51,2,5,1,M,8
52,1,1,1,M,7
52,2,9,6,M,8
53,1,5,4,H,6
53,2,3,8,M,8
54,1,4,9,M,6
54,2,2,3,M,8
55,1,8,5,M,6
55,2,7,3,H,7
56,1,3,9,M,6
56,2,2,7,H,6
57,1,8,7,M,6
57,2,3,2,M,6
58,1,4,8,M,6
58,2,9,1,M,6
59,1,1,6,M,6
59,2,8,8,M,6
60,1,7,2,H,5
60,2,8,4,M,6
61,1,2,2,H,4
61,2,4,4,M,6
62,1,6,3,M,4
62,2,0,1,M,6
63,1,1,5,M,4
63,2,8,2,M,6
64,1,6,8,M,4
64,2,5,3,M,6
65,1,3,8,M,4
65,2,3,7,M,6
66,1,9,8,M,4
66,2,0,9,M,6
67,1,2,0,M,4
67,2,0,5,M,6
68,1,2,8,M,4
68,2,8,3,M,6
69,1,0,1,M,4
69,2,2,8,H,5
70,1,6,2,M,4
70,2,5,5,M,5
71,1,5,2,M,4
71,2,6,3,M,5
72,1,8,6,M,4
72,2,6,1,M,5
73,1,8,4,M,4
73,2,3,5,M,5
74,1,0,5,M,4
74,2,2,1,M,5
75,1,2,3,M,4
75,2,2,0,H,4
76,1,6,4,M,4
76,2,6,4,M,4
77,1,2,5,M,4
77,2,3,3,M,4
78,1,1,9,M,4
78,2,2,4,M,4
79,1,7,8,M,4
79,2,9,4,M,4
80,1,2,7,H,3
80,2,9,2,M,4
81,1,7,7,M,3
81,2,9,9,M,4
82,1,3,7,H,2
82,2,7,9,M,4
83,1,3,3,M,2
83,2,1,8,M,4
84,1,7,9,M,2
84,2,8,1,M,4
85,1,9,4,M,2
85,2,5,2,M,4
86,1,5,3,M,2
86,2,4,6,H,3
87,1,1,2,H,1
87,2,1,1,M,3
88,1,0,8,M,1
88,2,5,6,M,3
89,1,0,0,M,1
89,2,0,8,M,3
90,1,4,1,M,1
90,2,4,5,M,3
91,1,3,1,M,1
91,2,4,3,M,3
92,1,5,9,M,1
92,2,1,4,M,3
93,1,6,5,M,1
93,2,4,7,H,2
94,1,6,6,M,1
94,2,0,3,M,2
95,1,6,0,M,1
95,2,9,8,M,2
96,1,4,7,H,0
96,2,7,5,H,1
97,1,8,0,M,0
97,2,4,8,H,0
