Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,1,2,M,17
1,2,4,3,M,17
2,1,5,3,M,17
2,2,1,3,M,17
3,1,9,7,M,17
3,2,6,0,M,17
4,1,0,3,M,17
4,2,7,1,M,17
5,1,6,4,M,17
5,2,0,0,M,17
6,1,5,7,M,17
6,2,5,6,H,16
7,1,4,2,M,17
7,2,2,2,M,16
8,1,1,7,M,17
8,2,9,5,M,16
9,1,9,8,M,17
9,2,5,9,M,16
10,1,6,5,M,17
10,2,7,4,M,16
11,1,2,6,M,17
11,2,4,7,M,16
12,1,2,8,H,16
12,2,3,2,H,15
13,1,8,8,M,16
13,2,5,5,H,14
14,1,5,2,H,15
14,2,3,7,M,14
15,1,0,9,M,15
15,2,2,3,M,14
16,1,5,9,M,15
16,2,0,5,M,14
17,1,4,5,H,14
17,2,8,2,M,14
18,1,8,6,M,14
18,2,7,9,M,14
19,1,3,2,M,14
19,2,8,6,H,13
20,1,7,8,M,14
20,2,5,4,M,13
21,1,5,5,M,14
21,2,9,6,M,13
22,1,1,5,M,14
22,2,1,0,M,13
23,1,0,5,M,14
23,2,7,6,H,12
24,1,7,3,M,14
24,2,1,7,M,12
25,1,8,2,H,13
25,2,8,0,M,12
26,1,4,6,M,13
26,2,5,3,M,12
27,1,8,4,M,13
27,2,5,0,M,12
28,1,9,1,M,13
28,2,4,5,H,11
29,1,0,8,M,13
29,2,8,5,H,10
30,1,5,1,M,13
30,2,2,8,M,10
31,1,9,3,M,13
31,2,1,9,M,10
32,1,1,0,H,12
32,2,7,2,M,10
33,1,1,9,M,12
33,2,5,2,M,10
34,1,8,9,M,12
34,2,9,3,M,10
35,1,7,0,M,12
35,2,0,7,M,10
36,1,8,7,M,12
36,2,1,2,M,10
37,1,7,2,H,11
37,2,7,7,H,9
38,1,7,5,M,11
38,2,6,2,M,9
39,1,0,2,M,11
39,2,1,6,M,9
40,1,5,8,H,10
40,2,0,3,M,9
41,1,0,4,M,10
41,2,3,6,M,9
42,1,9,2,H,9
42,2,2,1,M,9
43,1,7,6,M,9
43,2,6,1,M,9
44,1,8,1,M,9
44,2,9,4,M,9
45,1,9,9,M,9
45,2,4,2,M,9
46,1,2,0,M,9
46,2,3,5,M,9
47,1,0,6,M,9
47,2,5,1,M,9
48,1,2,9,M,9
48,2,4,1,M,9
49,1,3,0,M,9
49,2,9,1,M,9
50,1,9,6,M,9
50,2,0,6,M,9
51,1,7,7,M,9
51,2,6,6,H,8
52,1,6,9,M,9
52,2,8,1,M,8
53,1,3,5,H,8
53,2,4,4,M,8
54,1,4,3,M,8
54,2,4,0,M,8
55,1,1,3,M,8
55,2,1,8,M,8
56,1,2,5,H,7
56,2,3,9,M,8
57,1,3,9,M,7
57,2,6,7,M,8
58,1,8,5,M,7
58,2,0,8,M,8
59,1,7,4,M,7
59,2,7,8,M,8
60,1,4,7,M,7
60,2,3,4,H,7
61,1,8,0,M,7
61,2,1,5,M,7
62,1,3,7,M,7
62,2,7,0,M,7
63,1,2,2,M,7
63,2,9,8,M,7
64,1,3,6,M,7
64,2,2,0,M,7
65,1,5,6,M,7
65,2,2,5,M,7
66,1,4,0,H,6
66,2,0,1,M,7
67,1,2,1,M,6
67,2,9,9,M,7
68,1,6,0,H,5
68,2,0,9,M,7
69,1,5,0,H,4
69,2,6,8,M,7
70,1,3,1,M,4
70,2,8,8,M,7
71,1,6,6,M,4
71,2,8,4,H,6
72,1,0,7,M,4
72,2,3,1,H,5
73,1,7,1,M,4
73,2,2,4,M,5
74,1,1,6,M,4
74,2,6,4,M,5
75,1,4,8,H,3
75,2,1,4,M,5
76,1,3,3,M,3
76,2,9,2,M,5
77,1,6,8,M,3
77,2,3,8,M,5
78,1,9,0,M,3
78,2,3,3,H,4
79,1,2,3,M,3
79,2,7,5,M,4
80,1,7,9,M,3
80,2,6,9,M,4
81,1,3,8,H,2
81,2,4,8,M,4
82,1,4,9,M,2
82,2,4,6,H,3
83,1,4,4,M,2
83,2,4,9,M,3
84,1,1,8,M,2
84,2,8,7,H,2
85,1,8,3,M,2
85,2,9,0,M,2
86,1,6,7,M,2
86,2,5,8,M,2
87,1,9,5,M,2
87,2,0,2,M,2
88,1,0,0,M,2
88,2,1,1,M,2
89,1,6,1,M,2
89,2,2,6,M,2
90,1,5,4,M,2
90,2,0,4,M,2
91,1,1,1,H,1
91,2,5,7,M,2
92,1,6,2,H,0
92,2,8,3,M,2
93,1,4,1,M,0
93,2,3,0,H,1
94,1,9,4,M,0
94,2,9,7,M,1
95,1,2,4,M,0
95,2,2,9,M,1
96,1,1,4,M,0
96,2,8,9,M,1
97,1,6,3,M,0
97,2,2,7,M,1
98,1,0,1,M,0
98,2,6,3,M,1
99,1,2,7,M,0
99,2,7,3,M,1
100,1,3,4,M,0
100,2,6,5,H,0
