Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,5,2,M,17
1,2,6,3,M,17
2,1,0,5,M,17
2,2,7,2,M,17
3,1,2,7,M,17
3,2,6,8,M,17
4,1,2,2,M,17
4,2,3,4,M,17
5,1,1,2,M,17
5,2,8,8,M,17
6,1,1,0,H,16
6,2,6,7,M,17
7,1,9,5,M,16
7,2,5,3,M,17
8,1,5,3,M,16
8,2,7,1,M,17
9,1,7,4,M,16
9,2,1,4,M,17
10,1,3,6,M,16
10,2,0,1,M,17
11,1,5,6,M,16
11,2,5,4,M,17
12,1,4,3,M,16
12,2,2,8,M,17
13,1,1,3,M,16
13,2,5,1,M,17
14,1,1,9,M,16
14,2,7,7,M,17
15,1,7,0,M,16
15,2,1,3,M,17
16,1,1,4,M,16
16,2,0,3,M,17
17,1,6,3,M,16
17,2,3,7,H,16
18,1,0,9,M,16
18,2,1,9,H,15
19,1,6,5,H,15
19,2,6,0,M,15
20,1,6,1,H,14
20,2,8,5,M,15
21,1,7,2,M,14
21,2,4,7,H,14
22,1,8,8,H,13
22,2,5,2,M,14
23,1,9,9,M,13
23,2,0,9,H,13
24,1,4,0,H,12
24,2,6,5,M,13
25,1,2,8,M,12
25,2,3,5,M,13
26,1,7,3,M,12
26,2,2,9,H,12
27,1,5,0,M,12
27,2,3,2,M,12
28,1,8,0,M,12
28,2,9,3,M,12
29,1,4,7,M,12
29,2,0,8,H,11
30,1,2,0,H,11
30,2,5,8,M,11
31,1,8,4,H,10
31,2,4,1,H,10
32,1,7,1,M,10
32,2,6,9,M,10
33,1,3,5,H,9
33,2,6,4,M,10
34,1,5,4,M,9
34,2,3,0,M,10
35,1,4,6,M,9
35,2,6,6,M,10
36,1,6,6,M,9
36,2,1,8,M,10
37,1,1,1,M,9
37,2,3,6,M,10
38,1,5,9,M,9
38,2,3,9,H,9
39,1,3,1,M,9
39,2,1,2,M,9
40,1,8,1,M,9
40,2,8,6,M,9
41,1,1,8,M,9
41,2,8,4,M,9
42,1,3,4,M,9
42,2,2,5,M,9
43,1,0,8,M,9
43,2,2,6,M,9
44,1,4,4,M,9
44,2,9,5,M,9
45,1,5,5,H,8
45,2,3,1,M,9
46,1,0,0,M,8
46,2,8,3,M,9
47,1,9,4,M,8
47,2,7,4,M,9
48,1,7,8,M,8
48,2,8,1,M,9
49,1,0,3,M,8
49,2,0,2,M,9
50,1,0,2,M,8
50,2,4,3,M,9
51,1,6,0,M,8
51,2,4,6,M,9
52,1,9,8,M,8
52,2,4,2,H,8
53,1,7,5,H,7
53,2,3,8,M,8
54,1,4,8,M,7
54,2,1,5,M,8
55,1,9,3,M,7
55,2,5,6,M,8
56,1,1,7,M,7
56,2,0,0,H,7
57,1,3,2,M,7
57,2,7,0,M,7
58,1,8,6,H,6
58,2,0,6,H,6
59,1,0,7,M,6
59,2,6,2,M,6
60,1,2,1,M,6
60,2,4,8,M,6
61,1,4,2,M,6
61,2,4,9,M,6
62,1,0,6,M,6
62,2,9,8,M,6
63,1,5,7,M,6
63,2,3,3,M,6
64,1,9,6,M,6
64,2,5,9,M,6
65,1,2,5,H,5
65,2,5,7,H,5
66,1,7,6,M,5
66,2,5,5,M,5
67,1,6,8,M,5
67,2,9,9,M,5
68,1,9,1,M,5
68,2,7,8,M,5
69,1,2,6,M,5
69,2,0,5,H,4
70,1,6,7,M,5
70,2,4,4,M,4
71,1,8,7,H,4
71,2,6,1,M,4
72,1,0,1,M,4
72,2,7,3,M,4
73,1,3,7,M,4
73,2,9,1,M,4
74,1,2,4,M,4
74,2,4,0,H,3
75,1,8,2,M,4
75,2,2,2,M,3
76,1,3,0,H,3
76,2,2,7,M,3
77,1,5,1,M,3
77,2,7,5,M,3
78,1,3,8,M,3
78,2,9,0,M,3
79,1,8,5,H,2
79,2,0,7,H,2
80,1,6,4,M,2
80,2,9,2,M,2
81,1,6,9,M,2
81,2,2,1,M,2
82,1,4,5,M,2
82,2,1,6,M,2
83,1,5,8,M,2
83,2,0,4,H,1
84,1,1,6,M,2
84,2,8,7,M,1
85,1,0,4,M,2
85,2,1,1,M,1
86,1,6,2,H,1
86,2,7,6,M,1
87,1,3,9,M,1
87,2,5,0,M,1
88,1,9,0,M,1
88,2,2,3,M,1
89,1,4,1,M,1
89,2,1,0,H,0
90,1,3,3,M,1
90,2,1,7,M,0
91,1,1,5,H,0
91,2,9,6,M,0
